enzyme	compartment	enzyme_keff	reactions	direction	unit	references	notes	conversions
enzyme_PGI	c	5292000	PGI	g6p_c --> f6p_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"1470 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_PGI_rev	c	6336000	PGI	g6p_c <-- f6p_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"1760 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_PGK	c	8244000	PGK	13dpg_c + adp_c --> 3pg_c + atp_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"2290 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_PGK_rev	c	3301200	PGK	13dpg_c + adp_c --> 3pg_c + atp_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"917 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_PGM	c	2862000	PGM	3pg_c --> 2pg_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"795  (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_PGM_rev	c	2570400	PGM	3pg_c <-- 2pg_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"714 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_PYK	c	4989600	PYK	adp_c + h_c + pep_c --> atp_c + pyr_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"1386 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_PYK_rev	c	11736	PYK	adp_c + h_c + pep_c <-- atp_c + pyr_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"3.26  (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_TPI	c	4608000	TPI	dhap_c --> g3p_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"1280 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_TPI_rev	c	52416000	TPI	dhap_c <-- g3p_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"14560 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_HEX1	c	648000	HEX1	atp_c + glc__D_c --> adp_c + g6p_c + h_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477270	Based on comprensive kinetic RBC model	"180 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
enzyme_HEX1_rev	c	4176	HEX1	atp_c + glc__D_c <-- adp_c + g6p_c + h_c	1 / hr	pubmed:10477268;pubmed:10477269;pubmed:10477271	Based on comprensive kinetic RBC model	"1.16 (mol product /  mol enzyme / s)
* (3600 s / 1 hr)"
