complexes	complex	subunits	reactions	genes	coefficients	cofactors	notes	stoichiometry	compartment	molar_mass
cplx_MONOMER_CACNA1A_pc	cplx_MONOMER_CACNA1A	protein_CACNA1A_pc	CA2t	CACNA1A	1			protein_CACNA1A_pc(1)	pc	282593.60299999797
cplx_COMPLEX_CYB5R3_B5A_pc	cplx_COMPLEX_CYB5R3_B5A	protein_CYB5A_pc;protein_CYB5R3_pc	FCYTOB5OXR	CYB5A;CYB5R3	2;1			protein_CYB5A_pc(2);protein_CYB5R3_pc(1)	pc	54144.86600000001
cplx_COMPLEX_HBA_CYB5A_pc	cplx_COMPLEX_HBA_CYB5A	protein_CYB5A_pc;protein_HBA_pc	METHBCYTBR	CYB5A;HBA	2;1			protein_CYB5A_pc(2);protein_HBA_pc(1)	pc	37775.895999999964
cplx_COMPLEX_HBB_CYB5A_pc	cplx_COMPLEX_HBB_CYB5A	protein_CYB5A_pc;protein_HBB_pc	METHBCYTBR	CYB5A;HBB	2;1			protein_CYB5A_pc(2);protein_HBB_pc(1)	pc	38513.71799999997
cplx_COMPLEX_HBD_CYB5A_pc	cplx_COMPLEX_HBD_CYB5A	protein_CYB5A_pc;protein_HBD_pc	METHBCYTBR	CYB5A;HBD	2;1			protein_CYB5A_pc(2);protein_HBD_pc(1)	pc	38572.80999999997
cplx_COMPLEX_HBE1_CYB5A_pc	cplx_COMPLEX_HBE1_CYB5A	protein_CYB5A_pc;protein_HBE1_pc	METHBCYTBR	CYB5A;HBE1	2;1			protein_CYB5A_pc(2);protein_HBE1_pc(1)	pc	38721.15499999997
cplx_COMPLEX_HBG1_CYB5A_pc	cplx_COMPLEX_HBG1_CYB5A	protein_CYB5A_pc;protein_HBG1_pc	METHBCYTBR	CYB5A;HBG1	2;1			protein_CYB5A_pc(2);protein_HBG1_pc(1)	pc	38643.727999999974
cplx_COMPLEX_HBG2_CYB5A_pc	cplx_COMPLEX_HBG2_CYB5A	protein_CYB5A_pc;protein_HBG2_pc	METHBCYTBR	CYB5A;HBG2	2;1			protein_CYB5A_pc(2);protein_HBG2_pc(1)	pc	38641.75599999997
cplx_COMPLEX_HBM_CYB5A_pc	cplx_COMPLEX_HBM_CYB5A	protein_CYB5A_pc;protein_HBM_pc	METHBCYTBR	CYB5A;HBM	2;1			protein_CYB5A_pc(2);protein_HBM_pc(1)	pc	38131.40299999998
cplx_COMPLEX_HBQ1_CYB5A_pc	cplx_COMPLEX_HBQ1_CYB5A	protein_CYB5A_pc;protein_HBQ1_pc	METHBCYTBR	CYB5A;HBQ1	2;1			protein_CYB5A_pc(2);protein_HBQ1_pc(1)	pc	38024.11199999997
cplx_COMPLEX_HBZ_CYB5A_pc	cplx_COMPLEX_HBZ_CYB5A	protein_CYB5A_pc;protein_HBZ_pc	METHBCYTBR	CYB5A;HBZ	2;1			protein_CYB5A_pc(2);protein_HBZ_pc(1)	pc	38154.352999999974
cplx_COMPLEX_CYB5R3_B5B_pc	cplx_COMPLEX_CYB5R3_B5B	protein_CYB5B_pc;protein_CYB5R3_pc	FCYTOB5OXR	CYB5B;CYB5R3	2;1			protein_CYB5B_pc(2);protein_CYB5R3_pc(1)	pc	64999.066000000006
cplx_COMPLEX_HBA_CYB5B_pc	cplx_COMPLEX_HBA_CYB5B	protein_CYB5B_pc;protein_HBA_pc	METHBCYTBR	CYB5B;HBA	2;1			protein_CYB5B_pc(2);protein_HBA_pc(1)	pc	48630.09599999996
cplx_COMPLEX_HBB_CYB5B_pc	cplx_COMPLEX_HBB_CYB5B	protein_CYB5B_pc;protein_HBB_pc	METHBCYTBR	CYB5B;HBB	2;1			protein_CYB5B_pc(2);protein_HBB_pc(1)	pc	49367.91799999997
cplx_COMPLEX_HBD_CYB5B_pc	cplx_COMPLEX_HBD_CYB5B	protein_CYB5B_pc;protein_HBD_pc	METHBCYTBR	CYB5B;HBD	2;1			protein_CYB5B_pc(2);protein_HBD_pc(1)	pc	49427.009999999966
cplx_COMPLEX_HBE1_CYB5B_pc	cplx_COMPLEX_HBE1_CYB5B	protein_CYB5B_pc;protein_HBE1_pc	METHBCYTBR	CYB5B;HBE1	2;1			protein_CYB5B_pc(2);protein_HBE1_pc(1)	pc	49575.35499999997
cplx_COMPLEX_HBG1_CYB5B_pc	cplx_COMPLEX_HBG1_CYB5B	protein_CYB5B_pc;protein_HBG1_pc	METHBCYTBR	CYB5B;HBG1	2;1			protein_CYB5B_pc(2);protein_HBG1_pc(1)	pc	49497.92799999997
cplx_COMPLEX_HBG2_CYB5B_pc	cplx_COMPLEX_HBG2_CYB5B	protein_CYB5B_pc;protein_HBG2_pc	METHBCYTBR	CYB5B;HBG2	2;1			protein_CYB5B_pc(2);protein_HBG2_pc(1)	pc	49495.95599999997
cplx_COMPLEX_HBM_CYB5B_pc	cplx_COMPLEX_HBM_CYB5B	protein_CYB5B_pc;protein_HBM_pc	METHBCYTBR	CYB5B;HBM	2;1			protein_CYB5B_pc(2);protein_HBM_pc(1)	pc	48985.602999999974
cplx_COMPLEX_HBQ1_CYB5B_pc	cplx_COMPLEX_HBQ1_CYB5B	protein_CYB5B_pc;protein_HBQ1_pc	METHBCYTBR	CYB5B;HBQ1	2;1			protein_CYB5B_pc(2);protein_HBQ1_pc(1)	pc	48878.31199999997
cplx_COMPLEX_HBZ_CYB5B_pc	cplx_COMPLEX_HBZ_CYB5B	protein_CYB5B_pc;protein_HBZ_pc	METHBCYTBR	CYB5B;HBZ	2;1			protein_CYB5B_pc(2);protein_HBZ_pc(1)	pc	49008.55299999997
cplx_HETEROTETRAMER_SLC16A1_EMB_pc	cplx_HETEROTETRAMER_SLC16A1_EMB	protein_EMB_pc;protein_SLC16A1_pc	L_LACt2;PYRt2	EMB;SLC16A1	2;2			protein_EMB_pc(2);protein_SLC16A1_pc(2)	pc	181662.7400000004
cplx_HETEROTETRAMER_SLC16A7_EMB_pc	cplx_HETEROTETRAMER_SLC16A7_EMB	protein_EMB_pc;protein_SLC16A7_pc	L_LACt2;PYRt2	EMB;SLC16A7	2;2			protein_EMB_pc(2);protein_SLC16A7_pc(2)	pc	178185.00200000044
cplx_HOMODIMER_ENO1_pc	cplx_HOMODIMER_ENO1	protein_ENO1_pc	ENO	ENO1	2			protein_ENO1_pc(2)	pc	94337.0940000003
cplx_HETERODIMER_ENO_AG_pc	cplx_HETERODIMER_ENO_AG	protein_ENO1_pc;protein_ENO2_pc	ENO	ENO1;ENO2	1;1			protein_ENO1_pc(1);protein_ENO2_pc(1)	pc	94418.55800000031
cplx_HETERODIMER_ENO_AB_pc	cplx_HETERODIMER_ENO_AB	protein_ENO1_pc;protein_ENO3_pc	ENO	ENO1;ENO3	1;1			protein_ENO1_pc(1);protein_ENO3_pc(1)	pc	94156.0180000003
cplx_HOMODIMER_ENO2_pc	cplx_HOMODIMER_ENO2	protein_ENO2_pc	ENO	ENO2	2			protein_ENO2_pc(2)	pc	94500.02200000032
cplx_HETERODIMER_ENO_BG_pc	cplx_HETERODIMER_ENO_BG	protein_ENO2_pc;protein_ENO3_pc	ENO	ENO2;ENO3	1;1			protein_ENO2_pc(1);protein_ENO3_pc(1)	pc	94237.48200000031
cplx_HOMODIMER_ENO3_pc	cplx_HOMODIMER_ENO3	protein_ENO3_pc	ENO	ENO3	2			protein_ENO3_pc(2)	pc	93974.9420000003
cplx_HOMOTETRAMER_G6PD_pc	cplx_HOMOTETRAMER_G6PD	protein_G6PD_pc	G6PDH2	G6PD	4			protein_G6PD_pc(4)	pc	237008.7160000007
cplx_HOMOTETRAMER_GAPDH_pc	cplx_HOMOTETRAMER_GAPDH	protein_GAPDH_pc	GAPD	GAPDH	4			protein_GAPDH_pc(4)	pc	144223.7040000002
cplx_HOMOTETRAMER_GAPDHS_pc	cplx_HOMOTETRAMER_GAPDHS	protein_GAPDHS_pc	GAPD	GAPDHS	4			protein_GAPDHS_pc(4)	pc	178015.11600000056
cplx_HOMODIMER_GPI_pc	cplx_HOMODIMER_GPI	protein_GPI_pc	PGI	GPI	2			protein_GPI_pc(2)	pc	126299.1180000005
cplx_HOMOTETRAMER_GPX1_pc	cplx_HOMOTETRAMER_GPX1	protein_GPX1_pc	GTHP	GPX1	4			protein_GPX1_pc(4)	pc	88160.296
cplx_MONOMER_GPX4_pc	cplx_MONOMER_GPX4	protein_GPX4_pc	GTHP	GPX4	1			protein_GPX4_pc(1)	pc	19480.354000000003
cplx_HOMOTETRAMER_GRIA1_pc	cplx_HOMOTETRAMER_GRIA1	protein_GRIA1_pc	CA2t;NAt;Kt1	GRIA1	4			protein_GRIA1_pc(4)	pc	406028.58799999865
cplx_HOMODIMER_GSR_pc	cplx_HOMODIMER_GSR	protein_GSR_pc	GTHOy	GSR	2			protein_GSR_pc(2)	pc	103402.31400000029
cplx_MONOMER_HBA_pc	cplx_MONOMER_HBA	protein_HBA_pc	HB23DPGB;HBO2B1;HBO2B2;OXYHBAOX	HBA	1			protein_HBA_pc(1)	pc	15259.42199999998
cplx_MONOMER_HBB_pc	cplx_MONOMER_HBB	protein_HBB_pc	HB23DPGB;HBO2B1;HBO2B2;OXYHBAOX	HBB	1			protein_HBB_pc(1)	pc	15997.243999999982
cplx_MONOMER_HBD_pc	cplx_MONOMER_HBD	protein_HBD_pc	HB23DPGB;HBO2B1;HBO2B2;OXYHBAOX	HBD	1			protein_HBD_pc(1)	pc	16056.335999999985
cplx_MONOMER_HBE1_pc	cplx_MONOMER_HBE1	protein_HBE1_pc	HB23DPGB;HBO2B1;HBO2B2;OXYHBAOX	HBE1	1			protein_HBE1_pc(1)	pc	16204.680999999986
cplx_MONOMER_HBG1_pc	cplx_MONOMER_HBG1	protein_HBG1_pc	HB23DPGB;HBO2B1;HBO2B2;OXYHBAOX	HBG1	1			protein_HBG1_pc(1)	pc	16127.253999999986
cplx_MONOMER_HBG2_pc	cplx_MONOMER_HBG2	protein_HBG2_pc	HB23DPGB;HBO2B1;HBO2B2;OXYHBAOX	HBG2	1			protein_HBG2_pc(1)	pc	16125.281999999987
cplx_MONOMER_HBM_pc	cplx_MONOMER_HBM	protein_HBM_pc	HB23DPGB;HBO2B1;HBO2B2;OXYHBAOX	HBM	1			protein_HBM_pc(1)	pc	15614.928999999987
cplx_MONOMER_HBQ1_pc	cplx_MONOMER_HBQ1	protein_HBQ1_pc	HB23DPGB;HBO2B1;HBO2B2;OXYHBAOX	HBQ1	1			protein_HBQ1_pc(1)	pc	15507.637999999986
cplx_MONOMER_HBZ_pc	cplx_MONOMER_HBZ	protein_HBZ_pc	HB23DPGB;HBO2B1;HBO2B2;OXYHBAOX	HBZ	1			protein_HBZ_pc(1)	pc	15637.878999999983
cplx_MONOMER_HK1_pc	cplx_MONOMER_HK1	protein_HK1_pc	HEX1	HK1	1			protein_HK1_pc(1)	pc	102190.58799999979
cplx_MONOMER_HK3_pc	cplx_MONOMER_HK3	protein_HK3_pc	HEX1	HK3	1			protein_HK3_pc(1)	pc	98997.35299999978
cplx_HOMOTETRAMER_HPRT1_pc	cplx_HOMOTETRAMER_HPRT1	protein_HPRT1_pc	HXPRT	HPRT1	4			protein_HPRT1_pc(4)	pc	98308.66
cplx_HOMOTETRAMER_KCNAB2_pc	cplx_HOMOTETRAMER_KCNAB2	protein_KCNAB2_pc	Kt1	KCNAB2	4			protein_KCNAB2_pc(4)	pc	164031.67600000044
cplx_HOMODIMER_KCNK5_pc	cplx_HOMODIMER_KCNK5	protein_KCNK5_pc	Kt1	KCNK5	2			protein_KCNK5_pc(2)	pc	110252.78000000032
cplx_HOMOTETRAMER_KCNN4_pc	cplx_HOMOTETRAMER_KCNN4	protein_KCNN4_pc	Kt1	KCNN4	4			protein_KCNN4_pc(4)	pc	190865.15200000053
cplx_HOMOTETRAMER_LDHA_pc	cplx_HOMOTETRAMER_LDHA	protein_LDHA_pc	LDH_L	LDHA	4			protein_LDHA_pc(4)	pc	146765.71200000017
cplx_HETEROTETRAMER_LDHA_LDHB_A1B3_pc	cplx_HETEROTETRAMER_LDHA_LDHB_A1B3	protein_LDHA_pc;protein_LDHB_pc	LDH_L	LDHA;LDHB	1;3			protein_LDHA_pc(1);protein_LDHB_pc(3)	pc	146587.81500000012
cplx_HETEROTETRAMER_LDHA_LDHB_A2B2_pc	cplx_HETEROTETRAMER_LDHA_LDHB_A2B2	protein_LDHA_pc;protein_LDHB_pc	LDH_L	LDHA;LDHB	2;2			protein_LDHA_pc(2);protein_LDHB_pc(2)	pc	146647.11400000015
cplx_HETEROTETRAMER_LDHA_LDHB_A3B1_pc	cplx_HETEROTETRAMER_LDHA_LDHB_A3B1	protein_LDHA_pc;protein_LDHB_pc	LDH_L	LDHA;LDHB	3;1			protein_LDHA_pc(3);protein_LDHB_pc(1)	pc	146706.41300000018
cplx_HOMOTETRAMER_LDHB_pc	cplx_HOMOTETRAMER_LDHB	protein_LDHB_pc	LDH_L	LDHB	4			protein_LDHB_pc(4)	pc	146528.51600000012
cplx_HOMODIMER_LHPP_pc	cplx_HOMODIMER_LHPP	protein_LHPP_pc	PPA	LHPP	2			protein_LHPP_pc(2)	pc	58322.122000000054
cplx_HOMOTETRAMER_NT5C2_pc	cplx_HOMOTETRAMER_NT5C2	protein_NT5C2_pc	NTDIMP;NTDAMP	NT5C2	4			protein_NT5C2_pc(4)	pc	259820.46000000107
cplx_HOMOTRIMER_P2RX1_pc	cplx_HOMOTRIMER_P2RX1	protein_P2RX1_pc	CA2t;NAt;Kt1	P2RX1	3			protein_P2RX1_pc(3)	pc	134960.16300000035
cplx_HOMOTRIMER_P2RX2_pc	cplx_HOMOTRIMER_P2RX2	protein_P2RX2_pc	CA2t;NAt;Kt1	P2RX2	3			protein_P2RX2_pc(3)	pc	155276.28900000034
cplx_HOMOTRIMER_P2RX7_pc	cplx_HOMOTRIMER_P2RX7	protein_P2RX7_pc	CA2t;NAt;Kt1	P2RX7	3			protein_P2RX7_pc(3)	pc	205789.41900000046
cplx_HOMOHEPTAMER_PANX1_pc	cplx_HOMOHEPTAMER_PANX1	protein_PANX1_pc	CA2t;NAt;Kt1	PANX1	7			protein_PANX1_pc(7)	pc	336319.62700000114
cplx_HOMOTETRAMER_PFKL_pc	cplx_HOMOTETRAMER_PFKL	protein_PFKL_pc	PFK	PFKL	4			protein_PFKL_pc(4)	pc	340070.9560000005
cplx_HETEROTETRAMER_PFKL_PFKM_M1L3_pc	cplx_HETEROTETRAMER_PFKL_PFKM_M1L3	protein_PFKL_pc;protein_PFKM_pc	PFK	PFKL;PFKM	3;1			protein_PFKL_pc(3);protein_PFKM_pc(1)	pc	340239.07500000054
cplx_HETEROTETRAMER_PFKL_PFKM_M2L2_pc	cplx_HETEROTETRAMER_PFKL_PFKM_M2L2	protein_PFKL_pc;protein_PFKM_pc	PFK	PFKL;PFKM	2;2			protein_PFKL_pc(2);protein_PFKM_pc(2)	pc	340407.19400000054
cplx_HETEROTETRAMER_PFKL_PFKM_M3L1_pc	cplx_HETEROTETRAMER_PFKL_PFKM_M3L1	protein_PFKL_pc;protein_PFKM_pc	PFK	PFKL;PFKM	1;3			protein_PFKL_pc(1);protein_PFKM_pc(3)	pc	340575.31300000055
cplx_HETEROTETRAMER_PFKL_PFKP_P1L3_pc	cplx_HETEROTETRAMER_PFKL_PFKP_P1L3	protein_PFKL_pc;protein_PFKP_pc	PFK	PFKL;PFKP	3;1			protein_PFKL_pc(3);protein_PFKP_pc(1)	pc	340649.5930000005
cplx_HETEROTETRAMER_PFKL_PFKP_P2L2_pc	cplx_HETEROTETRAMER_PFKL_PFKP_P2L2	protein_PFKL_pc;protein_PFKP_pc	PFK	PFKL;PFKP	2;2			protein_PFKL_pc(2);protein_PFKP_pc(2)	pc	341228.23000000056
cplx_HETEROTETRAMER_PFKL_PFKP_P3L1_pc	cplx_HETEROTETRAMER_PFKL_PFKP_P3L1	protein_PFKL_pc;protein_PFKP_pc	PFK	PFKL;PFKP	1;3			protein_PFKL_pc(1);protein_PFKP_pc(3)	pc	341806.86700000067
cplx_HOMOTETRAMER_PFKM_pc	cplx_HOMOTETRAMER_PFKM	protein_PFKM_pc	PFK	PFKM	4			protein_PFKM_pc(4)	pc	340743.4320000006
cplx_HOMOTETRAMER_PFKP_pc	cplx_HOMOTETRAMER_PFKP	protein_PFKP_pc	PFK	PFKP	4			protein_PFKP_pc(4)	pc	342385.5040000007
cplx_HOMODIMER_PGAM1_pc	cplx_HOMODIMER_PGAM1	protein_PGAM1_pc	DPGM;PGM	PGAM1	2			protein_PGAM1_pc(2)	pc	57605.30400000002
cplx_HOMODIMER_PGD_pc	cplx_HOMODIMER_PGD	protein_PGD_pc	GND	PGD	2			protein_PGD_pc(2)	pc	106277.06800000038
cplx_MONOMER_PGK1_pc	cplx_MONOMER_PGK1	protein_PGK1_pc	PGK	PGK1	1			protein_PGK1_pc(1)	pc	44617.34900000012
cplx_MONOMER_PGK2_pc	cplx_MONOMER_PGK2	protein_PGK2_pc	PGK	PGK2	1			protein_PGK2_pc(1)	pc	44801.81100000014
cplx_MONOMER_PGLS_pc	cplx_MONOMER_PGLS	protein_PGLS_pc	PGL	PGLS	1			protein_PGLS_pc(1)	pc	27541.558000000023
cplx_MONOMER_PGM2_pc	cplx_MONOMER_PGM2	protein_PGM2_pc	PPM	PGM2	1			protein_PGM2_pc(1)	pc	68277.71700000024
cplx_HOMOTRIMER_PIEZO1_pc	cplx_HOMOTRIMER_PIEZO1	protein_PIEZO1_pc	CA2t;NAt;Kt1	PIEZO1	3			protein_PIEZO1_pc(3)	pc	860360.7419999905
cplx_HOMOTETRAMER_PKLR_pc	cplx_HOMOTETRAMER_PKLR	protein_PKLR_pc	PYK	PKLR	4			protein_PKLR_pc(4)	pc	247322.41600000137
cplx_HOMOTETRAMER_PKM_pc	cplx_HOMOTETRAMER_PKM	protein_PKM_pc	PYK	PKM	4			protein_PKM_pc(4)	pc	231753.67600000103
cplx_HOMOTRIMER_PNP_pc	cplx_HOMOTRIMER_PNP	protein_PNP_pc	PUNP5	PNP	3			protein_PNP_pc(3)	pc	96346.74300000007
cplx_HOMODIMER_PPA1_pc	cplx_HOMODIMER_PPA1	protein_PPA1_pc	PPA	PPA1	2			protein_PPA1_pc(2)	pc	65303.390000000065
cplx_HOMODIMER_PPA2_pc	cplx_HOMODIMER_PPA2	protein_PPA2_pc	PPA	PPA2	2			protein_PPA2_pc(2)	pc	75839.80800000008
cplx_HOMODIMER_PRPS1_pc	cplx_HOMODIMER_PRPS1	protein_PRPS1_pc	PRPPS	PRPS1	2			protein_PRPS1_pc(2)	pc	69663.88800000008
cplx_HOMODIMER_PRPS1L1_pc	cplx_HOMODIMER_PRPS1L1	protein_PRPS1L1_pc	PRPPS	PRPS1L1	2			protein_PRPS1L1_pc(2)	pc	69668.0180000001
cplx_HOMODIMER_PRPS2_pc	cplx_HOMODIMER_PRPS2	protein_PRPS2_pc	PRPPS	PRPS2	2			protein_PRPS2_pc(2)	pc	69529.61000000009
cplx_HOMODIMER_PRUNE1_pc	cplx_HOMODIMER_PRUNE1	protein_PRUNE1_pc	PPA	PRUNE1	2			protein_PRUNE1_pc(2)	pc	100360.06400000025
cplx_HOMODIMER_RHAG_pc	cplx_HOMODIMER_RHAG	protein_RHAG_pc	CO2t;NH4t	RHAG	2			protein_RHAG_pc(2)	pc	88389.00200000028
cplx_HETEROTRIMER_RH_pc	cplx_HETEROTRIMER_RH	protein_RHAG_pc;protein_RHCE_pc	CO2t;NH4t	RHAG;RHCE	2;1			protein_RHAG_pc(2);protein_RHCE_pc(1)	pc	133850.77200000046
cplx_HETEROTETRAMER_RH_pc	cplx_HETEROTETRAMER_RH	protein_RHAG_pc;protein_RHCE_pc;protein_RHD_pc	CO2t;NH4t	RHAG;RHCE;RHD	2;1;1			protein_RHAG_pc(2);protein_RHCE_pc(1);protein_RHD_pc(1)	pc	179064.94900000066
cplx_HOMODIMER_RPE_pc	cplx_HOMODIMER_RPE	protein_RPE_pc	RPE	RPE	2			protein_RPE_pc(2)	pc	49838.95600000001
cplx_HOMODIMER_RPIA_pc	cplx_HOMODIMER_RPIA	protein_RPIA_pc	RPI	RPIA	2			protein_RPIA_pc(2)	pc	66545.38800000002
cplx_MONOMER_SCN4A_pc	cplx_MONOMER_SCN4A	protein_SCN4A_pc	NAt	SCN4A	1		ASSUMED MONOMER	protein_SCN4A_pc(1)	pc	207997.94099999793
cplx_MONOMER_SCN9A_pc	cplx_MONOMER_SCN9A	protein_SCN9A_pc	NAt	SCN9A	1		ASSUMED MONOMER	protein_SCN9A_pc(1)	pc	226364.48299999777
cplx_HOMODIMER_SLC16A1_pc	cplx_HOMODIMER_SLC16A1	protein_SLC16A1_pc	L_LACt2;PYRt2	SLC16A1	2			protein_SLC16A1_pc(2)	pc	107907.53800000034
cplx_HOMODIMER_SLC16A7_pc	cplx_HOMODIMER_SLC16A7	protein_SLC16A7_pc	L_LACt2;PYRt2	SLC16A7	2			protein_SLC16A7_pc(2)	pc	104429.80000000038
cplx_MONOMER_SLC22A4_pc	cplx_MONOMER_SLC22A4	protein_SLC22A4_pc	Kt1	SLC22A4	1		ASSUMED MONOMER	protein_SLC22A4_pc(1)	pc	62154.55300000031
cplx_MONOMER_SLC29A1_pc	cplx_MONOMER_SLC29A1	protein_SLC29A1_pc	ADEt;ADNt;HYXNt;INSt	SLC29A1	1		ASSUMED MONOMER	protein_SLC29A1_pc(1)	pc	50224.02700000015
cplx_HOMOTETRAMER_SLC2A1_pc	cplx_HOMOTETRAMER_SLC2A1	protein_SLC2A1_pc	GLC_Dt	SLC2A1	4			protein_SLC2A1_pc(4)	pc	216357.2760000008
cplx_HOMOTETRAMER_SLC2A14_pc	cplx_HOMOTETRAMER_SLC2A14	protein_SLC2A14_pc	GLC_Dt	SLC2A14	4			protein_SLC2A14_pc(4)	pc	225286.5240000009
cplx_HOMOTETRAMER_SLC2A2_pc	cplx_HOMOTETRAMER_SLC2A2	protein_SLC2A2_pc	GLC_Dt	SLC2A2	4			protein_SLC2A2_pc(4)	pc	229964.03200000073
cplx_HOMOTETRAMER_SLC2A3_pc	cplx_HOMOTETRAMER_SLC2A3	protein_SLC2A3_pc	GLC_Dt	SLC2A3	4			protein_SLC2A3_pc(4)	pc	215695.10000000088
