reactions	name	reaction	gene reaction rule	subsystem	spontaneous	proteomic evidence (#studies)	references	notes	metatlas
5FLUDPK	Nucleoside-diphosphate kinase (ATP:5-fluorouridine 5-diphosphate)	atp_c + 5fludp_c --> adp_c + 5flutp_c	NME1 or (NME1 and NME2) or NME2 or (NME1 and NME3) or NME3	5-fluorouracil metabolism	0
5FLUMPK	Uridylate kinase (ATP:5-fluorouridine 5-monophosphate)	atp_c + 5flump_c --> adp_c + 5fludp_c	CMPK1	5-fluorouracil metabolism	0
5FLURAPT	5-fluorouracil phosphoribosyltransferase	5flura_c + prpp_c --> 5flump_c + ppi_c	UMPS	5-fluorouracil metabolism	0
D5FURADy	"5,6-dihydro-5-fluorouracil:NADP + 5-oxidoreductase"	5flura_c + nadph_c + h_c --> 56dh5flura_c + nadp_c	DPYD	5-fluorouracil metabolism	0
L2HGDHx	L-2-hydroxyglutarate dehydrogenase	akg_c + h_c + nadh_c --> 2hglut__L_c + nad_c	LDHB or LDHA or PHGDH or MDH1 or MDH2 or (LDHA and LDHB)	"Alanine, aspartate and glutamate metabolism"	0	LDHA (22);LDHB (22);MDH1 (16);PHGDH (2)	pubmed:27813142;pubmed:31473074
CK	Creatine kinase	atp_c + creat_c --> adp_c + h_c + pcreat_c	CKB or CKM or (CKB and CKM)	Arginine and proline metabolism	0	CKM (2)	pubmed:28364583;pubmed:5681024;pubmed:708891
CKe	Creatine kinase	atp_e + creat_e --> adp_e + h_e + pcreat_e	CKB or CKM or (CKB and CKM)	Arginine and proline metabolism	0		pubmed:28364583;pubmed:5681024;pubmed:708891
CRTNPe	Creatine phosphatase	pcreat_e --> crtn_e + pi_e	ALPL	Arginine and proline metabolism	1		pubmed:28364583;pubmed:5681024;pubmed:708891
GACMTR	Guanidinoacetate N-methyltransferase	amet__L_c + gudac_c <=> ahcys__L_c + creat_c + h_c		Arginine and proline metabolism	0		pubmed:10516995;pubmed:27646145;pubmed:33730845
NABTNO	N4-acetylaminobutanal:NAD + oxidoreductase	h2o_c + nad_c + n4abutn_c --> 2.0 h_c + nadh_c + 4aabutn_c	ALDH9A1 or ALDH3A2	Arginine and proline metabolism	0	ALDH9A1 (14)	pubmed:30914451
UREAHYDL	Urea hydro-lyase	urea_c <=> cynamd_c + h2o_c	CA3 or CA2 or CA1	Arginine and proline metabolism	0	CA1 (23);CA2 (19);CA3 (17)
ASCBCU2Re	Reduction of Copper (II) via L-ascorbate	ascb__L_e + cu2_e --> cu1_e + h_e + mdhdascb__L_e		Ascorbate and aldarate metabolism	1		pubmed:14752116;pubmed:16549536;pubmed:18243141;pubmed:9164668
ASCBFE3Re	Reduction of Iron (III) via L-ascorbate	ascb__L_e + fe3_e --> fe2_e + h_e + mdhdascb__L_e		Ascorbate and aldarate metabolism	1		pubmed:14752116;pubmed:16549536;pubmed:18243141;pubmed:9164668
ASCBO2SXe	Nonenzymatic formation of monodehydroascorbate (superoxide)	ascb__L_e + h_e + o2s_e --> h2o2_e + mdhdascb__L_e		Ascorbate and aldarate metabolism	1		pubmed:14752116
ASCBOH1Re	Nonenzymatic formation of monodehydroascorbate (hydroxyl)	ascb__L_e + oh1r_e --> h2o_e + mdhdascb__L_e		Ascorbate and aldarate metabolism	1		pubmed:14752116
CYTB5ASCBR	Monodehydroascorbate reductase (NADH)	focytb5_c + h_c + mdhdascb__L_c --> ascb__L_c + ficytb5_c	(CYB5R3 and CYB5B) or (CYB5R3 and CYB5A)	Ascorbate and aldarate metabolism	0	CYB5A (10);CYB5B (9);CYB5R3 (21)	pubmed:14752116
GLACOx	D-Glucuronolactone:NAD + oxidoreductase	2.0 h2o_c + nad_c + glac_c --> glcr_c + 3.0 h_c + nadh_c	ALDH9A1 or ALDH3A2	Ascorbate and aldarate metabolism	0				MAR08349
MDHDASCBDPe	Nonenzymatic disproportionation of monodehydroascorbate	2.0 mdhdascb__L_e --> ascb__L_e + dhdascb__L_e		Ascorbate and aldarate metabolism	1		pubmed:14752116;pubmed:8904295;pubmed:9405334
MERCPURPRT	6-Mercapatopurine phosphoribosyltransferase	mercpur_c + prpp_c --> ppi_c + thioimp_c	HPRT1	Azathioprine and 6-mercaptopurine metabolism	0	HPRT1(19)	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:12096148;pubmed:16732723;pubmed:2141093;pubmed:2630803;pubmed:8527282
MTMERCPURPRT	6-Methyl-mercapatopurine phosphoribosyltransferase	mtmercpur_c + prpp_c --> mtthioimp_c + ppi_c	HPRT1	Azathioprine and 6-mercaptopurine metabolism	0	HPRT1(19)	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:12096148;pubmed:16732723;pubmed:2141093;pubmed:2630803;pubmed:5806112;pubmed:8527282
THGDPK	Nucleoside-diphosphate kinase (ATP:6TGDP)	atp_c + thiogdp_c --> adp_c + thiogtp_c	NME1 or (NME1 and NME2) or NME2	Azathioprine and 6-mercaptopurine metabolism	0	NME1(16);NME2(12)	pubmed:1125080;pubmed:8527282
THGMPK	Guanylate kinase (6-thioguanosine monophosphate)	atp_c + thiogmp_c --> adp_c + thiogdp_c	GUK1	Azathioprine and 6-mercaptopurine metabolism	0	GUK1(10)	pubmed:1125080;pubmed:8527282
THIOGSNPNP	Purine-nucleoside phosphorylase (guanosine)	thiogsn_c + pi_c --> thiogua_c + r1p_c	PNP	Azathioprine and 6-mercaptopurine metabolism	0		pubmed:1125080;pubmed:8527282
THIOGUAPRT	6-Thioguanine phosphoribosyltransferase	prpp_c + thiogua_c --> ppi_c + thiogmp_c	HPRT1	Azathioprine and 6-mercaptopurine metabolism	0	HPRT1(19)	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:12096148;pubmed:16732723;pubmed:2141093;pubmed:2630803;pubmed:4072092;pubmed:1125080;pubmed:8527282
GTPCH1	"GTP 8,9-hydrolase"	gtp_c + h2o_c --> forapyrntp_c	GCH1	Biopterin metabolism	0		pubmed:2079837;pubmed:2762302;pubmed:3318829;pubmed:8926533
GTPCH2	formamidopyrimidine nucleoside triphosphate amidohydrolase	forapyrntp_c + h2o_c --> diampyrntp_c + for_c + h_c	GCH1	Biopterin metabolism	0		pubmed:2079837;pubmed:2762302;pubmed:3318829;pubmed:8926533
GTPCH3	"2,5-diaminopyrimidine nucleoside triphosphate mutase"	diampyrntp_c --> diam6tpop4oxpyr_c	GCH1	Biopterin metabolism	1		pubmed:2079837;pubmed:2762302;pubmed:3318829;pubmed:8926533		"According to KEGG, maybe spontaneous (Amadori rearrangement)"
GTPCH4	"2-amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate hydrolase"	diam6tpop4oxpyr_c --> ahdt_c + h2o_c	GCH1	Biopterin metabolism	1		pubmed:2079837;pubmed:2762302;pubmed:3318829;pubmed:8926533		"According to KEGG, possibly spontaneous"
FRNSL2E6EDH	farnesal dehydrogenase	frnsl2e6e_c + h2o_c + nad_c --> frnsn2e6e_c + 2 h_c + nadh_c	ALDH3A2	Cholesterol metabolism	0
CYSAMO	2-aminoethanethiol dioxygenase	o2_c + cysam_c --> h_c + hyptaur_c	ADO	Cysteine and methionine metabolism	0
CYSIL2	L-cystine thiocysteine-lyase (deaminating; pyruvate-forming)	cysi__L_c --> 2amac_c + thcys_c	CTH or KYAT1	Cysteine and methionine metabolism	0
CYSL2	L-cysteine sulfide-lyase (deaminating; pyruvate-forming)	cys__L_c --> 2amac_c + h_c + sh1_c	CTH or KYAT1	Cysteine and methionine metabolism	0		pubmed:27646145
CYSLNET	L-cysteine sulfide-lyase (deaminating; pyruvate-forming)	cys__L_c + h2o_c --> h_c + nh4_c + pyr_c + sh1_c	CTH or KYAT1	Cysteine and methionine metabolism	0	CTH (2)	pubmed:27646145		MAR02027
CYSTL1	L-cystathionine cysteine-lyase	cyst__L_c --> 2abuten_c + cys__L_c	CTH	Cysteine and methionine metabolism	0	CTH (2)	pubmed:24636780;pubmed:27646145
HSERL1	Homoserine lyase	hser__L_c --> 2abuten_c + h2o_c	KYAT1	Cysteine and methionine metabolism	0	CTH (2)
METOXR	Oxidation of L-methionyl-[protein]	h2o2_c + protres_met__L_c --> protres_metSox__SL_c + h2o_c		Cysteine and methionine metabolism	0
METOXS	Oxidation of L-methionine	h2o2_c + met__L_c --> metSox__SL_c + h2o_c		Cysteine and methionine metabolism	0
NACCYSDAC	N-acetyl L-cysteine deaceylase	naccys__L_c + h2o_c --> cys__L_c + ac_c	ACY1	Cysteine and methionine metabolism	0		pubmed:17544838;pubmed:9490753
PROTMSOXTRD	peptide-methionine (S)-S-oxide reductase	trdxrd_c + protres_metSox__SL_c --> trdxox_c + h2o_c + protres_met__L_c	MSRA	Cysteine and methionine metabolism	0		pubmed:17938273
SLDx	L-sulfolactate dehydrogenase (NAD + )	3spyr_c + h_c + nadh_c <=> nad_c + slac__L_c	MDH1 or MDH2 	Cysteine and methionine metabolism	0	MDH1 (16)	pubmed:3346220
EDP1011EPHX	"Epoxide hydrolase (10,11-EDP)"	edp1011_c + h2o_c --> dihdpa1011_c	EPHX1 or EPHX2	Docosahexaenoic acid metabolism	0	EPHX1(10)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EDP1314EPHX	"Epoxide hydrolase (13,14-EDP)"	edp1314_c + h2o_c --> dihdpa1314_c	EPHX1 or EPHX2	Docosahexaenoic acid metabolism	0	EPHX1(10)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EDP1617EPHX	"Epoxide hydrolase (16,17-EDP)"	edp1617_c + h2o_c --> dihdpa1617_c	EPHX1 or EPHX2	Docosahexaenoic acid metabolism	0	EPHX1(10)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EDP1920EPHX	"Epoxide hydrolase (19,20-EDP)"	edp1920_c + h2o_c --> dihdpa1920_c	EPHX1 or EPHX2	Docosahexaenoic acid metabolism	0	EPHX1(10)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EDP78EPHX	"Epoxide hydrolase (7,8-EDP)"	edp78_c + h2o_c --> dihdpa78_c	EPHX1 or EPHX2	Docosahexaenoic acid metabolism	0	EPHX1(10)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EEQ1112EPHX	"Epoxide hydrolase (11,12-EEQ)"	eeq1112_c + h2o_c --> dihete1112_c	EPHX1 or EPHX2	Eicosapentaenoic acid metabolism	0	EPHX1(10)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EEQ1415EPHX	"Epoxide hydrolase (14,15-EEQ)"	eeq1415_c + h2o_c --> dihete1415_c	EPHX1 or EPHX2	Eicosapentaenoic acid metabolism	0	EPHX1(10)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EEQ1718EPHX	"Epoxide hydrolase (17,18-EEQ)"	eeq1718_c + h2o_c --> dihete1718_c	EPHX1 or EPHX2	Eicosapentaenoic acid metabolism	0	EPHX1(10)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EEQ56EPHX	"Epoxide hydrolase (5,6-EEQ)"	eeq56_c + h2o_c --> dihete56_c	EPHX1 or EPHX2	Eicosapentaenoic acid metabolism	0	EPHX1(10)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EEQ89EPHX	"Epoxide hydrolase (8,9-EEQ)"	eeq89_c + h2o_c --> dihete89_c	EPHX1 or EPHX2	Eicosapentaenoic acid metabolism	0	EPHX1(10)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
23E1QN1GST	"Glutathione:estrone-2,3-quinone S-transferase"	estrone23qn_c + gthrd_c <=> 1sgth2hoxe1_c	GSTM1 or GSTM2 or GSTM3 or GSTM4 or GSTM5 or GSTT1 or GSTP1 or GSTO1 or LANCL1 or MGST2	Estrogen metabolism	0	GSTA2 (1);GSTM1 (2);GSTM2 (6);GSTM3 (14);GSTM4 (1);GSTO1 (20);GSTP1 (13);GSTT1 (11);LANCL1 (13);MGST2 (5)	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738
23E1QN4GST	"Glutathione:estrone-2,3-quinone S-transferase"	estrone23qn_c + gthrd_c <=> 4sgth2hoxe1_c	GSTM1 or GSTM2 or GSTM3 or GSTM4 or GSTM5 or GSTT1 or GSTP1 or GSTO1 or LANCL1 or MGST2	Estrogen metabolism	0	GSTA2 (1);GSTM1 (2);GSTM2 (6);GSTM3 (14);GSTM4 (1);GSTO1 (20);GSTP1 (13);GSTT1 (11);LANCL1 (13);MGST2 (5)	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738
23E2QN1GST	"Glutathione:17beta-estradiol-2,3-quinone S-transferase"	estradiol23qn_c + gthrd_c <=> 1sgth2hoxe2_c	GSTM1 or GSTM2 or GSTM3 or GSTM4 or GSTM5 or GSTT1 or GSTP1 or GSTO1 or LANCL1 or MGST2	Estrogen metabolism	0	GSTA2 (1);GSTM1 (2);GSTM2 (6);GSTM3 (14);GSTM4 (1);GSTO1 (20);GSTP1 (13);GSTT1 (11);LANCL1 (13);MGST2 (5)	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738
23E2QN4GST	"Glutathione:17beta-estradiol-2,3-quinone S-transferase"	estradiol23qn_c + gthrd_c <=> 4sgth2hoxe2_c	GSTM1 or GSTM2 or GSTM3 or GSTM4 or GSTM5 or GSTT1 or GSTP1 or GSTO1 or LANCL1 or MGST2	Estrogen metabolism	0	GSTA2 (1);GSTM1 (2);GSTM2 (6);GSTM3 (14);GSTM4 (1);GSTO1 (20);GSTP1 (13);GSTT1 (11);LANCL1 (13);MGST2 (5)	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738
34E1QN2GST	"Glutathione:estrone-3,4-quinone S-transferase"	estrone34qn_c + gthrd_c <=> 2sgth4hoxe1_c	GSTM1 or GSTM2 or GSTM3 or GSTM4 or GSTM5 or GSTT1 or GSTP1 or GSTO1 or LANCL1 or MGST2	Estrogen metabolism	0	GSTA2 (1);GSTM1 (2);GSTM2 (6);GSTM3 (14);GSTM4 (1);GSTO1 (20);GSTP1 (13);GSTT1 (11);LANCL1 (13);MGST2 (5)	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738
34E2QN2GST	"Glutathione:17beta-estradiol-3,4-quinone S-transferase"	estradiol34qn_c + gthrd_c <=> 2sgth4hoxe2_c	GSTM1 or GSTM2 or GSTM3 or GSTM4 or GSTM5 or GSTT1 or GSTP1 or GSTO1 or LANCL1 or MGST2	Estrogen metabolism	0	GSTA2 (1);GSTM1 (2);GSTM2 (6);GSTM3 (14);GSTM4 (1);GSTO1 (20);GSTP1 (13);GSTT1 (11);LANCL1 (13);MGST2 (5)	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738
CYTBFADSD5_20_8Z11Z14Z	"Acyl-CoA (8-3)-desaturase (CoA 20:3(8Z,11Z,14Z))"	FAcoa_hs_20_8Z11Z14Z_c + 2.0 focytb5_c + 2.0 h_c + o2_c --> FAcoa_hs_20_5Z8Z11Z14Z_c + 2.0 ficytb5_c + 2.0 h2o_c	(FADS1 and CYB5A) or (FADS1 and CYB5B) 	Fatty acid desaturation (even-chain)	0		pubmed:33310680;pubmed:33904180;pubmed:4379089
CYTBFADSD5_20_8Z11Z14Z17Z	"Acyl-CoA (8-3)-desaturase (CoA 20:4(8Z,11Z,14Z, 17Z))"	FAcoa_hs_20_8Z11Z14Z17Z_c + 2.0 focytb5_c + 2.0 h_c + o2_c --> FAcoa_hs_20_5Z8Z11Z14Z17Z_c + 2.0 ficytb5_c + 2.0 h2o_c	(FADS1 and CYB5A) or (FADS1 and CYB5B) 	Fatty acid desaturation (even-chain)	0		pubmed:33310680;pubmed:33904180;pubmed:4379089
CYTBFADSD6_18_9Z	Acyl-CoA 6-desaturase (CoA 18:1(9Z))	FAcoa_hs_18_9Z_c + 2.0 focytb5_c + 2.0 h_c + o2_c --> FAcoa_hs_18_9Z12Z_c + 2.0 ficytb5_c + 2.0 h2o_c	(FADS2 and CYB5A) or (FADS2 and CYB5B) 	Fatty acid desaturation (even-chain)	0		pubmed:33310680;pubmed:33904180;pubmed:4379089
CYTBFADSD6_18_9Z12Z	"Acyl-CoA 6-desaturase (CoA 18:2(9Z,12Z))"	FAcoa_hs_18_9Z12Z_c + 2.0 focytb5_c + 2.0 h_c + o2_c --> FAcoa_hs_18_6Z9Z12Z_c + 2.0 ficytb5_c + 2.0 h2o_c	(FADS2 and CYB5A) or (FADS2 and CYB5B) 	Fatty acid desaturation (even-chain)	0		pubmed:33310680;pubmed:33904180;pubmed:4379089
CYTBFADSD6_18_9Z12Z15Z	"Acyl-CoA 6-desaturase (CoA 18:3(9Z,12Z,15Z))"	FAcoa_hs_18_9Z12Z15Z_c + 2.0 focytb5_c + 2.0 h_c + o2_c --> FAcoa_hs_18_6Z9Z12Z15Z_c + 2.0 ficytb5_c + 2.0 h2o_c	(FADS2 and CYB5A) or (FADS2 and CYB5B) 	Fatty acid desaturation (even-chain)	0		pubmed:33310680;pubmed:33904180;pubmed:4379089
CYTBFADSD6_20_11Z14Z	"Acyl-CoA 6-desaturase (CoA 20:2(11Z,14Z))"	FAcoa_hs_20_11Z14Z_c + 2.0 focytb5_c + 2.0 h_c + o2_c --> FAcoa_hs_20_8Z11Z14Z_c + 2.0 ficytb5_c + 2.0 h2o_c	(FADS2 and CYB5A) or (FADS2 and CYB5B) 	Fatty acid desaturation (even-chain)	0		pubmed:33310680;pubmed:33904180;pubmed:4379089
CYTBFADSD6_20_11Z14Z17Z	"Acyl-CoA 6-desaturase (CoA 20:3(11Z,14Z,17Z))"	FAcoa_hs_20_11Z14Z17Z_c + 2.0 focytb5_c + 2.0 h_c + o2_c --> FAcoa_hs_20_8Z11Z14Z17Z_c + 2.0 ficytb5_c + 2.0 h2o_c	(FADS2 and CYB5A) or (FADS2 and CYB5B) 	Fatty acid desaturation (even-chain)	0		pubmed:33310680;pubmed:33904180;pubmed:4379089
CYTBFADSD9_16_0	Stearoyl-CoA desaturase (CoA 16:0)	FAcoa_hs_16_0_c + 2.0 focytb5_c + 2.0 h_c + o2_c --> FAcoa_hs_16_9Z_c + 2.0 ficytb5_c + 2.0 h2o_c	(SCD and CYB5A) or (SCD and CYB5B) 	Fatty acid desaturation (even-chain)	0		pubmed:33310680;pubmed:33904180;pubmed:4379089
CYTBFADSD9_18_0	Stearoyl-CoA desaturase (CoA 18:0)	FAcoa_hs_18_0_c + 2.0 focytb5_c + 2.0 h_c + o2_c --> FAcoa_hs_18_9Z_c + 2.0 ficytb5_c + 2.0 h2o_c	(SCD and CYB5A) or (SCD and CYB5B) 	Fatty acid desaturation (even-chain)	0		pubmed:33310680;pubmed:33904180;pubmed:4379089
GAL1PP	alpha-D-galactose 1-phosphatase	gal1p_c + h2o_c --> gal_c + pi_c	IMPA1 or IMPA2	Galactose metabolism	0	IMPA1 (8)	pubmed:9462881
GALK	Galactokinase	atp_c + gal_c --> adp_c + gal1p_c + h_c	GALK1 or GALK2	Galactose metabolism	0	GALK1 (4)	doi:10.1016/B978-0-12-677201-2.X5001-6
DAGK	Diacylglycerol phosphate (DG) kinase	atp_c + dag_hs_c --> adp_c + h_c + pa_hs_c	DGKA	Glycerolipid metabolism	0	DGKA (8)	pubmed:13715208;pubmed:13961253;pubmed:6263251;pubmed:821476
GLYALDD	D-glyceraldehyde dehydrogenase	glyald_c + h2o_c + nad_c --> glyc__R_c + 2.0 h_c + nadh_c	ALDH9A1 or ALDH3A2	Glycerolipid metabolism	0	ALDH9A1 (14)	pubmed:12125098;pubmed:30914451
ETHPe	Ethanolamine phosphate phosphatase	ethamp_e + h2o_e --> etha_e + pi_e	PHOSPHO1 or ALPL	Glycerophospholipid metabolism	0	PHOSPHO1 (7)		Spontaneous according to KEGG
2ABUTENT	Nonenzymatic tautomerization of 2-aminobut-2-enoate	2abuten_c <=> 2ibut_c		"Glycine, serine and threonine metabolism"	1		pubmed:24636780;pubmed:27646145	Spontaneous according to KEGG
2AMACT	Nonenzymatic tautomerization of 2-Aminoprop-2-enoate	2amac_c <=> 2imppa_c		"Glycine, serine and threonine metabolism"	1		pubmed:27646145
2IMBUTDA	2-iminobutanoate deaminase	2ibut_c + h2o_c --> 2obut_c + nh4_c	RIDA	"Glycine, serine and threonine metabolism"	1	RIDA (5)	pubmed:24636780;pubmed:27646145	Spontaneous according to KEGG
2IMPPADA	2-iminopropanoate aminohydrolase	2imppa_c + h2o_c --> pyr_c + nh4_c	RIDA	"Glycine, serine and threonine metabolism"	1		pubmed:27646145	Spontaneous according to KEGG
PGCD	3-Phospho-D-glycerate:NAD + 2-oxidoreductase	3pg_c + nad_c <=> 3php_c + h_c + nadh_c	PHGDH	"Glycine, serine and threonine metabolism"	0		pubmed:25556331;pubmed:27405778
SERHL	L-serine dehydratase	ser__L_c --> 2amac_c + h2o_c	SDSL	"Glycine, serine and threonine metabolism"	0			pubmed: 34669510
THRHL	L-threonine dehydratase	thr__L_c --> 2abuten_c + h2o_c	SDSL	"Glycine, serine and threonine metabolism"	0
4PERK	"Erroneous formation of 1,4-bisphosphoerythronate"	adp_c + e14bp_c + h_c <=> 4per_c + atp_c	PGK1 or PGK2	Glycolysis / Gluconeogenesis	0	PGK1(20)	pubmed:31473074
G1PPa	D-glucose 1-phosphate phosphatase	g1p_c + h2o_c --> glc__aD_c + pi_c	IMPA1 or IMPA2	Glycolysis / Gluconeogenesis	0	IMPA1 (8)	pubmed:17068342
PFK	Phosphofructokinase	atp_c + f6p_c --> adp_c + fdp_c + h_c	(PFKL and PFKM) or (PFKL and PFKP) or PFKP or PFKL or PFKM	Glycolysis / Gluconeogenesis	0	PFKL (19);PFKM (14);PFKP (12)	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:2141093;pubmed:2630803;pubmed:2970843;pubmed:6444721
PGK	Phosphoglycerate kinase	13dpg_c + adp_c <=> 3pg_c + atp_c	PGK1 or PGK2	Glycolysis / Gluconeogenesis	0	PGK1(20);PGK2(4)	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:2141093;pubmed:2630803
CMPACNAGA1	"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase"	ga1_hs_c + cmpacna_c --> cmp_c + h_c + gm1b_hs_c	ST3GAL1 or ST3GAL2	Glycosphingolipid biosynthesis - ganglio series	0		pubmed:5003667;pubmed:3223222;pubmed:3084191		MAR00817
CMPACNAGD1B	"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase"	gd1b_hs_c + cmpacna_c --> cmp_c + h_c + gt1b_hs_c	ST3GAL1 or ST3GAL2	Glycosphingolipid biosynthesis - ganglio series	0		pubmed:5003667;pubmed:3223222;pubmed:3084191		MAR00844
CMPACNAGM1	"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase"	gm1_hs_c + cmpacna_c --> cmp_c + h_c + gd1a_hs_c	ST3GAL1 or ST3GAL2	Glycosphingolipid biosynthesis - ganglio series	0		pubmed:5003667;pubmed:3223222;pubmed:3084191		MAR00837
NEU24	Neuraminidase	gm1_hs_c + h2o_c --> ga1_hs_c + acnam_c	NEU2	Glycosphingolipid biosynthesis - ganglio series	0		pubmed:15763399		MAR12068
NEU25	Neuraminidase	gm2_hs_c + h2o_c --> ga2_hs_c + acnam_c	NEU1 or NEU2 or NEU3	Glycosphingolipid biosynthesis - ganglio series	0		pubmed:15763399		MAR00850
