reactions	name	notes
CEPTC_16_0_18_9Z12Z	Choline phosphotransferase (C16:0, C18:2)	Lipids are pooled, replaced with pooled version (CEPTC). Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
CEPTC_18_9Z12Z_16_0	Choline phosphotransferase (C18:2, C16:0)	Lipids are pooled, replaced with pooled version (CEPTC). Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
CEPTC_18_9Z12Z_18_9Z	Choline phosphotransferase (C18:2, C18:1)	Lipids are pooled, replaced with pooled version (CEPTC). Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
CEPTC_18_9Z_18_9Z	Choline phosphotransferase (C18:1, C18:1)	Lipids are pooled, replaced with pooled version (CEPTC). Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
CEPTC_18_9Z_18_9Z12Z	Choline phosphotransferase (C18:1, C18:2)	Lipids are pooled, replaced with pooled version (CEPTC). Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
CEPTE	Ethanolamine phosphotransferase	Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
CEPTE_16_0_16_0	Ethanolamine phosphotransferase (C16:0,C16:0)	Lipids are pooled, replaced with pooled version (CEPTE). Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
CEPTE_16_0_18_9Z	Ethanolamine phosphotransferase (C16:0,C18:1)	Lipids are pooled, replaced with pooled version (CEPTE). Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
CEPTE_16_0_18_9Z12Z	Ethanolamine phosphotransferase (C16:0,C18:2)	Lipids are pooled, replaced with pooled version (CEPTE). Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
CEPTE_18_9Z12Z_16_0	Ethanolamine phosphotransferase (C18:2,C16:0)	Lipids are pooled, replaced with pooled version (CEPTE). Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
CEPTE_18_9Z12Z_18_9Z	Ethanolamine phosphotransferase (C18:2,C18:1)	Lipids are pooled, replaced with pooled version (CEPTE). Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
CEPTE_18_9Z_18_9Z	Ethanolamine phosphotransferase (C18:1,C18:1)	Lipids are pooled, replaced with pooled version (CEPTE). Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
CEPTE_18_9Z_18_9Z12Z	Ethanolamine phosphotransferase (C18:1,C18:2)	Lipids are pooled, replaced with pooled version (CEPTE). Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
CHOLK	Choline kinase	Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
CHOLt4	Choline, sodium cotransport	Replaced by CHOLt. Uphill movement of choline is probably not coupled directly to the Na(+) electrochemical gradient. (PMID: 5651769)
CPPPGO	Coproporphyrinogen oxidase (O2 required)	Removed from model. Coproporphyrinogen oxidase is a mitochondrial enzyme for heme synthesis, and healthy mature erythrocytes do not synthesize heme nor have mitochondria.
CRNAT_16_0rbc	C160 reverse	Forward and reverse reactions have been merged under one net reaction. Carnitine palmitoyltransferase is reversible (PMID:1618773).
CRNAT_18_9Z12Zrbc	Carnitine transferase	Forward and reverse reactions have been merged under one net reaction. Carnitine palmitoyltransferase is reversible (PMID:1618773).
CRNAT_18_9Zrbc	Carnitine octadecenoyl transferase	Forward and reverse reactions have been merged under one net reaction. Carnitine palmitoyltransferase is reversible (PMID:1618773).
DAGK_16_0_16_0	Diacylglycerol phosphate kinase (homo sapiens, C16:0, C16:0)	Lipids are pooled, replaced with pooled version (DAGK)
DAGK_16_0_18_9Z	Diacylglycerol phosphate kinase (homo sapiens, C16:0, C18:1)	Lipids are pooled, replaced with pooled version (DAGK)
DAGK_16_0_18_9Z12Z	Diacylglycerol phosphate kinase (homo sapiens, C16:0, C18:2)	Lipids are pooled, replaced with pooled version (DAGK)
DAGK_18_9Z12Z_16_0	Diacylglycerol phosphate kinase (homo sapiens, C18:2,C16:0)	Lipids are pooled, replaced with pooled version (DAGK)
DAGK_18_9Z12Z_18_9Z	Diacylglycerol phosphate kinase (homo sapiens, C18:2,C18:1)	Lipids are pooled, replaced with pooled version (DAGK)
DAGK_18_9Z_18_9Z	Diacylglycerol phosphate kinase (homo sapiens, C18:1,C18:1)	Lipids are pooled, replaced with pooled version (DAGK)
DAGK_18_9Z_18_9Z12Z	Diacylglycerol phosphate kinase (homo sapiens, C18:1,C18:2)	Lipids are pooled, replaced with pooled version (DAGK)
DM_adprbp_c	Demand for Adenosine-5'-Diphosphate-D-Ribose 2-Phosphate	Removed from model. No pseudoreactions kept other than exchanges.
DM_mi1345p_c	Demand for 1D-Myo-Inositol 1,3,4,5-Tetrakisphosphate	Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in inositol phosphate metabolism
DM_mi134p_c	Demand for 1D-Myo-Inositol 1,3,4-Trisphosphate	Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in inositol phosphate metabolism
DM_mi145p_c	Demand for 1D-Myo-Inositol 1,4,5-Trisphosphate	Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in inositol phosphate metabolism
DM_mi14p_c	Demand for (1R,2R,3R,4R,5R,6S)-2,3,5,6-Tetrahydroxy-4-(Phosphonatooxy)Cyclohexyl Phosphate	Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in inositol phosphate metabolism
ETHAK	Ethanolamine kinase	Removed from model, no de novo synthesis of phospatidylcholine/phospatidylethanolamine in mature erythrocytes
EX_bilglcur_e	Bilirubin monoglucuronide exchange	Heme oxygenase occurs in macrophages. Furthermore, mature erythrocytes do not enzymatically degrade heme, heme degradation is from oxidative damage that under physiological conditions, does not form bilirubin. No evidence of glucuronidation in erythrocytes.
EX_gluala_e	5 L Glutamyl L alanine C8H13N2O5 exchange	Removed from model. Gamma-glutamylcyclotransferase is not involved in the transport of glutamyl-dipeptides (PMID:3593246, PMID:3593247). Furthermore, erythrocytes do not transport alpha-glutamyl-dipeptides (PMID: 3593246, PMID: 3593247). Dipeptide transport occurs via simple diffusion and futhermore, it was calculated that under normal physiological conditions the diffusive fluxes of circulating plasma peptides into human erythrocytes are too small for these cells to play a significant role in dipeptide catabolism (PMID: 2327979)
FADDP	FAD diphosphatase	Replaced by FADL and CFMNH. Erythrocytes contain Triokinase/FMN cyclase which can split FAD into AMP and cyclic FMN, which is subsequentyly hydrolyzed to produce FMN. (PMID: 4688871, PMID: 9480905)
FBP26	Fructose 2 6 bisphosphate 2 phosphatase	6-phosphofructo-2-kinase activity are markedly influenced by the number of reticulocytes (PMID: 1667653). Furthermore, 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 is absent from erytrhrocytes
FCLT	Ferrochelatase	Removed from model. Ferrocheletase is a mitochondrial enzyme for heme synthesis, and healthy mature erythrocytes do not synthesize heme nor have mitochondria.
GLNt4	L-glutamine reversible transport via sodium symport	Replaced by reactions involving the amino acid transport proteins for the ASCT system/N system (Gene ID: 6510, SLC1A5), the y+ system (Gene ID: 9057, SLC7A6; Gene ID: 6520, SLC3A2), and the L system (Gene ID: 8501; SLC43A1, Gene ID: 124935, SLC43A2)
GLYK	Glycerol kinase	Replaced by TRIOK and DHAK. Crude hemolysates were found to phosphorylate DHA and glyceraldehyde but not glycerol (PMID: 4688871)
GPAT_16_0	Glycerol-3-phosphate acyltransferase (C16:0)	Lipids are pooled, replaced with pooled version (GPAT)
GPAT_18_9Z	Glycerol-3-phosphate acyltransferase (C18:1)	Lipids are pooled, replaced with pooled version (GPAT)
GPAT_18_9Z12Z	Glycerol-3-phosphate acyltransferase (C18:2)	Lipids are pooled, replaced with pooled version (GPAT)
HOXG	Heme oxygenase 1	Heme oxygenase occurs in macrophages. Furthermore, mature erythrocytes do not enzymatically degrade heme, heme degradation is from oxidative damage that under physiological conditions, does not form bilirubin. No evidence of glucuronidation in erythrocytes.
LEUKTRB4t	Leukotriene B4 transmembrane (homo sapiens) transport	Replaced by LEUKTRB4ABCte. Leukotriene can be exported by ATP-binding cassette transporters including ABCC4
LPAAT_16_0_16_0	1-acylglycerol-3-phosphate O-acyltransferase 1 (C16:0, C16:0)	Lipids are pooled, replaced with pooled version (LPAAT)
LPAAT_16_0_18_9Z	1-acylglycerol-3-phosphate O-acyltransferase 1 (C16:0, C18:1)	Lipids are pooled, replaced with pooled version (LPAAT)
LPAAT_16_0_18_9Z12Z	1-acylglycerol-3-phosphate O-acyltransferase 1 (C16:0, C18:2)	Lipids are pooled, replaced with pooled version (LPAAT)
LPAAT_18_9Z12Z_16_0	1-acylglycerol-3-phosphate O-acyltransferase 1 (C18:2,C16:0)	Lipids are pooled, replaced with pooled version (LPAAT)
LPAAT_18_9Z12Z_18_9Z	1-acylglycerol-3-phosphate O-acyltransferase 1 (C18:2,C18:1)	Lipids are pooled, replaced with pooled version (LPAAT)
LPAAT_18_9Z_18_9Z	1-acylglycerol-3-phosphate O-acyltransferase 1 (C18:1,C18:1)	Lipids are pooled, replaced with pooled version (LPAAT)
LPAAT_18_9Z_18_9Z12Z	1-acylglycerol-3-phosphate O-acyltransferase 1 (C18:1,C18:2)	Lipids are pooled, replaced with pooled version (LPAAT)
LPCLPLB_16_0	Lysophospholipase (C16:0)	Lipids are pooled, replaced with pooled version (LPCLPLB2)
LPCLPLB_18_9Z	Lysophospholipase (C18:1)	Lipids are pooled, replaced with pooled version (LPCLPLB2)
LPCLPLB_18_9Z12Z	Lysophospholipase (C18:w)	Lipids are pooled, replaced with pooled version (LPCLPLB2)
MEPIVESSte	Metanephrine secretion via secretory vesicle (ATP driven)	Replaced by simple transport reaction (MEPIt), no evidence of formula for secretory vesicle (ATP driven) stoichiometry/formula
MI1PS	Myo Inositol 1 phosphate synthase	Replaced by MI3PS, shown to synthesize myo-inositol 3 phosphate and not myo-inositol 1 phosphate
NADHload	Demand NADH	Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions involving methemoglobin (METHBCYTBR, FCYTOB5OXR)
NH4t3r	Ammonia transport via proton antiport	Replaced by NH4c, NH4e, and NH3t. From UniProt Curation - Several mechanisms of transport has been proposed, namely electroneutral NH3 transport (pubmed:15572441, pubmed:19273840) and electroneutral NH4+/H+ exchange (pubmed:11861637, pubmed:19273840, pubmed:15572441). However, Caner T. et al demonstrates that RHAG is unlikely to be NH4+/H+ exchanger, but transports the ionic NH4+ and the neutral NH3 species and that the transport of NH4+ is electrogenic (pubmed:26354748).
NICRNS	Nicotinate D-ribonucleotide synthase (ATP)	Replaced by NAMNPP and NAPRT. Synthesis of NAD using ATP from nicotinate can be accomplished using the nicotinate phosphoribosyltransferase (Gene 93100, NAPRT), which has proteomic evidence associated.
NORMETEVESSte	L-Normetanephrine seceretion via secretory vesicle (ATP driven)	Replaced by simple transport reaction (NORMETt), no evidence of formula for secretory vesicle (ATP driven) stoichiometry/formula
OPAH	5-Oxoproline amidohydrolase (ATP-hydrolysing) (ir)	5-oxoprolinase is absent from mature erythrocytes (PMID: 24636780). 5-oxoproline is an end-product of glutathione metabolism in erythrocytes, and that 5-oxoproline passes out of the erythrocyte and is metabolized in other tissues (PMID: 4150022)
OROATP	Orotic acid transport inout via proton symporter	Replaced by OROTGLUex. Orotic acid is an excellent substrate for human OAT2 (PMID: 21446918). Efflux of glutamate drives uptake of orotic acid (PMID: 26377792)
PAPP_16_0_16_0	Phosphatidic acid phosphatase (C16:0, C16:0)	Lipids are pooled, replaced with pooled version (PAPP)
PAPP_16_0_18_9Z	Phosphatidic acid phosphatase (C16:0, C18:1)	Lipids are pooled, replaced with pooled version (PAPP)
PAPP_16_0_18_9Z12Z	Phosphatidic acid phosphatase (C16:0, C18:2)	Lipids are pooled, replaced with pooled version (PAPP)
PAPP_18_9Z12Z_16_0	Phosphatidic acid phosphatase (C18:2, C16:0)	Lipids are pooled, replaced with pooled version (PAPP)
PAPP_18_9Z12Z_18_9Z	Phosphatidic acid phosphatase (C18:2, C18:1)	Lipids are pooled, replaced with pooled version (PAPP)
PAPP_18_9Z_18_9Z	Phosphatidic acid phosphatase (C18:1,C18:1)	Lipids are pooled, replaced with pooled version (PAPP)
PAPP_18_9Z_18_9Z12Z	Phosphatidic acid phosphatase (C18:1,C18:2)	Lipids are pooled, replaced with pooled version (PAPP)
PCPLA2_16_0_16_0	Phospholipase A2 (C16:0,C16:0)	Lipids are pooled, replaced with pooled version (PCPLA2)
PCPLA2_16_0_18_9Z	Phospholipase A2 (C16:0,C18:1)	Lipids are pooled, replaced with pooled version (PCPLA2)
PCPLA2_16_0_18_9Z12Z	Phospholipase A2 (C16:0,C18:2)	Lipids are pooled, replaced with pooled version (PCPLA2)
PCPLA2_18_9Z12Z_16_0	Phospholipase A2 (C18:2,C16:0)	Lipids are pooled, replaced with pooled version (PCPLA2)
PCPLA2_18_9Z12Z_18_9Z	Phospholipase A2 (C18:2,C18:1)	Lipids are pooled, replaced with pooled version (PCPLA2)
PCPLA2_18_9Z_18_9Z	Phospholipase A2 (C18:1,C18:1)	Lipids are pooled, replaced with pooled version (PCPLA2)
PCPLA2_18_9Z_18_9Z12Z	Phospholipase A2 (C18:1,C18:2)	Lipids are pooled, replaced with pooled version (PCPLA2)
PFK26	6 phosphofructo 2 kinase	6-phosphofructo-2-kinase activity are markedly influenced by the number of reticulocytes (PMID: 1667653). Furthermore, 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 is absent from erytrhrocytes
PI45P5P_16_0_16_0	Phosphatidylinositol-4,5-bisphosphate 5-phosphatase (C16:0, C16:0)	Lipids are pooled, replaced with pooled version (PI45P5P)
PI45P5P_16_0_18_9Z	Phosphatidylinositol-4,5-bisphosphate 5-phosphatase (C16:0, C18:1)	Lipids are pooled, replaced with pooled version (PI45P5P)
PI45P5P_16_0_18_9Z12Z	Phosphatidylinositol-4,5-bisphosphate 5-phosphatase (C16:0, C18:2)	Lipids are pooled, replaced with pooled version (PI45P5P)
PI45P5P_18_9Z12Z_16_0	Phosphatidylinositol-4,5-bisphosphate 5-phosphatase (C18:2, C16:0)	Lipids are pooled, replaced with pooled version (PI45P5P)
PI45P5P_18_9Z12Z_18_9Z	Phosphatidylinositol-4,5-bisphosphate 5-phosphatase (C18:2, C18:1)	Lipids are pooled, replaced with pooled version (PI45P5P)
PI45P5P_18_9Z_18_9Z	Phosphatidylinositol-4,5-bisphosphate 5-phosphatase (C18:1, C18:1)	Lipids are pooled, replaced with pooled version (PI45P5P)
PI45P5P_18_9Z_18_9Z12Z	Phosphatidylinositol-4,5-bisphosphate 5-phosphatase (C18:1, C18:2)	Lipids are pooled, replaced with pooled version (PI45P5P)
PI45PLC_16_0_16_0	Phosphatidylinositol 4,5-bisphosphate phospholipase C (C16:0, C16:0)	Lipids are pooled, replaced with pooled version (PI45PLC)
PI45PLC_16_0_18_9Z	Phosphatidylinositol 4,5-bisphosphate phospholipase C (C16:0, C18:1)	Lipids are pooled, replaced with pooled version (PI45PLC)
PI45PLC_16_0_18_9Z12Z	Phosphatidylinositol 4,5-bisphosphate phospholipase C (C16:0, C18:2)	Lipids are pooled, replaced with pooled version (PI45PLC)
PI45PLC_18_9Z12Z_16_0	Phosphatidylinositol 4,5-bisphosphate phospholipase C (C18:2, C16:0)	Lipids are pooled, replaced with pooled version (PI45PLC)
PI45PLC_18_9Z12Z_18_9Z	Phosphatidylinositol 4,5-bisphosphate phospholipase C (C18:2, C18:1)	Lipids are pooled, replaced with pooled version (PI45PLC)
PI45PLC_18_9Z_18_9Z	Phosphatidylinositol 4,5-bisphosphate phospholipase C (C18:1, C18:1)	Lipids are pooled, replaced with pooled version (PI45PLC)
PI45PLC_18_9Z_18_9Z12Z	Phosphatidylinositol 4,5-bisphosphate phospholipase C (C18:1, C18:2)	Lipids are pooled, replaced with pooled version (PI45PLC)
PI4K_16_0_16_0	Phosphatidylinositol 4-kinase (C16:0,C16:0)	Lipids are pooled, replaced with pooled version (PI4K)
PI4K_16_0_18_9Z	Phosphatidylinositol 4-kinase (C16:0,C18:1)	Lipids are pooled, replaced with pooled version (PI4K)
PI4K_16_0_18_9Z12Z	Phosphatidylinositol 4-kinase (C16:0,C18:2)	Lipids are pooled, replaced with pooled version (PI4K)
PI4K_18_9Z12Z_16_0	Phosphatidylinositol 4-kinase (C18:2,C16:0)	Lipids are pooled, replaced with pooled version (PI4K)
PI4K_18_9Z12Z_18_9Z	Phosphatidylinositol 4-kinase (C18:2,C18 1)	Lipids are pooled, replaced with pooled version (PI4K)
PI4K_18_9Z_18_9Z	Phosphatidylinositol 4-kinase (C18:1,C18:1)	Lipids are pooled, replaced with pooled version (PI4K)
PI4K_18_9Z_18_9Z12Z	Phosphatidylinositol 4-kinase (C18:1,C18:2)	Lipids are pooled, replaced with pooled version (PI4K)
PI4P5K_16_0_16_0	Phosphatidylinositol 4-phosphate 5-kinase (C16:0,C16:0)	Lipids are pooled, replaced with pooled version (PI4P5K)
PI4P5K_16_0_18_9Z	Phosphatidylinositol 4-phosphate 5-kinase (C16:0,C18:1)	Lipids are pooled, replaced with pooled version (PI4P5K)
PI4P5K_16_0_18_9Z12Z	Phosphatidylinositol 4-phosphate 5-kinase (C16:0,C18:2)	Lipids are pooled, replaced with pooled version (PI4P5K)
PI4P5K_18_9Z12Z_16_0	Phosphatidylinositol 4-phosphate 5-kinase (C18:2,C16:0)	Lipids are pooled, replaced with pooled version (PI4P5K)
PI4P5K_18_9Z12Z_18_9Z	Phosphatidylinositol 4-phosphate 5-kinase (C18:2,C18:1)	Lipids are pooled, replaced with pooled version (PI4P5K)
PI4P5K_18_9Z_18_9Z	Phosphatidylinositol 4-phosphate 5-kinase (C18:1,C18:1)	Lipids are pooled, replaced with pooled version (PI4P5K)
PI4P5K_18_9Z_18_9Z12Z	Phosphatidylinositol 4-phosphate 5-kinase (C18:1,C18:2)	Lipids are pooled, replaced with pooled version (PI4P5K)
PI4PLC_16_0_16_0	Phosphatidylinositol 4-phosphate phospholipase C (C16:0,C16:0)	Lipids are pooled, replaced with pooled version (PI4PLC)
PI4PLC_16_0_18_9Z	Phosphatidylinositol 4-phosphate phospholipase C (C16:0,C18:1)	Lipids are pooled, replaced with pooled version (PI4PLC)
PI4PLC_16_0_18_9Z12Z	Phosphatidylinositol 4-phosphate phospholipase C (C16:0,C18:2)	Lipids are pooled, replaced with pooled version (PI4PLC)
PI4PLC_18_9Z12Z_16_0	Phosphatidylinositol 4-phosphate phospholipase C (C18:2,C16:0)	Lipids are pooled, replaced with pooled version (PI4PLC)
PI4PLC_18_9Z12Z_18_9Z	Phosphatidylinositol 4-phosphate phospholipase C (C18:2,C18:1)	Lipids are pooled, replaced with pooled version (PI4PLC)
PI4PLC_18_9Z_18_9Z	Phosphatidylinositol 4-phosphate phospholipase C (C18:1,C18:1)	Lipids are pooled, replaced with pooled version (PI4PLC)
PI4PLC_18_9Z_18_9Z12Z	Phosphatidylinositol 4-phosphate phospholipase C (C18:1,C18:2)	Lipids are pooled, replaced with pooled version (PI4PLC)
PI4PP_16_0_16_0	Phosphatidylinositol-4-phosphate 4-phosphatase (C16:0,C16:0)	Lipids are pooled, replaced with pooled version (PI4PP)
PI4PP_16_0_18_9Z	Phosphatidylinositol-4-phosphate 4-phosphatase (C16:0,C18:1)	Lipids are pooled, replaced with pooled version (PI4PP)
PI4PP_16_0_18_9Z12Z	Phosphatidylinositol-4-phosphate 4-phosphatase (C16:0,C18:2)	Lipids are pooled, replaced with pooled version (PI4PP)
PI4PP_18_9Z12Z_16_0	Phosphatidylinositol-4-phosphate 4-phosphatase (C18:2,C16:0)	Lipids are pooled, replaced with pooled version (PI4PP)
PI4PP_18_9Z12Z_18_9Z	Phosphatidylinositol-4-phosphate 4-phosphatase (C18:2,C18:1)	Lipids are pooled, replaced with pooled version (PI4PP)
PI4PP_18_9Z_18_9Z	Phosphatidylinositol-4-phosphate 4-phosphatase (C18:1,C18:1)	Lipids are pooled, replaced with pooled version (PI4PP)
PI4PP_18_9Z_18_9Z12Z	Phosphatidylinositol-4-phosphate 4-phosphatase (C18:1,C18:2)	Lipids are pooled, replaced with pooled version (PI4PP)
PIPLC_16_0_16_0	Phosphatidylinositol phospholipase C (C16:0,C16:0)	Lipids are pooled, replaced with pooled version (PIPLC)
PIPLC_16_0_18_9Z	Phosphatidylinositol phospholipase C (C16:0,C18:1)	Lipids are pooled, replaced with pooled version (PIPLC)
PIPLC_16_0_18_9Z12Z	Phosphatidylinositol phospholipase C (C16:0,C18:2)	Lipids are pooled, replaced with pooled version (PIPLC)
PIPLC_18_9Z12Z_16_0	Phosphatidylinositol phospholipase C (C18:2,C16:0)	Lipids are pooled, replaced with pooled version (PIPLC)
PIPLC_18_9Z12Z_18_9Z	Phosphatidylinositol phospholipase C (C18:2,C18:1)	Lipids are pooled, replaced with pooled version (PIPLC)
PIPLC_18_9Z_18_9Z	Phosphatidylinositol phospholipase C (C18:1,C18:1)	Lipids are pooled, replaced with pooled version (PIPLC)
PIPLC_18_9Z_18_9Z12Z	Phosphatidylinositol phospholipase C (C18:1,C18:2)	Lipids are pooled, replaced with pooled version (PIPLC)
PPPGO	Protoporphyrinogen oxidase (aerobic)	Removed from model. Protoporphyrinogen oxidase is a mitochondrial enzyme for heme synthesis, and healthy mature erythrocytes do not synthesize heme nor have mitochondria.
PUNP1	Purine-nucleoside phosphorylase (Adenosine)	Removed from model. The natural substrates of purine-nucleoside phosphorylase are inosine, guanosine, and their 2′-deoxy counterparts, but not adenosine nor deoxyadenosine. Xanthosine/xanthine havce also shown to be substrates of PNP (PMID:12180982). Some reports indicate low activitiy with (deoxy)adenosine (PMID:9305964), however it is more likely that adenine nucleosides and nucleotides are deaminated by adenosine deaminase and AMP deaminase to their corresponding inosine derivatives which, in turn, may be further degraded (PMID: 14706628)
RIBFLVt3	Riboflavin transport (ATP dependent)	No evidence of an ATP-dependent uptake system for riboflavin. Since RFVT1/2 are expressed in erythropoesis, it is possible that remnants of these proteins are responsible for riboflavin uptake. (PMID:5455272,DOI:10.1182/blood-2019-124380)
RNMK	Ribosylnicotinamide kinase	Removed. Synthesis of NAD using ATP can be accomplished using the nicotinate phosphoribosyltransferase, which has proteomic evidence associated.
SBTR	D sorbitol reductase	Replaced by SBTRa. KEGG indicates alpha glucose is the substrate involved, let the original SBTR represent beta D-glucose/glucose without regard to anomer
SK_akg_c	Sink akg(c)	Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
SK_band_c	Sink band(c)	Removed from model. No pseudoreactions kept other than exchanges. Replaced by generic methylation reactions and additional reactions involving protein methylation. Band 3 protein is a major methyl-accepting substrate of the intracellular erythrocyte PCMT1 (PMID: 7240192, PMID: 3828308)
SK_bandmt_c	Demand for Band Membrane Protein (Methylated, Universal, Erythrocyte -> 2.1,3,4.1)	Removed from model. No pseudoreactions kept other than exchanges. Replaced by generic methylation reactions and additional reactions involving protein methylation. Band 3 protein is a major methyl-accepting substrate of the intracellular erythrocyte PCMT1 (PMID: 7240192, PMID: 3828308)
SK_for_c	Sink for(c)	Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions including membrane transport reactions.
SK_pc_hs_16_0_16_0_c	Sink pchol hs 16 0 16 0(c)	Lipids are pooled, replaced with pooled versions. Removed from model. No pseudoreactions kept other than exchanges. No longer necessary due to reconstruction expansions in glycerophospholipid metabolism
