	metabolites	name	notes
23	pa_hs_18_9Z12Z_16_0_c	"Phosphatidic acid (homo sapiens, C18:2, C16:0)"	"Lipids are pooled, replaced with pooled version (pa_hs)"
24	pa_hs_18_9Z12Z_18_9Z_c	"Phosphatidic acid (homo sapiens, C18:2, C18:1)"	"Lipids are pooled, replaced with pooled version (pa_hs)"
25	pa_hs_18_9Z_18_9Z12Z_c	"Phosphatidic acid (homo sapiens, C18:1, C18:2)"	"Lipids are pooled, replaced with pooled version (pa_hs)"
26	pa_hs_18_9Z_18_9Z_c	"Phosphatidic acid (homo sapiens, C18:1, C18:1)"	"Lipids are pooled, replaced with pooled version (pa_hs)"
27	pail45p_hs_16_0_16_0_c	"Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C16:0, C16:0)"	"Lipids are pooled, replaced with pooled version (pail45p_hs)"
28	pail45p_hs_16_0_18_9Z12Z_c	"Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C16:0, C18:2)"	"Lipids are pooled, replaced with pooled version (pail45p_hs)"
29	pail45p_hs_16_0_18_9Z_c	"Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C16:0, C18:1)"	"Lipids are pooled, replaced with pooled version (pail45p_hs)"
30	pail45p_hs_18_9Z12Z_16_0_c	"Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C18:2, C16:0)"	"Lipids are pooled, replaced with pooled version (pail45p_hs)"
31	pail45p_hs_18_9Z12Z_18_9Z_c	"Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C18:2, C18:1)"	"Lipids are pooled, replaced with pooled version (pail45p_hs)"
32	pail45p_hs_18_9Z_18_9Z12Z_c	"Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C18:1, C18:2)"	"Lipids are pooled, replaced with pooled version (pail45p_hs)"
33	pail45p_hs_18_9Z_18_9Z_c	"Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C18:1, C18:1)"	"Lipids are pooled, replaced with pooled version (pail45p_hs)"
34	pail4p_hs_16_0_16_0_c	"1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C16:0, C16:0)"	"Lipids are pooled, replaced with pooled version (pail4p_hs)"
35	pail4p_hs_16_0_18_9Z12Z_c	"1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C16:0, C18:2)"	"Lipids are pooled, replaced with pooled version (pail4p_hs)"
36	pail4p_hs_16_0_18_9Z_c	"1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C16:0, C18:1)"	"Lipids are pooled, replaced with pooled version (pail4p_hs)"
37	pail4p_hs_18_9Z12Z_16_0_c	"1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C18:2, C16:0)"	"Lipids are pooled, replaced with pooled version (pail4p_hs)"
38	pail4p_hs_18_9Z12Z_18_9Z_c	"1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C18:2, C18:1)"	"Lipids are pooled, replaced with pooled version (pail4p_hs)"
39	pail4p_hs_18_9Z_18_9Z12Z_c	"1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C18:1, C18:2)"	"Lipids are pooled, replaced with pooled version (pail4p_hs)"
40	pail4p_hs_18_9Z_18_9Z_c	"1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C18:1, C18:1)"	"Lipids are pooled, replaced with pooled version (pail4p_hs)"
41	pail_hs_16_0_16_0_c	"Phosphatidylinositol (homo sapiens, C16:0, C16:0)"	"Lipids are pooled, replaced with pooled version (pail_hs)"
42	pail_hs_16_0_18_9Z12Z_c	"Phosphatidylinositol (homo sapiens, C16:0, C18:2)"	"Lipids are pooled, replaced with pooled version (pail_hs)"
43	pail_hs_16_0_18_9Z_c	"Phosphatidylinositol (homo sapiens, C16:0, C18:1)"	"Lipids are pooled, replaced with pooled version (pail_hs)"
44	pail_hs_18_9Z12Z_16_0_c	"Phosphatidylinositol (homo sapiens, C18:2, C16:0)"	"Lipids are pooled, replaced with pooled version (pail_hs)"
45	pail_hs_18_9Z12Z_18_9Z_c	"Phosphatidylinositol (homo sapiens, C18:2, C18:1)"	"Lipids are pooled, replaced with pooled version (pail_hs)"
46	pail_hs_18_9Z_18_9Z12Z_c	"Phosphatidylinositol (homo sapiens, C18:1, C18:2)"	"Lipids are pooled, replaced with pooled version (pail_hs)"
47	pail_hs_18_9Z_18_9Z_c	"Phosphatidylinositol (homo sapiens, C18:1, C18:1)"	"Lipids are pooled, replaced with pooled version (pail_hs)"
48	pc_hs_16_0_16_0_c	"Phosphatidylcholine (homo sapiens, C16:0, C16:0)"	"Lipids are pooled, replaced with pooled version (pc_hs)"
49	pc_hs_16_0_18_9Z12Z_c	"Phosphatidylcholine (homo sapiens, C16:0, C18:2)"	"Lipids are pooled, replaced with pooled version (pc_hs)"
50	pc_hs_16_0_18_9Z_c	"Phosphatidylcholine (homo sapiens, C16:0, C18:1) cytosol"	"Lipids are pooled, replaced with pooled version (pc_hs)"
51	pc_hs_18_9Z12Z_16_0_c	"Phosphatidylcholine (homo sapiens, C18:2, C16:0)"	"Lipids are pooled, replaced with pooled version (pc_hs)"
52	pc_hs_18_9Z12Z_18_9Z_c	"Phosphatidylcholine (homo sapiens, C18:2, C18:1)"	"Lipids are pooled, replaced with pooled version (pc_hs)"
53	pc_hs_18_9Z_18_9Z12Z_c	"Phosphatidylcholine (homo sapiens, C18:1, C18:2)"	"Lipids are pooled, replaced with pooled version (pc_hs)"
54	pc_hs_18_9Z_18_9Z_c	"Phosphatidylcholine (homo sapiens, C18:1, C18:1)"	"Lipids are pooled, replaced with pooled version (pc_hs)"
55	pe_hs_16_0_16_0_c	"Phosphatidylethanolamine (homo sapiens, C16:0, C16:0)"	"Lipids are pooled, replaced with pooled version (pe_hs)"
56	pe_hs_16_0_18_9Z12Z_c	"Phosphatidylethanolamine (homo sapiens, C16:0, C18:2)"	"Lipids are pooled, replaced with pooled version (pe_hs)"
57	pe_hs_16_0_18_9Z_c	"Phosphatidylethanolamine (homo sapiens, C16:0, C18:1)"	"Lipids are pooled, replaced with pooled version (pe_hs)"
58	pe_hs_18_9Z12Z_16_0_c	"Phosphatidylethanolamine (homo sapiens, C18:2, C16:0)"	"Lipids are pooled, replaced with pooled version (pe_hs)"
59	pe_hs_18_9Z12Z_18_9Z_c	"Phosphatidylethanolamine (homo sapiens, C18:2, C18:1)"	"Lipids are pooled, replaced with pooled version (pe_hs)"
60	pe_hs_18_9Z_18_9Z12Z_c	"Phosphatidylethanolamine (homo sapiens, C18:1, C18:2)"	"Lipids are pooled, replaced with pooled version (pe_hs)"
61	pe_hs_18_9Z_18_9Z_c	"Phosphatidylethanolamine (homo sapiens, C18:1, C18:1)"	"Lipids are pooled, replaced with pooled version (pe_hs)"
