metabolites	name	notes
dag_hs_16_0_18_9Z12Z_c	Diacylglycerol (homo sapiens, C16:0, C18:2)	Lipids are pooled, replaced with pooled version (dag_hs)
dag_hs_16_0_18_9Z_c	Diacylglycerol (homo sapiens, C16:0, C18:1) cytosol	Lipids are pooled, replaced with pooled version (dag_hs)
dag_hs_18_9Z12Z_16_0_c	Diacylglycerol (homo sapiens, C18:2, C16:0)	Lipids are pooled, replaced with pooled version (dag_hs)
dag_hs_18_9Z12Z_18_9Z_c	Diacylglycerol (homo sapiens, C18:2, C18:1)	Lipids are pooled, replaced with pooled version (dag_hs)
dag_hs_18_9Z_18_9Z12Z_c	Diacylglycerol (homo sapiens, C18:1, C18:2)	Lipids are pooled, replaced with pooled version (dag_hs)
dag_hs_18_9Z_18_9Z_c	Diacylglycerol (homo sapiens, C18:1, C18:1)	Lipids are pooled, replaced with pooled version (dag_hs)
f26bp_c	beta-D-fructose 2,6-bisphosphate	6-phosphofructo-2-kinase activity are markedly influenced by the number of reticulocytes (PMID: 1667653). Furthermore, 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 is absent from erytrhrocytes
gluala_e	5 L Glutamyl L alanine C8H13N2O5	Removed from model. Gamma-glutamylcyclotransferase is not involved in the transport of glutamyl-dipeptides (PMID:3593246, PMID:3593247). Furthermore, erythrocytes do not transport alpha-glutamyl-dipeptides (PMID: 3593246, PMID: 3593247). Dipeptide transport occurs via simple diffusion and futhermore, it was calculated that under normal physiological conditions the diffusive fluxes of circulating plasma peptides into human erythrocytes are too small for these cells to play a significant role in dipeptide catabolism (PMID: 2327979)
lpa_hs_16_0_c	Lysophosphatidic acid (homo sapiens, C16:0)	Lipids are pooled, replaced with pooled version (lpa_hs)
lpa_hs_18_9Z12Z_c	Lysophosphatidic acid (homo sapiens, C18:2)	Lipids are pooled, replaced with pooled version (lpa_hs)
lpa_hs_18_9Z_c	Lysophosphatidic acid (homo sapiens, C18:1)	Lipids are pooled, replaced with pooled version (lpa_hs)
lpc_hs_16_0_c	Lysophosphatidylcholine (homo sapiens, C16:0) cytosol	Lipids are pooled, replaced with pooled version (lpc_hs)
lpc_hs_18_9Z12Z_c	Lysophosphatidylcholine (homo sapiens, C18:2)	Lipids are pooled, replaced with pooled version (lpc_hs)
lpc_hs_18_9Z_c	Lysophosphatidylcholine (homo sapiens, C18:1)	Lipids are pooled, replaced with pooled version (lpc_hs)
pa_hs_16_0_16_0_c	Phosphatidic acid (homo sapiens, C16:0, C16:0)	Lipids are pooled, replaced with pooled version (pa_hs)
pa_hs_16_0_18_9Z12Z_c	Phosphatidic acid (homo sapiens, C16:0, C18:2)	Lipids are pooled, replaced with pooled version (pa_hs)
pa_hs_16_0_18_9Z_c	Phosphatidic acid (homo sapiens, C16:0, C18:1)	Lipids are pooled, replaced with pooled version (pa_hs)
pa_hs_18_9Z12Z_16_0_c	Phosphatidic acid (homo sapiens, C18:2, C16:0)	Lipids are pooled, replaced with pooled version (pa_hs)
pa_hs_18_9Z12Z_18_9Z_c	Phosphatidic acid (homo sapiens, C18:2, C18:1)	Lipids are pooled, replaced with pooled version (pa_hs)
pa_hs_18_9Z_18_9Z12Z_c	Phosphatidic acid (homo sapiens, C18:1, C18:2)	Lipids are pooled, replaced with pooled version (pa_hs)
pa_hs_18_9Z_18_9Z_c	Phosphatidic acid (homo sapiens, C18:1, C18:1)	Lipids are pooled, replaced with pooled version (pa_hs)
pail45p_hs_16_0_16_0_c	Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C16:0, C16:0)	Lipids are pooled, replaced with pooled version (pail45p_hs)
pail45p_hs_16_0_18_9Z12Z_c	Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C16:0, C18:2)	Lipids are pooled, replaced with pooled version (pail45p_hs)
pail45p_hs_16_0_18_9Z_c	Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C16:0, C18:1)	Lipids are pooled, replaced with pooled version (pail45p_hs)
pail45p_hs_18_9Z12Z_16_0_c	Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C18:2, C16:0)	Lipids are pooled, replaced with pooled version (pail45p_hs)
pail45p_hs_18_9Z12Z_18_9Z_c	Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C18:2, C18:1)	Lipids are pooled, replaced with pooled version (pail45p_hs)
pail45p_hs_18_9Z_18_9Z12Z_c	Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C18:1, C18:2)	Lipids are pooled, replaced with pooled version (pail45p_hs)
pail45p_hs_18_9Z_18_9Z_c	Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C18:1, C18:1)	Lipids are pooled, replaced with pooled version (pail45p_hs)
pail4p_hs_16_0_16_0_c	1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C16:0, C16:0)	Lipids are pooled, replaced with pooled version (pail4p_hs)
pail4p_hs_16_0_18_9Z12Z_c	1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C16:0, C18:2)	Lipids are pooled, replaced with pooled version (pail4p_hs)
pail4p_hs_16_0_18_9Z_c	1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C16:0, C18:1)	Lipids are pooled, replaced with pooled version (pail4p_hs)
pail4p_hs_18_9Z12Z_16_0_c	1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C18:2, C16:0)	Lipids are pooled, replaced with pooled version (pail4p_hs)
pail4p_hs_18_9Z12Z_18_9Z_c	1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C18:2, C18:1)	Lipids are pooled, replaced with pooled version (pail4p_hs)
pail4p_hs_18_9Z_18_9Z12Z_c	1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C18:1, C18:2)	Lipids are pooled, replaced with pooled version (pail4p_hs)
pail4p_hs_18_9Z_18_9Z_c	1-Phosphatidyl-1D-myo-inositol 4-phosphate (homo sapiens, C18:1, C18:1)	Lipids are pooled, replaced with pooled version (pail4p_hs)
pail_hs_16_0_16_0_c	Phosphatidylinositol (homo sapiens, C16:0, C16:0)	Lipids are pooled, replaced with pooled version (pail_hs)
pail_hs_16_0_18_9Z12Z_c	Phosphatidylinositol (homo sapiens, C16:0, C18:2)	Lipids are pooled, replaced with pooled version (pail_hs)
pail_hs_16_0_18_9Z_c	Phosphatidylinositol (homo sapiens, C16:0, C18:1)	Lipids are pooled, replaced with pooled version (pail_hs)
pail_hs_18_9Z12Z_16_0_c	Phosphatidylinositol (homo sapiens, C18:2, C16:0)	Lipids are pooled, replaced with pooled version (pail_hs)
pail_hs_18_9Z12Z_18_9Z_c	Phosphatidylinositol (homo sapiens, C18:2, C18:1)	Lipids are pooled, replaced with pooled version (pail_hs)
pail_hs_18_9Z_18_9Z12Z_c	Phosphatidylinositol (homo sapiens, C18:1, C18:2)	Lipids are pooled, replaced with pooled version (pail_hs)
pail_hs_18_9Z_18_9Z_c	Phosphatidylinositol (homo sapiens, C18:1, C18:1)	Lipids are pooled, replaced with pooled version (pail_hs)
pc_hs_16_0_16_0_c	Phosphatidylcholine (homo sapiens, C16:0, C16:0)	Lipids are pooled, replaced with pooled version (pc_hs)
pc_hs_16_0_18_9Z12Z_c	Phosphatidylcholine (homo sapiens, C16:0, C18:2)	Lipids are pooled, replaced with pooled version (pc_hs)
pc_hs_16_0_18_9Z_c	Phosphatidylcholine (homo sapiens, C16:0, C18:1) cytosol	Lipids are pooled, replaced with pooled version (pc_hs)
pc_hs_18_9Z12Z_16_0_c	Phosphatidylcholine (homo sapiens, C18:2, C16:0)	Lipids are pooled, replaced with pooled version (pc_hs)
pc_hs_18_9Z12Z_18_9Z_c	Phosphatidylcholine (homo sapiens, C18:2, C18:1)	Lipids are pooled, replaced with pooled version (pc_hs)
pc_hs_18_9Z_18_9Z12Z_c	Phosphatidylcholine (homo sapiens, C18:1, C18:2)	Lipids are pooled, replaced with pooled version (pc_hs)
pc_hs_18_9Z_18_9Z_c	Phosphatidylcholine (homo sapiens, C18:1, C18:1)	Lipids are pooled, replaced with pooled version (pc_hs)
pe_hs_16_0_16_0_c	Phosphatidylethanolamine (homo sapiens, C16:0, C16:0)	Lipids are pooled, replaced with pooled version (pe_hs)
pe_hs_16_0_18_9Z12Z_c	Phosphatidylethanolamine (homo sapiens, C16:0, C18:2)	Lipids are pooled, replaced with pooled version (pe_hs)
pe_hs_16_0_18_9Z_c	Phosphatidylethanolamine (homo sapiens, C16:0, C18:1)	Lipids are pooled, replaced with pooled version (pe_hs)
pe_hs_18_9Z12Z_16_0_c	Phosphatidylethanolamine (homo sapiens, C18:2, C16:0)	Lipids are pooled, replaced with pooled version (pe_hs)
pe_hs_18_9Z12Z_18_9Z_c	Phosphatidylethanolamine (homo sapiens, C18:2, C18:1)	Lipids are pooled, replaced with pooled version (pe_hs)
pe_hs_18_9Z_18_9Z12Z_c	Phosphatidylethanolamine (homo sapiens, C18:1, C18:2)	Lipids are pooled, replaced with pooled version (pe_hs)
pe_hs_18_9Z_18_9Z_c	Phosphatidylethanolamine (homo sapiens, C18:1, C18:1)	Lipids are pooled, replaced with pooled version (pe_hs)
pppg9_c	protoporphyrinogen IX	Protoporphyrinogen oxidase is a mitochondrial enzyme for heme synthesis, and healthy mature erythrocytes do not synthesize heme nor have mitochondria.
udpglcur_c	UDP-D-glucuronate	Heme oxygenase occurs in macrophages. Furthermore, mature erythrocytes do not enzymatically degrade heme, heme degradation is from oxidative damage that under physiological conditions, does not form bilirubin. No evidence currently for  glucuronidation in erythrocytes.
