complexes	complex	subunits	reactions	genes	coefficients	cofactors	notes	stoichiometry	compartment	molar_mass
cplx_HOMOTETRAMER_Acat2_pc	cplx_HOMOTETRAMER_Acat2	protein_Acat2_pc	ACACT1	Acat2	4			protein_Acat2_pc(4)	pc	165189.63200000068
cplx_MONOMER_Acer2_pc	cplx_MONOMER_Acer2	protein_Acer2_pc	ACER	Acer2	1		ASSUMED MONOMER	protein_Acer2_pc(1)	pc	31371.106
cplx_MONOMER_Acer3_pc	cplx_MONOMER_Acer3	protein_Acer3_pc	ACER	Acer3	1			protein_Acer3_pc(1)	pc	31573.351999999984
cplx_HOMODIMER_Ache_pc	cplx_HOMODIMER_Ache	protein_Ache_pc	ACHEe	Ache	2			protein_Ache_pc(2)	pc	136317.52000000054
cplx_HOMOTETRAMER_Acly_pc	cplx_HOMOTETRAMER_Acly	protein_Acly_pc	ACITL	Acly	4			protein_Acly_pc(4)	pc	478903.87999999756
cplx_MONOMER_Aco1_pc	cplx_MONOMER_Aco1	protein_Aco1_pc	ACONT	Aco1	1			protein_Aco1_pc(1)	pc	98124.6809999999
cplx_HOMOHEXAMER_Acot7_pc	cplx_HOMOHEXAMER_Acot7	protein_Acot7_pc	FACOAE_10_0;FACOAE_11_0;FACOAE_12_0;FACOAE_13_0;FACOAE_14_0;FACOAE_14_5Z;FACOAE_14_7Z;FACOAE_14_9Z;FACOAE_15_0;FACOAE_16_0;FACOAE_16_7Z;FACOAE_16_9Z;FACOAE_17_0;FACOAE_17_10Z;FACOAE_17_9Z;FACOAE_18_0;FACOAE_18_11Z;FACOAE_18_13Z;FACOAE_18_6Z9Z;FACOAE_18_6Z9Z12Z;FACOAE_18_6Z9Z12Z15Z;FACOAE_18_7Z;FACOAE_18_9E;FACOAE_18_9Z;FACOAE_18_9Z12Z;FACOAE_18_9Z12Z15Z;FACOAE_19_0;FACOAE_20_0;FACOAE_20_11Z;FACOAE_20_11Z14Z;FACOAE_20_11Z14Z17Z;FACOAE_20_13Z;FACOAE_20_5Z8Z11Z;FACOAE_20_5Z8Z11Z14Z;FACOAE_20_5Z8Z11Z14Z17Z;FACOAE_20_8Z11Z;FACOAE_20_8Z11Z14Z;FACOAE_20_8Z11Z14Z17Z;FACOAE_20_9Z;FACOAE_8_0;FACOAE_9_0	Acot7	6			protein_Acot7_pc(6)	pc	255261.72000000032
cplx_MONOMER_Acp1_pc	cplx_MONOMER_Acp1	protein_Acp1_pc	FMNPH;PROTKRU5PPP;PROTYPP;THMMPP	Acp1	1		ASSUMED MONOMER	protein_Acp1_pc(1)	pc	18190.57899999999
cplx_MONOMER_Acsl1_pc	cplx_MONOMER_Acsl1	protein_Acsl1_pc	FACOAL_16_0;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z	Acsl1	1			protein_Acsl1_pc(1)	pc	77949.80100000011
cplx_MONOMER_Acsl3_pc	cplx_MONOMER_Acsl3	protein_Acsl3_pc	FACOAL_16_0;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z	Acsl3	1			protein_Acsl3_pc(1)	pc	80504.80400000009
cplx_MONOMER_Acsl4_pc	cplx_MONOMER_Acsl4	protein_Acsl4_pc	FACOAL_16_0;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z	Acsl4	1			protein_Acsl4_pc(1)	pc	79086.41300000007
cplx_MONOMER_Acsl6_pc	cplx_MONOMER_Acsl6	protein_Acsl6_pc	FACOAL_16_0;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z	Acsl6	1			protein_Acsl6_pc(1)	pc	78015.54700000005
cplx_MONOMER_Acss2_pc	cplx_MONOMER_Acss2	protein_Acss2_pc	FACOAL_2_0;FACOAL_3_0	Acss2	1			protein_Acss2_pc(1)	pc	78852.25500000009
cplx_MONOMER_Acta1_pc	cplx_MONOMER_Acta1	protein_Acta1_pc	NTPA	Acta1	1		ASSUMED MONOMER	protein_Acta1_pc(1)	pc	42037.595000000074
cplx_MONOMER_Actb_pc	cplx_MONOMER_Actb	protein_Actb_pc	NTPA	Actb	1		ASSUMED MONOMER	protein_Actb_pc(1)	pc	41724.30800000007
cplx_MONOMER_Actc1_pc	cplx_MONOMER_Actc1	protein_Actc1_pc	NTPA	Actc1	1		ASSUMED MONOMER	protein_Actc1_pc(1)	pc	42005.531000000075
cplx_MONOMER_Actg1_pc	cplx_MONOMER_Actg1	protein_Actg1_pc	NTPA	Actg1	1		ASSUMED MONOMER	protein_Actg1_pc(1)	pc	41780.41300000007
cplx_MONOMER_Actg2_pc	cplx_MONOMER_Actg2	protein_Actg2_pc	NTPA	Actg2	1		ASSUMED MONOMER	protein_Actg2_pc(1)	pc	41864.44900000007
cplx_HOMODIMER_Acy1_pc	cplx_HOMODIMER_Acy1	protein_Acy1_pc	ACMDAC;NACCYSDAC	Acy1	2			protein_Acy1_pc(2)	pc	91542.91000000027
cplx_MONOMER_Acyp1_pc	cplx_MONOMER_Acyp1	protein_Acyp1_pc	ACYP;E14BPP;ACYP2	Acyp1	1		ASSUMED MONOMER	protein_Acyp1_pc(1)	pc	11242.629999999996
cplx_MONOMER_Acyp2_pc	cplx_MONOMER_Acyp2	protein_Acyp2_pc	ACYP;E14BPP;ACYP2	Acyp2	1		ASSUMED MONOMER	protein_Acyp2_pc(1)	pc	11881.536999999993
cplx_MONOMER_Ada_pc	cplx_MONOMER_Ada	protein_Ada_pc	ADA;DADA;RBVDA	Ada	1			protein_Ada_pc(1)	pc	39979.186000000045
cplx_MONOMER_Adcy10_pc	cplx_MONOMER_Adcy10	protein_Adcy10_pc	ADNCYC	Adcy10	1			protein_Adcy10_pc(1)	pc	186398.54399999874
cplx_MONOMER_Adcy2_pc	cplx_MONOMER_Adcy2	protein_Adcy2_pc	ADNCYC	Adcy2	1			protein_Adcy2_pc(1)	pc	123281.96899999931
cplx_HOMODIMER_Adh5_pc	cplx_HOMODIMER_Adh5	protein_Adh5_pc	FAWOXx_10_10OH;FAWOXx_10_10OXO;FAWOXx_12_12OH;FAWOXx_12_12OXO;FAWOXx_14_14OH;FAWOXx_14_14OXO;FAWOXx_16_016OH;FAWOXx_16_016OXO;FAWOXx_20_5Z8Z11Z14Z20OH;FAWOXx_20_5Z8Z11Z14Z20OXO;FAWOXx_22_22OH;FAWOXx_22_22OXO;HMGTHDH;ALCD2x;LCARR;LCARS;GTHNORDx;LALDO	Adh5	2			protein_Adh5_pc(2)	pc	79094.8960000002
cplx_MONOMER_Adi1_pc	cplx_MONOMER_Adi1	protein_Adi1_pc	ARDFE2;ARDNI2	Adi1	1			protein_Adi1_pc(1)	pc	21516.305999999997
cplx_MONOMER_Adk_pc	cplx_MONOMER_Adk	protein_Adk_pc	ADNK1;4PYRNK;NRHK;DADNK1;AICAK;RBVK	Adk	1			protein_Adk_pc(1)	pc	38444.278000000064
cplx_MONOMER_Ado_pc	cplx_MONOMER_Ado	protein_Ado_pc	CYSAMO	Ado	1			protein_Ado_pc(1)	pc	28365.131000000034
cplx_MONOMER_Adpgk_pc	cplx_MONOMER_Adpgk	protein_Adpgk_pc	ADPGK;ADPGKa	Adpgk	1			protein_Adpgk_pc(1)	pc	53880.78600000023
cplx_MONOMER_Adprs_pc	cplx_MONOMER_Adprs	protein_Adprs_pc	ADPRDACAC1;NADN2;POLYADPRH;PROTSADPRH	Adprs	1			protein_Adprs_pc(1)	pc	39394.74100000011
cplx_HOMOTETRAMER_Adsl_pc	cplx_HOMOTETRAMER_Adsl	protein_Adsl_pc	ADSL1;ADSL2	Adsl	4			protein_Adsl_pc(4)	pc	219458.99200000087
cplx_HOMODIMER_Adss2_pc	cplx_HOMODIMER_Adss2	protein_Adss2_pc	ADSS	Adss2	2			protein_Adss2_pc(2)	pc	100031.09600000034
cplx_HOMODIMER_Afmid_pc	cplx_HOMODIMER_Afmid	protein_Afmid_pc	FKYNH	Afmid	2			protein_Afmid_pc(2)	pc	68442.95800000007
cplx_MONOMER_Agpat1_pc	cplx_MONOMER_Agpat1	protein_Agpat1_pc	LPAAT	Agpat1	1		ASSUMED MONOMER	protein_Agpat1_pc(1)	pc	31717.108000000026
cplx_MONOMER_Agpat3_pc	cplx_MONOMER_Agpat3	protein_Agpat3_pc	LPAAT;LPCAT;LPIAT;LPSAT	Agpat3	1		ASSUMED MONOMER	protein_Agpat3_pc(1)	pc	43303.520000000084
cplx_MONOMER_Agpat4_pc	cplx_MONOMER_Agpat4	protein_Agpat4_pc	LPAAT	Agpat4	1		ASSUMED MONOMER	protein_Agpat4_pc(1)	pc	43818.104000000094
cplx_COMPLEX_Agt_Anpep_pc	cplx_COMPLEX_Agt_Anpep	protein_Agt_pc;protein_Anpep_pc	ANGIO3ARGH	Agt;Anpep	1;2			protein_Agt_pc(1);protein_Anpep_pc(2)	pc	271245.8330000001
cplx_COMPLEX_Agt_Dnpep_pc	cplx_COMPLEX_Agt_Dnpep	protein_Agt_pc;protein_Dnpep_pc	ANGIO2ASPH	Agt;Dnpep	1;12			protein_Agt_pc(1);protein_Dnpep_pc(12)	pc	678428.5730000028
cplx_COMPLEX_Agt_Dpp3_pc	cplx_COMPLEX_Agt_Dpp3	protein_Agt_pc;protein_Dpp3_pc	ANGIO2DDP;ANGIO3ARGH;ANGIO4DDP	Agt;Dpp3	1;1			protein_Agt_pc(1);protein_Dpp3_pc(1)	pc	134851.54900000035
cplx_COMPLEX_Agt_Prep_pc	cplx_COMPLEX_Agt_Prep	protein_Agt_pc;protein_Prep_pc	ANGIO58PEP	Agt;Prep	1;1			protein_Agt_pc(1);protein_Prep_pc(1)	pc	132703.50500000032
cplx_COMPLEX_Agt_Thop1_pc	cplx_COMPLEX_Agt_Thop1	protein_Agt_pc;protein_Thop1_pc	ANGIO1THOP	Agt;Thop1	1;1			protein_Agt_pc(1);protein_Thop1_pc(1)	pc	129984.92900000032
cplx_HOMOTETRAMER_Ahcy_pc	cplx_HOMOTETRAMER_Ahcy	protein_Ahcy_pc	AHC;SEAHCYSHYD	Ahcy	4			protein_Ahcy_pc(4)	pc	190726.92800000048
cplx_MONOMER_Ak1_pc	cplx_MONOMER_Ak1	protein_Ak1_pc	ADK1;NDPK1;NDPK2;NDPK3;ADK3;ADK4;ADK5;ADK6;DADK3;DADK4;DADK5;DADK6;DADK1;ADK7;DADK7	Ak1	1			protein_Ak1_pc(1)	pc	21537.398999999998
cplx_MONOMER_Akr1a1_pc	cplx_MONOMER_Akr1a1	protein_Akr1a1_pc	GULND;GALOR;GHBDHy;3DGRy;SBTRa;ALCD19y;ARABR_Ly;ALR2y;ALR3y;PPDOy;GTHNORDy;SNOCOARD	Akr1a1	1			protein_Akr1a1_pc(1)	pc	36585.556000000055
cplx_MONOMER_Akr1b1_pc	cplx_MONOMER_Akr1b1	protein_Akr1b1_pc	GALOR;6HOPTHPDH;6PTHPDH;ESTRADIOL23Q2ERy;ESTRADIOL34Q2ERy;ESTRONE23Q2ERy;ESTRONE34Q2ERy;3DGRy;SBTRa;ALCD19y;ARABR_Ly;XYLR_Dy;PGH2Ry;ALR2y;ALR3y;LALD_Ly;PPDOy	Akr1b1	1			protein_Akr1b1_pc(1)	pc	35730.89300000003
cplx_MONOMER_Akr1c18_pc	cplx_MONOMER_Akr1c18	protein_Akr1c18_pc	5ADHTRy;ANDRSTNDNRy;ANDRSTRNRy;6PTHPDH2;ESTRADIOL23Q2ERy;ESTRADIOL34Q2ERy;ESTRONE23Q2ERy;ESTRONE34Q2ERy;ESTRONEDHy;PGD2Ry;PGH2Ry;RDH2y;PRGSTRNRy	Akr1c18	1		ASSUMED MONOMER	protein_Akr1c18_pc(1)	pc	37171.473000000035
cplx_MONOMER_Akr1c6_pc	cplx_MONOMER_Akr1c6	protein_Akr1c6_pc	5ADHTRy;ANDRSTNDNRy;ANDRSTRNRy;6PTHPDH2;ESTRADIOL23Q2ERy;ESTRADIOL34Q2ERy;ESTRONE23Q2ERy;ESTRONE34Q2ERy;ESTRONEDHy;PGD2Ry;PGH2Ry;RDH2y;PRGSTRNRy	Akr1c6	1		ASSUMED MONOMER	protein_Akr1c6_pc(1)	pc	37051.37000000005
cplx_HOMODIMER_Akr7a5_pc	cplx_HOMODIMER_Akr7a5	protein_Akr7a5_pc	GHBDHy;ESTRADIOL23Q2ERy;ESTRADIOL34Q2ERy;ESTRONE23Q2ERy;ESTRONE34Q2ERy;SBTRa;ARABR_Ly;ALR2y;ALR3y;PPDOy	Akr7a5	2			protein_Akr7a5_pc(2)	pc	81229.62000000013
cplx_HOMOOCTOMER_Alad_pc	cplx_HOMOOCTOMER_Alad	protein_Alad_pc	PPBNGS	Alad	8			protein_Alad_pc(8)	pc	288161.70400000055
cplx_HOMOTETRAMER_Aldh1a1_pc	cplx_HOMOTETRAMER_Aldh1a1	protein_Aldh1a1_pc	ALDD2x;ABUTDx;3DGDH;4H2HXEAL2EDHx;4H2NNEAL2EDHx;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;MALDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;PPALDHx;RADH1x;RADH2x;RADH3x;RADH4x	Aldh1a1	4			protein_Aldh1a1_pc(4)	pc	217877.24400000076
cplx_HOMOTETRAMER_Aldh1a7_pc	cplx_HOMOTETRAMER_Aldh1a7	protein_Aldh1a7_pc	ALDD2x;ABUTDx;3DGDH;4H2HXEAL2EDHx;4H2NNEAL2EDHx;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;MALDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;PPALDHx;RADH1x;RADH2x;RADH3x;RADH4x	Aldh1a7	4			protein_Aldh1a7_pc(4)	pc	218353.03200000085
