reactions	name	reaction	gene_reaction_rule	subsystem
PGK	Phosphoglycerate kinase	13dpg_c + adp_c <=> 3pg_c + atp_c	PGK1 or PGK2	Glycolysis / Gluconeogenesis
PYK	Pyruvate kinase	adp_c + h_c + pep_c --> atp_c + pyr_c	PKM or PKLR	Glycolysis / Gluconeogenesis
TPI	Triose-phosphate isomerase	dhap_c <=> g3p_c	TPI1	Glycolysis / Gluconeogenesis
HB23DPGB	"Deoxyhemoglobin binding to 2,3-diphosphoglycerate"	23dpg_c + 4.0 hb_c <=> hb4_23dpg_c	HBA or HBB or HBD or HBE1 or HBG1 or HBG2 or HBM or HBQ1 or HBZ	Hemoglobin binding and degradation
HBO2B1	Oxyhemoglobin binding	hb_c + o2_c <=> oxyhb_c	HBA or HBB or HBD or HBE1 or HBG1 or HBG2 or HBM or HBQ1 or HBZ	Hemoglobin binding and degradation
HBO2B2	Oxyhemoglobin binding (Protonated Carbamino Hemoglobin)	hb_hco2_c + o2_c <=> co2_c + h_c + oxyhb_c	HBA or HBB or HBD or HBE1 or HBG1 or HBG2 or HBM or HBQ1 or HBZ	Hemoglobin binding and degradation
METHBCYTBR	Nonenzymatic reduction of methemoglobin (Cytochrome b5)	2.0 focytb5_c + methb_c --> 2.0 ficytb5_c + hb_c	(CYB5A and HBA) or (CYB5A and HBB) or (CYB5A and HBD) or (CYB5A and HBE1) or (CYB5A and HBG1) or (CYB5A and HBG2) or (CYB5A and HBM) or (CYB5A and HBZ) or (CYB5A and HBQ1) or (CYB5B and HBA) or (CYB5B and HBB) or (CYB5B and HBD) or (CYB5B and HBE1) or (CYB5B and HBG1) or (CYB5B and HBG2) or (CYB5B and HBM) or (CYB5B and HBZ) or (CYB5B and HBQ1)	Hemoglobin binding and degradation
OXYHBAOX	Auto-oxidation of oxyhemoglobin	oxyhb_c --> methb_c + o2s_c	HBA or HBB or HBD or HBE1 or HBG1 or HBG2 or HBM or HBQ1 or HBZ	Hemoglobin binding and degradation
FCYTOB5OXR	NADH-cytochrome b5 reductase	2.0 ficytb5_c + nadh_c --> 2.0 focytb5_c + h_c + nad_c	(CYB5R3 and CYB5B) or (CYB5R3 and CYB5A)	Nicotinate and nicotinamide metabolism
NTPA	NTP phosphohydrolase (ATP)	atp_c + h2o_c --> adp_c + h_c + pi_c		Nucleotide metabolism
PPA	Inorganic diphosphatase	h2o_c + ppi_c --> h_c + 2.0 pi_c	PPA1 or LHPP or PRUNE1 or PPA2	Nucleotide metabolism
G6PDH2	Glucose 6-phosphate dehydrogenase	g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c	G6PD	Pentose phosphate pathway
GND	Phosphogluconate dehydrogenase	6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c	PGD	Pentose phosphate pathway
PGL	6-phosphogluconolactonase	6pgl_c + h2o_c <=> 6pgc_c + h_c	PGLS	Pentose phosphate pathway
PPM	Phosphopentomutase	r1p_c <=> r5p_c	PGM2	Pentose phosphate pathway
PRPPS	Phosphoribosylpyrophosphate synthetase	atp_c + r5p_c --> amp_c + h_c + prpp_c	PRPS1 or PRPS2 or PRPS1L1	Pentose phosphate pathway
RPE	Ribulose 5-phosphate 3-epimerase	ru5p__D_c <=> xu5p__D_c	RPE	Pentose phosphate pathway
RPI	Ribose-5-phosphate isomerase	ru5p__D_c <=> r5p_c	RPIA	Pentose phosphate pathway
TALA	Transaldolase	g3p_c + s7p_c <=> e4p_c + f6p_c	TALDO1	Pentose phosphate pathway
TKT1	Transketolase	r5p_c + xu5p__D_c <=> g3p_c + s7p_c	TKT	Pentose phosphate pathway
TKT2	Transketolase	e4p_c + xu5p__D_c <=> f6p_c + g3p_c	TKT	Pentose phosphate pathway
ADA	Adenosine deaminase	adn_c + h2o_c + h_c --> ins_c + nh4_c	ADA	Purine metabolism
ADNK1	Adenosine kinase	adn_c + atp_c --> adp_c + amp_c + h_c	ADK	Purine metabolism
ADK1	Adenylate kinase (AMP:ATP)	amp_c + atp_c <=> 2.0 adp_c	AK1	Purine metabolism
AMPDA	Adenosine monophosphate deaminase	amp_c + h2o_c + h_c --> imp_c + nh4_c	AMPD3	Purine metabolism
ADPT	Adenine phosphoribosyltransferase	ade_c + prpp_c --> amp_c + ppi_c	APRT	Purine metabolism
HXPRT	Hypoxanthine phosphoribosyltransferase (Hypoxanthine)	hxan_c + prpp_c --> imp_c + ppi_c	HPRT1	Purine metabolism
NTDIMP	5'-nucleotidase (IMP)	h2o_c + imp_c --> ins_c + pi_c	NT5C2	Purine metabolism
NTDAMP	5'-nucleotidase (AMP)	amp_c + h2o_c --> adn_c + pi_c	NT5C2	Purine metabolism
PUNP5	Purine-nucleoside phosphorylase (inosine)	ins_c + pi_c <=> hxan_c + r1p_c	PNP	Purine metabolism
SPODM	Superoxide dismutase	2.0 h_c + 2.0 o2s_c --> h2o2_c + o2_c	SOD1	Reactive species formation and detoxification
NaKt	Na + /K + exchanging ATPase	atp_c + h2o_c + 2.0 k_e + 3.0 na1_c --> adp_c + h_c + 2.0 k_c + 3.0 na1_e + pi_c	(ATP1A1 and ATP1B1) or (ATP1A1 and ATP1B2) or (ATP1A1 and ATP1B3) or (ATP1A3 and ATP1B1) or (ATP1A3 and ATP1B2) or (ATP1A3 and ATP1B3) or (ATP1A4 and ATP1B1) or (ATP1A4 and ATP1B2) or (ATP1A4 and ATP1B3)	"Transport, extracellular"
L_LACt2	L-lactate transport via proton symport	h_c + lac__L_c <=> h_e + lac__L_e	(SLC16A1 and BSG) or (SLC16A1 and EMB) or (SLC16A7 and BSG) or (SLC16A7 and EMB) or SLC16A1 or SLC16A7	"Transport, extracellular"
PYRt2	Pyruvate transport in via proton symport	h_c + pyr_c <=> h_e + pyr_e	(SLC16A1 and BSG) or (SLC16A1 and EMB) or (SLC16A7 and BSG) or (SLC16A7 and EMB) or SLC16A1 or SLC16A7	"Transport, extracellular"
O2t	Transport of O2	o2_c <=> o2_e	AQP1	"Transport, extracellular"
CO2t	Transport of CO2	co2_c <=> co2_e	AQP1 or (RHAG and RHCE and RHD) or (RHAG and RHCE) or RHAG	"Transport, extracellular"
H2Ot	Transport of H2O	h2o_c <=> h2o_e	AQP1 or AQP3	"Transport, extracellular"
NH4t	Transport of ammonium	nh4_c <=> nh4_e	AQP3 or AQP1 or (RHAG and RHCE and RHD) or (RHAG and RHCE) or RHAG	"Transport, extracellular"
CAATPS1	P-type Ca(2+) transporter (1:1 stoichiometry)	atp_c + ca2_c + h2o_c --> adp_c + ca2_e + h_c + pi_c	ATP2B4 or ATP2B1	"Transport, extracellular"
CA2t	Calcium (II) import	ca2_e --> ca2_c	CACNA1A or GRIA1 or TRPC6 or TRPV2 or PIEZO1 or P2RX1 or P2RX2 or P2RX7 or PANX1 or TMEM109 or VDAC1	"Transport, extracellular"
Kt1	Transport of potassium	k_c --> k_e	KCNN4 or KCNAB2 or KCNK5 or PIEZO1 or P2RX1 or P2RX2 or P2RX7 or PANX1 or GRIA1 or TMEM109 or SLC22A4 or VDAC1	"Transport, extracellular"
NAt	Sodium leak	na1_e --> na1_c	SCN9A or SCN4A or PIEZO1 or P2RX1 or P2RX2 or P2RX7 or PANX1 or GRIA1 or VDAC1	"Transport, extracellular"
ADNt	Adenosine transport via facilitated diffusion	adn_c <=> adn_e	SLC29A1	"Transport, extracellular"
INSt	Inosine transport via facilitated diffusion	ins_c <=> ins_e	SLC29A1	"Transport, extracellular"
ADEt	Adenine transport via facilitated diffusion	ade_c <=> ade_e	SLC29A1 or SLC43A3	"Transport, extracellular"
HYXNt	Hypoxanthine transport via facilitated diffusion	hxan_c <=> hxan_e	SLC29A1 or SLC43A3	"Transport, extracellular"
GLC_Dt	Transport of beta-D-glucose	glc__D_c <=> glc__D_e	SLC2A2 or SLC2A3 or SLC2A1 or SLC2A4 or SLC2A14	"Transport, extracellular"
H2O2t	Transport of hydrogen peroxide	h2o2_c <=> h2o2_e		"Transport, extracellular"
Ht	Proton diffusion	h_c <=> h_e		"Transport, extracellular"
PIt	"Inorganic phosphate exchange, diffusion"	pi_c <=> pi_e		"Transport, extracellular"
EX_ca2_e	Calcium exchange	ca2_e <=> 		Pseudoreactions
EX_co2_e	CO2 exchange	co2_e <=> 		Pseudoreactions
EX_glc__D_e	beta-D-Glucose exchange	glc__D_e <=> 		Pseudoreactions
EX_h_e	H+ exchange	h_e <=> 		Pseudoreactions
EX_h2o_e	H2O exchange	h2o_e <=> 		Pseudoreactions
EX_h2o2_e	H2O2 exchange	h2o2_e <=> 		Pseudoreactions
EX_ade_e	Adenine exchange	ade_e <=> 		Pseudoreactions
EX_hxan_e	Hypoxanthine exchange	hxan_e <=> 		Pseudoreactions
EX_adn_e	Adenosine exchange	adn_e <=> 		Pseudoreactions
EX_ins_e	Inosine exchange	ins_e <=> 		Pseudoreactions
EX_k_e	K+ exchange	k_e <=> 		Pseudoreactions
EX_lac__L_e	L-Lactate exchange	lac__L_e <=> 		Pseudoreactions
EX_na1_e	Sodium exchange	na1_e <=> 		Pseudoreactions
EX_nh4_e	Ammonium exchange	nh4_e <=> 		Pseudoreactions
EX_o2_e	O2 exchange	o2_e <=> 		Pseudoreactions
EX_pi_e	Orthophosphate exchange	pi_e <=> 		Pseudoreactions
EX_pyr_e	Pyruvate exchange	pyr_e <=> 		Pseudoreactions
SK_hb4_23dpg_c	"Deoxyhemoglobin (tetramer, 2,3-bisphospho-D-glycerate) sink"	hb4_23dpg_c <=> 		Pseudoreactions
SK_oxyhb_c	Oxyhemoglobin (O2) sink	oxyhb_c <=> 		Pseudoreactions
SK_hb_hco2_c	Oxyhemoglobin (Protonated Carbamino Deoxyhemoglobin) sink	hb_hco2_c <=> 		Pseudoreactions
SK_na1_c	Sodium sink	na1_c <=> 		Pseudoreactions
SK_k_c	K+ sink	k_c <=> 		Pseudoreactions
SK_ca2_c	Calcium sink	ca2_c <=> 		Pseudoreactions
