complexes	complex	subunits	reactions	genes	coefficients	cofactors	notes	stoichiometry	compartment	molar_mass
cplx_MONOMER_ABCC5_pc	cplx_MONOMER_ABCC5	protein_ABCC5_pc	CAMPABCte;CGMPABCte;CIMPABCte;SAICAABCte;5FLURAABCte;THGMPABCte;THIMPABCte;THXMPABCte;LLACPHEABCte	ABCC5	1		ASSUMED MONOMER	protein_ABCC5_pc(1)	pc	160676.07999999874
cplx_MONOMER_ABCE1_pc	cplx_MONOMER_ABCE1	protein_ABCE1_pc	NTPA;NTPC;NTPG;NTPU	ABCE1	1		ASSUMED MONOMER	protein_ABCE1_pc(1)	pc	67322.84400000029
cplx_HOMOTETRAMER_ABCG2_pc	cplx_HOMOTETRAMER_ABCG2	protein_ABCG2_pc	RIBFLVABCte;5FTHFABCte;5MTHFABCte;FE2PHEMEABCte;HEMATINABCte;INDSABCte;PPP9ABCte;SPHS1PABCte;URATEABCte;5FLURAABCte;DHEASABCte;E217BGLCRABCte	ABCG2	4			protein_ABCG2_pc(4)	pc	289298.56800000067
cplx_MONOMER_ABHD14B_pc	cplx_MONOMER_ABHD14B	protein_ABHD14B_pc	PROTKDAC	ABHD14B	1		ASSUMED MONOMER	protein_ABHD14B_pc(1)	pc	22341.422999999984
cplx_MONOMER_ABHD16A_pc	cplx_MONOMER_ABHD16A	protein_ABHD16A_pc	PCPLA2;PCOPLA2;PCPPLA2;PEPPLA2;MAGL1;MAGL2;PAPLA2;PEPLA2;PIPLA2;PSPLA2;PGD21GH	ABHD16A	1		ASSUMED MONOMER	protein_ABHD16A_pc(1)	pc	63246.794000000315
cplx_MONOMER_ABHD17B_pc	cplx_MONOMER_ABHD17B	protein_ABHD17B_pc	PROTCSAE_14_0;PROTCSAE_16_0;PROTCSAE_18_0	ABHD17B	1		ASSUMED MONOMER	protein_ABHD17B_pc(1)	pc	32210.496000000014
cplx_MONOMER_ABO_pc	cplx_MONOMER_ABO	protein_ABO_pc	ABO4A;ABO4B;ABO1A;ABO1B;ABO2A;ABO2B;ABO3A;ABO3AB;ABO5A;ABO5B	ABO	1			protein_ABO_pc(1)	pc	40941.50300000007
cplx_HOMOTETRAMER_ACAT2_pc	cplx_HOMOTETRAMER_ACAT2	protein_ACAT2_pc	ACACT1	ACAT2	4			protein_ACAT2_pc(4)	pc	165393.93600000066
cplx_MONOMER_ACER2_pc	cplx_MONOMER_ACER2	protein_ACER2_pc	ACER	ACER2	1		ASSUMED MONOMER	protein_ACER2_pc(1)	pc	31310.978999999992
cplx_MONOMER_ACER3_pc	cplx_MONOMER_ACER3	protein_ACER3_pc	ACER	ACER3	1			protein_ACER3_pc(1)	pc	31557.28299999997
cplx_HOMODIMER_ACHE_pc	cplx_HOMODIMER_ACHE	protein_ACHE_pc	ACHEe	ACHE	2			protein_ACHE_pc(2)	pc	134736.69600000055
cplx_HOMOTETRAMER_ACLY_pc	cplx_HOMOTETRAMER_ACLY	protein_ACLY_pc	ACITL	ACLY	4			protein_ACLY_pc(4)	pc	483344.66799999744
cplx_MONOMER_ACO1_pc	cplx_MONOMER_ACO1	protein_ACO1_pc	ACONT	ACO1	1			protein_ACO1_pc(1)	pc	98390.89399999987
cplx_HOMOHEXAMER_ACOT7_pc	cplx_HOMOHEXAMER_ACOT7	protein_ACOT7_pc	FACOAE_10_0;FACOAE_11_0;FACOAE_12_0;FACOAE_13_0;FACOAE_14_0;FACOAE_14_5Z;FACOAE_14_7Z;FACOAE_14_9Z;FACOAE_15_0;FACOAE_16_0;FACOAE_16_7Z;FACOAE_16_9Z;FACOAE_17_0;FACOAE_17_10Z;FACOAE_17_9Z;FACOAE_18_0;FACOAE_18_11Z;FACOAE_18_13Z;FACOAE_18_6Z9Z;FACOAE_18_6Z9Z12Z;FACOAE_18_6Z9Z12Z15Z;FACOAE_18_7Z;FACOAE_18_9E;FACOAE_18_9Z;FACOAE_18_9Z12Z;FACOAE_18_9Z12Z15Z;FACOAE_19_0;FACOAE_20_0;FACOAE_20_11Z;FACOAE_20_11Z14Z;FACOAE_20_11Z14Z17Z;FACOAE_20_13Z;FACOAE_20_5Z8Z11Z;FACOAE_20_5Z8Z11Z14Z;FACOAE_20_5Z8Z11Z14Z17Z;FACOAE_20_8Z11Z;FACOAE_20_8Z11Z14Z;FACOAE_20_8Z11Z14Z17Z;FACOAE_20_9Z;FACOAE_8_0;FACOAE_9_0	ACOT7	6			protein_ACOT7_pc(6)	pc	224510.35800000024
cplx_MONOMER_ACP1_pc	cplx_MONOMER_ACP1	protein_ACP1_pc	FMNPH;PROTKRU5PPP;PROTYPP;THMMPP	ACP1	1		ASSUMED MONOMER	protein_ACP1_pc(1)	pc	18041.346999999998
cplx_MONOMER_ACSL1_pc	cplx_MONOMER_ACSL1	protein_ACSL1_pc	FACOAL_16_0;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z	ACSL1	1			protein_ACSL1_pc(1)	pc	77941.66100000012
cplx_MONOMER_ACSL3_pc	cplx_MONOMER_ACSL3	protein_ACSL3_pc	FACOAL_16_0;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z	ACSL3	1			protein_ACSL3_pc(1)	pc	80429.49500000008
cplx_MONOMER_ACSL4_pc	cplx_MONOMER_ACSL4	protein_ACSL4_pc	FACOAL_16_0;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z	ACSL4	1			protein_ACSL4_pc(1)	pc	79198.49900000011
cplx_MONOMER_ACSL6_pc	cplx_MONOMER_ACSL6	protein_ACSL6_pc	FACOAL_16_0;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z	ACSL6	1			protein_ACSL6_pc(1)	pc	77751.26500000009
cplx_MONOMER_ACSS2_pc	cplx_MONOMER_ACSS2	protein_ACSS2_pc	FACOAL_2_0;FACOAL_3_0	ACSS2	1			protein_ACSS2_pc(1)	pc	78566.84200000005
cplx_MONOMER_ACTA1_pc	cplx_MONOMER_ACTA1	protein_ACTA1_pc	NTPA	ACTA1	1		ASSUMED MONOMER	protein_ACTA1_pc(1)	pc	42037.595000000074
cplx_MONOMER_ACTB_pc	cplx_MONOMER_ACTB	protein_ACTB_pc	NTPA	ACTB	1		ASSUMED MONOMER	protein_ACTB_pc(1)	pc	41724.30800000007
cplx_MONOMER_ACTC1_pc	cplx_MONOMER_ACTC1	protein_ACTC1_pc	NTPA	ACTC1	1		ASSUMED MONOMER	protein_ACTC1_pc(1)	pc	42005.531000000075
cplx_MONOMER_ACTG1_pc	cplx_MONOMER_ACTG1	protein_ACTG1_pc	NTPA	ACTG1	1		ASSUMED MONOMER	protein_ACTG1_pc(1)	pc	41780.41300000007
cplx_MONOMER_ACTG2_pc	cplx_MONOMER_ACTG2	protein_ACTG2_pc	NTPA	ACTG2	1		ASSUMED MONOMER	protein_ACTG2_pc(1)	pc	41864.44900000007
cplx_HOMODIMER_ACY1_pc	cplx_HOMODIMER_ACY1	protein_ACY1_pc	ACMDAC;NACCYSDAC	ACY1	2			protein_ACY1_pc(2)	pc	91746.96800000027
cplx_MONOMER_ACYP1_pc	cplx_MONOMER_ACYP1	protein_ACYP1_pc	ACYP;E14BPP;ACYP2	ACYP1	1		ASSUMED MONOMER	protein_ACYP1_pc(1)	pc	11263.760999999997
cplx_MONOMER_ACYP2_pc	cplx_MONOMER_ACYP2	protein_ACYP2_pc	ACYP;E14BPP;ACYP2	ACYP2	1		ASSUMED MONOMER	protein_ACYP2_pc(1)	pc	11144.506999999996
cplx_MONOMER_ADA_pc	cplx_MONOMER_ADA	protein_ADA_pc	ADA;DADA;RBVDA	ADA	1			protein_ADA_pc(1)	pc	40753.99800000008
cplx_MONOMER_ADCY10_pc	cplx_MONOMER_ADCY10	protein_ADCY10_pc	ADNCYC	ADCY10	1			protein_ADCY10_pc(1)	pc	187143.55599999882
cplx_MONOMER_ADCY2_pc	cplx_MONOMER_ADCY2	protein_ADCY2_pc	ADNCYC	ADCY2	1			protein_ADCY2_pc(1)	pc	123611.39699999934
cplx_HOMODIMER_ADH5_pc	cplx_HOMODIMER_ADH5	protein_ADH5_pc	FAWOXx_10_10OH;FAWOXx_10_10OXO;FAWOXx_12_12OH;FAWOXx_12_12OXO;FAWOXx_14_14OH;FAWOXx_14_14OXO;FAWOXx_16_016OH;FAWOXx_16_016OXO;FAWOXx_20_5Z8Z11Z14Z20OH;FAWOXx_20_5Z8Z11Z14Z20OXO;FAWOXx_22_22OH;FAWOXx_22_22OXO;HMGTHDH;ALCD2x;LCARR;LCARS;GTHNORDx;LALDO	ADH5	2			protein_ADH5_pc(2)	pc	79449.85600000015
cplx_MONOMER_ADI1_pc	cplx_MONOMER_ADI1	protein_ADI1_pc	ARDFE2;ARDNI2	ADI1	1			protein_ADI1_pc(1)	pc	21492.145
cplx_MONOMER_ADK_pc	cplx_MONOMER_ADK	protein_ADK_pc	ADNK1;4PYRNK;NRHK;DADNK1;AICAK;RBVK	ADK	1			protein_ADK_pc(1)	pc	40541.03800000007
cplx_MONOMER_ADO_pc	cplx_MONOMER_ADO	protein_ADO_pc	CYSAMO	ADO	1			protein_ADO_pc(1)	pc	29744.552000000032
cplx_MONOMER_ADPGK_pc	cplx_MONOMER_ADPGK	protein_ADPGK_pc	ADPGK;ADPGKa	ADPGK	1			protein_ADPGK_pc(1)	pc	54072.15500000023
cplx_MONOMER_ADPRS_pc	cplx_MONOMER_ADPRS	protein_ADPRS_pc	ADPRDACAC1;NADN2;POLYADPRH;PROTSADPRH	ADPRS	1			protein_ADPRS_pc(1)	pc	38930.3000000001
cplx_HOMOTETRAMER_ADSL_pc	cplx_HOMOTETRAMER_ADSL	protein_ADSL_pc	ADSL1;ADSL2	ADSL	4			protein_ADSL_pc(4)	pc	219547.23600000085
cplx_HOMODIMER_ADSS2_pc	cplx_HOMODIMER_ADSS2	protein_ADSS2_pc	ADSS	ADSS2	2			protein_ADSS2_pc(2)	pc	100185.73400000036
cplx_HOMODIMER_AFMID_pc	cplx_HOMODIMER_AFMID	protein_AFMID_pc	FKYNH	AFMID	2			protein_AFMID_pc(2)	pc	67964.56400000007
cplx_MONOMER_AGL_pc	cplx_MONOMER_AGL	protein_AGL_pc	AMGLSDASEa;GLDBRAN	AGL	1			protein_AGL_pc(1)	pc	174746.0579999985
cplx_MONOMER_AGPAT1_pc	cplx_MONOMER_AGPAT1	protein_AGPAT1_pc	LPAAT	AGPAT1	1		ASSUMED MONOMER	protein_AGPAT1_pc(1)	pc	31726.33300000002
cplx_MONOMER_AGPAT3_pc	cplx_MONOMER_AGPAT3	protein_AGPAT3_pc	LPAAT;LPCAT;LPIAT;LPSAT	AGPAT3	1		ASSUMED MONOMER	protein_AGPAT3_pc(1)	pc	43389.6260000001
cplx_MONOMER_AGPAT4_pc	cplx_MONOMER_AGPAT4	protein_AGPAT4_pc	LPAAT	AGPAT4	1		ASSUMED MONOMER	protein_AGPAT4_pc(1)	pc	44030.00800000009
cplx_COMPLEX_AGT_ANPEP_pc	cplx_COMPLEX_AGT_ANPEP	protein_AGT_pc;protein_ANPEP_pc	ANGIO3ARGH	AGT;ANPEP	1;2			protein_AGT_pc(1);protein_ANPEP_pc(2)	pc	271087.03000000014
cplx_COMPLEX_AGT_DNPEP_pc	cplx_COMPLEX_AGT_DNPEP	protein_AGT_pc;protein_DNPEP_pc	ANGIO2ASPH	AGT;DNPEP	1;12			protein_AGT_pc(1);protein_DNPEP_pc(12)	pc	692977.7860000026
cplx_COMPLEX_AGT_DPP3_pc	cplx_COMPLEX_AGT_DPP3	protein_AGT_pc;protein_DPP3_pc	ANGIO2DDP;ANGIO3ARGH;ANGIO4DDP	AGT;DPP3	1;1			protein_AGT_pc(1);protein_DPP3_pc(1)	pc	134619.4660000003
cplx_COMPLEX_AGT_PREP_pc	cplx_COMPLEX_AGT_PREP	protein_AGT_pc;protein_PREP_pc	ANGIO58PEP	AGT;PREP	1;1			protein_AGT_pc(1);protein_PREP_pc(1)	pc	132735.9940000003
cplx_COMPLEX_AGT_THOP1_pc	cplx_COMPLEX_AGT_THOP1	protein_AGT_pc;protein_THOP1_pc	ANGIO1THOP	AGT;THOP1	1;1			protein_AGT_pc(1);protein_THOP1_pc(1)	pc	130880.29700000028
cplx_HOMOTETRAMER_AHCY_pc	cplx_HOMOTETRAMER_AHCY	protein_AHCY_pc	AHC;SEAHCYSHYD	AHCY	4			protein_AHCY_pc(4)	pc	190834.5840000005
cplx_MONOMER_AK1_pc	cplx_MONOMER_AK1	protein_AK1_pc	ADK1;NDPK1;NDPK2;NDPK3;ADK3;ADK4;ADK5;ADK6;DADK3;DADK4;DADK5;DADK6;DADK1;ADK7;DADK7	AK1	1			protein_AK1_pc(1)	pc	21637.677999999996
cplx_MONOMER_AKR1A1_pc	cplx_MONOMER_AKR1A1	protein_AKR1A1_pc	GULND;GALOR;GHBDHy;3DGRy;SBTRa;ALCD19y;ARABR_Ly;ALR2y;ALR3y;PPDOy;GTHNORDy;SNOCOARD	AKR1A1	1			protein_AKR1A1_pc(1)	pc	36569.66900000006
cplx_MONOMER_AKR1B1_pc	cplx_MONOMER_AKR1B1	protein_AKR1B1_pc	GALOR;6HOPTHPDH;6PTHPDH;ESTRADIOL23Q2ERy;ESTRADIOL34Q2ERy;ESTRONE23Q2ERy;ESTRONE34Q2ERy;3DGRy;SBTRa;ALCD19y;ARABR_Ly;XYLR_Dy;PGH2Ry;ALR2y;ALR3y;LALD_Ly;PPDOy	AKR1B1	1			protein_AKR1B1_pc(1)	pc	35851.05000000003
cplx_MONOMER_AKR1C3_pc	cplx_MONOMER_AKR1C3	protein_AKR1C3_pc	5ADHTRy;ANDRSTNDNRy;ANDRSTRNRy;6PTHPDH2;ESTRADIOL23Q2ERy;ESTRADIOL34Q2ERy;ESTRONE23Q2ERy;ESTRONE34Q2ERy;ESTRONEDHy;PGD2Ry;PGH2Ry;RDH2y;PRGSTRNRy	AKR1C3	1		ASSUMED MONOMER	protein_AKR1C3_pc(1)	pc	36854.91900000005
cplx_HOMODIMER_AKR7A2_pc	cplx_HOMODIMER_AKR7A2	protein_AKR7A2_pc	GHBDHy;ESTRADIOL23Q2ERy;ESTRADIOL34Q2ERy;ESTRONE23Q2ERy;ESTRONE34Q2ERy;SBTRa;ARABR_Ly;ALR2y;ALR3y;PPDOy	AKR7A2	2			protein_AKR7A2_pc(2)	pc	79173.23000000011
cplx_HOMOOCTOMER_ALAD_pc	cplx_HOMOOCTOMER_ALAD	protein_ALAD_pc	PPBNGS	ALAD	8			protein_ALAD_pc(8)	pc	290332.42400000064
cplx_HOMOTETRAMER_ALDH1A1_pc	cplx_HOMOTETRAMER_ALDH1A1	protein_ALDH1A1_pc	ALDD2x;ABUTDx;3DGDH;4H2HXEAL2EDHx;4H2NNEAL2EDHx;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;MALDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;PPALDHx;RADH1x;RADH2x;RADH3x;RADH4x	ALDH1A1	4			protein_ALDH1A1_pc(4)	pc	219433.32800000068
cplx_HOMODIMER_ALDH3A1_pc	cplx_HOMODIMER_ALDH3A1	protein_ALDH3A1_pc	ALDD2x;4H2HXEAL2EDHx;4H2NNEAL2EDHx;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;RBTDG_Dx;34DHALDDx;34DHALDDy;3M4HDXPACx;3M4HDXPACy;ALDD19x;ALDD19y;ALDD2y;MACOXO;34DHXMANDACOXx;34DHXMANDACOXy;4HOXPACDORx;4HOXPACDORy	ALDH3A1	2			protein_ALDH3A1_pc(2)	pc	100778.93600000035
cplx_HOMODIMER_ALDH3A2_pc	cplx_HOMODIMER_ALDH3A2	protein_ALDH3A2_pc	ALDD2x;ABUTDx;BAMPPALDOXx;NABTNO;GLYALDD;TMABADH;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;PPALDHx;5HOXINDACTOX;HXDCAL2EDHx;HXDCAL2EDHy;HXDCALDHx;HXDCALDHy;GLACOx;FRNSL2E6EDH;IMACTD;MACOXO;MMALNDHx	ALDH3A2	2			protein_ALDH3A2_pc(2)	pc	109698.68000000033
