reaction	genes	rho	pvalue	subsystem	category
ALCD2x	ADH5	1.0	0.0	Pyruvate metabolism	Carbohydrate metabolism
HMGTHDH	ADH5	1.0	0.0	Glutathione metabolism	Amino acid metabolism
LALDO	ADH5	1.0	0.0	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	Carbohydrate metabolism
LCARR	ADH5	1.0	0.0	Pyruvate metabolism	Carbohydrate metabolism
LCARS	ADH5	1.0	0.0	Pyruvate metabolism	Carbohydrate metabolism
ADPGKa	ADPGK	1.0	0.0	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
ADSL1	ADSL	1.0	0.0	Purine metabolism	Nucleotide metabolism
AHC	AHCY	1.0	0.0	Cysteine and methionine metabolism	Amino acid metabolism
ADK1	AK1	1.0	0.0	Purine metabolism	Nucleotide metabolism
DADK1	AK1	1.0	0.0	Purine metabolism	Nucleotide metabolism
DADK3	AK1	1.0	0.0	Nucleotide metabolism	Nucleotide metabolism
DADK5	AK1	1.0	0.0	Nucleotide metabolism	Nucleotide metabolism
3DGRy	AKR1A1;AKR1B1	1.0	0.0	Fructose and mannose metabolism	Carbohydrate metabolism
PRGSTRNRy	AKR1C3;DHRS11	1.0	0.0	Steroid metabolism	Lipid metabolism
ESTRONEDHy	AKR1C3;DHRS11;HSD17B11;HSD17B12	1.0	0.0	Estrogen metabolism	Lipid metabolism
ANDRSTNDNRy	AKR1C3;DHRS11;HSD17B12	1.0	0.0	Androgen metabolism	Lipid metabolism
PPBNGS	ALAD	1.0	0.0	Porphyrin metabolism	Metabolism of cofactors and vitamins
RBTDG_Dx	ALDH3A1;ALDH3B1	1.0	0.0	Pentose and glucuronate interconversions	Carbohydrate metabolism
GLYALDD	ALDH3A2;ALDH9A1	1.0	0.0	Glycerolipid metabolism	Lipid metabolism
BETALDDHx	ALDH9A1	1.0	0.0	Glycine, serine and threonine metabolism	Amino acid metabolism
FBA2	ALDOA;ALDOB;ALDOC	1.0	0.0	Pentose phosphate pathway	Carbohydrate metabolism
AHDTPPPH	ALPL	1.0	0.0	Biopterin metabolism	Metabolism of cofactors and vitamins
ALKP	ALPL	1.0	0.0	Glycerolipid metabolism	Lipid metabolism
CRTNP	ALPL	1.0	0.0	Arginine and proline metabolism	Amino acid metabolism
CRTNPe	ALPL	1.0	0.0	Arginine and proline metabolism	Amino acid metabolism
PPAe	ALPL	1.0	0.0	Nucleotide metabolism	Nucleotide metabolism
PYDXPPe	ALPL	1.0	0.0	Vitamin B6 metabolism	Metabolism of cofactors and vitamins
THMMPPe	ALPL	1.0	0.0	Thiamine metabolism	Metabolism of cofactors and vitamins
NDPADPe	ALPL;ENTPD1	1.0	0.0	Nucleotide metabolism	Nucleotide metabolism
NTPAe	ALPL;ENTPD1	1.0	0.0	Nucleotide metabolism	Nucleotide metabolism
ETHPe	ALPL;PHOSPHO1	1.0	0.0	Glycerophospholipid metabolism	Lipid metabolism
AMPDA	AMPD3	1.0	0.0	Purine metabolism	Nucleotide metabolism
MDRPD	APIP	1.0	0.0	Cysteine and methionine metabolism	Amino acid metabolism
NOt	AQP1	1.0	0.0	Transport, extracellular	Transport reactions
O2St	AQP1	1.0	0.0	Transport, extracellular	Transport reactions
O2t	AQP1	1.0	0.0	Transport, extracellular	Transport reactions
H2Ot	AQP1;AQP3	1.0	0.0	Transport, extracellular	Transport reactions
NH3t	AQP1;AQP3;RHAG;RHCE;RHD	1.0	0.0	Transport, extracellular	Transport reactions
NH4t	AQP1;AQP3;RHAG;RHCE;RHD	1.0	0.0	Transport, extracellular	Transport reactions
CO2t	AQP1;RHAG;RHCE;RHD	1.0	0.0	Transport, extracellular	Transport reactions
ARSNIt	AQP3	1.0	0.0	Transport, extracellular	Transport reactions
GLYCt	AQP3	1.0	0.0	Transport, extracellular	Transport reactions
PROTGMT	ARMT1	1.0	0.0	Protein modification	Other
R5PP	ARMT1	1.0	0.0	Pentose and glucuronate interconversions	Carbohydrate metabolism
PROTRADPRTe	ART4	1.0	0.0	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
PI3K	ATG14;BECN1;PIK3C3;PIK3R4	1.0	0.0	Inositol phosphate metabolism	Carbohydrate metabolism
PEFLIPt	ATP11A;ATP11B;ATP11C;TMEM30A	1.0	0.0	Transport, extracellular	Transport reactions
PSFLIPt	ATP11A;ATP11B;ATP11C;TMEM30A	1.0	0.0	Transport, extracellular	Transport reactions
NaKt	ATP1A1;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1B3	1.0	0.0	Transport, extracellular	Transport reactions
CAATPS1	ATP2B1;ATP2B4	1.0	0.0	Transport, extracellular	Transport reactions
VATPASEte	ATP6AP1;ATP6AP2;ATP6V0A1;ATP6V0B;ATP6V0C;ATP6V0D1;ATP6V0E1;ATP6V1A;ATP6V1B2;ATP6V1C1;ATP6V1D;ATP6V1E1;ATP6V1F;ATP6V1G1;ATP6V1H	1.0	0.0	Transport, extracellular	Transport reactions
CU1ABCte	ATP7A;ATP7B	1.0	0.0	Transport, extracellular	Transport reactions
BHMT	BHMT	1.0	0.0	Glycine, serine and threonine metabolism	Amino acid metabolism
PROTCSNOCOANT	BLVRB	1.0	0.0	Protein modification	Other
2OBUT_BUTtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
2OBUT_LLACtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
2OBUT_PPAtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
2OBUTt	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
5OXPRO_ACACtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
5OXPRO_ACtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
5OXPRO_DLACtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
ACAC_ACtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
ACt2	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
BUT_ACtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
BUT_PPAtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
BUTt2r	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
DLAC_ACACtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
DLAC_ACtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
DLAC_BUTtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
DLAC_PPAtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
D_LACt2	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
H2SUCCt	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
LLAC_ACtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
LLAC_BUTtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
LLAC_DLACtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
LLAC_PPAtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
L_LACt2	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
PPA_ACtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
PPAt2r	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
PYR_2OBUTtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
PYR_ACtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
PYR_BUTtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
PYR_DLACtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
PYR_LLACtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
PYR_PPAtex	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
PYRt2	BSG;EMB;SLC16A1;SLC16A7	1.0	0.0	Transport, extracellular	Transport reactions
HCO3Ee	CA4	1.0	0.0	Miscellaneous	Other
CA2t	CACNA1A;GRIA1;P2RX1;P2RX2;P2RX7;PANX1;PIEZO1;TMEM109;TRPC6;TRPV2;VDAC1	1.0	0.0	Transport, extracellular	Transport reactions
NEDD8E2CONJT	CAND1;CUL1;NEDD8;RBX1;SKP1	1.0	0.0	Ubiquitin mediated proteolysis	Other
PRMTMMA	CARM1;CLNS1A;PRMT1;PRMT5;WDR77	1.0	0.0	Protein modification	Other
CAT	CAT	1.0	0.0	Reactive species formation and detoxification	Reactive species
56DHIPX	CAT;PRDX6	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
ADRNLPX_L	CAT;PRDX6	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
DOPAPX_L	CAT;PRDX6	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
DPAMPX_L	CAT;PRDX6	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
LADRNCHRPX	CAT;PRDX6	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
LDPAMCHRPX	CAT;PRDX6	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
LDPCHRPX_L	CAT;PRDX6	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
LNRPPHRCHRPX	CAT;PRDX6	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
NRPPHRPX_L	CAT;PRDX6	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
ADRNCHR2ERy	CBR1;CBR3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
ADRNLQ2ERy_L	CBR1;CBR3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
DOPAQ2ERy_L	CBR1;CBR3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
DPAMCHR2ERy	CBR1;CBR3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
DPAMQ2ERy_L	CBR1;CBR3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
DPCHR2ERy_L	CBR1;CBR3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
IND56Q2ERy	CBR1;CBR3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
NRPPHRCHR2ERy	CBR1;CBR3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
NRPPHRQ2ERy_L	CBR1;CBR3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
CADPRIBH	CD38	1.0	0.0	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
CADPRIBtec	CD38	1.0	0.0	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
NADL	CD38	1.0	0.0	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
CK	CKB;CKM	1.0	0.0	Arginine and proline metabolism	Amino acid metabolism
CKe	CKB;CKM	1.0	0.0	Arginine and proline metabolism	Amino acid metabolism
H_2Clt	CLCN2;CLCN3;CLCN4;CLCN5	1.0	0.0	Transport, extracellular	Transport reactions
NO3t	CLCN2;CLIC1;CLIC4;PANX1	1.0	0.0	Transport, extracellular	Transport reactions
FEROXe	CP;SLC40A1	1.0	0.0	Porphyrin metabolism	Metabolism of cofactors and vitamins
PROTSPP	CPPED1;DUSP23;PPP1CA;PPP1CB;PPP1CC;PPP2CA;PPP2CB;PPP2R1A;PPP2R1B;PPP2R5B;PPP2R5D	1.0	0.0	Protein modification	Other
PROTTPP	CPPED1;DUSP23;PPP1CA;PPP1CB;PPP1CC;PPP2CA;PPP2CB;PPP2R1A;PPP2R1B;PPP2R5B;PPP2R5D	1.0	0.0	Protein modification	Other
GULN3D	CRYL1	1.0	0.0	Pentose and glucuronate interconversions	Carbohydrate metabolism
CYSTL1	CTH	1.0	0.0	Cysteine and methionine metabolism	Amino acid metabolism
CYSL2	CTH;KYAT1	1.0	0.0	Cysteine and methionine metabolism	Amino acid metabolism
CYSLNET	CTH;KYAT1	1.0	0.0	Cysteine and methionine metabolism	Amino acid metabolism
CYSTL2	CTH;KYAT1	1.0	0.0	Selenocompound metabolism	Amino acid metabolism
CTPS1	CTPS1;CTPS2	1.0	0.0	Pyrimidine metabolism	Nucleotide metabolism
CTPS2	CTPS1;CTPS2	1.0	0.0	Pyrimidine metabolism	Nucleotide metabolism
GLUN	CTPS1;CTPS2;GMPS	1.0	0.0	Alanine, aspartate and glutamate metabolism	Amino acid metabolism
TMASCBOXt	CYB561D2;CYBRD1	1.0	0.0	Transport, extracellular	Transport reactions
TMASCBOXt2	CYB561D2;CYBRD1	1.0	0.0	Transport, extracellular	Transport reactions
TMASCBOXt3	CYB561D2;CYBRD1	1.0	0.0	Transport, extracellular	Transport reactions
ADRNCHR1ERx	CYB5A;CYB5B;CYB5R3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
ADRNLQ1ERx_L	CYB5A;CYB5B;CYB5R3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
AVITE1RCYTB5R	CYB5A;CYB5B;CYB5R3	1.0	0.0	Vitamin E metabolism	Metabolism of cofactors and vitamins
CYTB5ASCBR	CYB5A;CYB5B;CYB5R3	1.0	0.0	Ascorbate and aldarate metabolism	Carbohydrate metabolism
DOPAQ1ERx_L	CYB5A;CYB5B;CYB5R3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
DPAMCHR1ERx	CYB5A;CYB5B;CYB5R3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
DPAMQ1ERx_L	CYB5A;CYB5B;CYB5R3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
DPCHR1ERx_L	CYB5A;CYB5B;CYB5R3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
ESTRADIOL23Q1ERx	CYB5A;CYB5B;CYB5R3	1.0	0.0	Estrogen metabolism	Lipid metabolism
ESTRADIOL34Q1ERx	CYB5A;CYB5B;CYB5R3	1.0	0.0	Estrogen metabolism	Lipid metabolism
ESTRONE23Q1ERx	CYB5A;CYB5B;CYB5R3	1.0	0.0	Estrogen metabolism	Lipid metabolism
ESTRONE34Q1ERx	CYB5A;CYB5B;CYB5R3	1.0	0.0	Estrogen metabolism	Lipid metabolism
FCYTOB5OXR	CYB5A;CYB5B;CYB5R3	1.0	0.0	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
IND56Q1ERx	CYB5A;CYB5B;CYB5R3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
NRPPHRCHR1ERx	CYB5A;CYB5B;CYB5R3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
NRPPHRQ1ERx_L	CYB5A;CYB5B;CYB5R3	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
NDPC	DCTPP1	1.0	0.0	Nucleotide metabolism	Nucleotide metabolism
DAGK	DGKA	1.0	0.0	Glycerolipid metabolism	Lipid metabolism
DAGOACK	DGKA	1.0	0.0	Glycerolipid metabolism	Lipid metabolism
D5FURADy	DPYD	1.0	0.0	5-fluorouracil metabolism	Other
DTHYMy	DPYD	1.0	0.0	Pyrimidine metabolism	Nucleotide metabolism
DURADy	DPYD	1.0	0.0	Pyrimidine metabolism	Nucleotide metabolism
ENO	ENO1;ENO2;ENO3	1.0	0.0	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
EDP1011EPHX	EPHX1;EPHX2	1.0	0.0	Docosahexaenoic acid metabolism	Lipid metabolism
EDP1314EPHX	EPHX1;EPHX2	1.0	0.0	Docosahexaenoic acid metabolism	Lipid metabolism
EDP1617EPHX	EPHX1;EPHX2	1.0	0.0	Docosahexaenoic acid metabolism	Lipid metabolism
EDP1920EPHX	EPHX1;EPHX2	1.0	0.0	Docosahexaenoic acid metabolism	Lipid metabolism
EDP78EPHX	EPHX1;EPHX2	1.0	0.0	Docosahexaenoic acid metabolism	Lipid metabolism
EEQ1112EPHX	EPHX1;EPHX2	1.0	0.0	Eicosapentaenoic acid metabolism	Lipid metabolism
EEQ1415EPHX	EPHX1;EPHX2	1.0	0.0	Eicosapentaenoic acid metabolism	Lipid metabolism
EEQ1718EPHX	EPHX1;EPHX2	1.0	0.0	Eicosapentaenoic acid metabolism	Lipid metabolism
EEQ56EPHX	EPHX1;EPHX2	1.0	0.0	Eicosapentaenoic acid metabolism	Lipid metabolism
EEQ89EPHX	EPHX1;EPHX2	1.0	0.0	Eicosapentaenoic acid metabolism	Lipid metabolism
EET1112EPHX	EPHX1;EPHX2	1.0	0.0	Arachidonic acid metabolism	Lipid metabolism
EET1314EPHX	EPHX1;EPHX2	1.0	0.0	Arachidonic acid metabolism	Lipid metabolism
EET56EPHX	EPHX1;EPHX2	1.0	0.0	Arachidonic acid metabolism	Lipid metabolism
EET89EPHX	EPHX1;EPHX2	1.0	0.0	Arachidonic acid metabolism	Lipid metabolism
EPOME1213EPHX	EPHX1;EPHX2	1.0	0.0	Linoleate metabolism	Lipid metabolism
EPOME910EPHX	EPHX1;EPHX2	1.0	0.0	Linoleate metabolism	Lipid metabolism
FUMAC	FAH	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
OAADC	FAHD1;ME1	1.0	0.0	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	Carbohydrate metabolism
FUM	FH	1.0	0.0	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	Carbohydrate metabolism
PI35P5P	FIG4	1.0	0.0	Inositol phosphate metabolism	Carbohydrate metabolism
PI345P5P	FIG4;INPP5D	1.0	0.0	Inositol phosphate metabolism	Carbohydrate metabolism
FEROX	FXN	1.0	0.0	Porphyrin metabolism	Metabolism of cofactors and vitamins
G6PDH2	G6PD	1.0	0.0	Pentose phosphate pathway	Carbohydrate metabolism
UGLT	GALT	1.0	0.0	Galactose metabolism	Carbohydrate metabolism
NADHHR	GAPDH	1.0	0.0	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
NADHHS	GAPDH	1.0	0.0	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
GAPD	GAPDH;GAPDHS	1.0	0.0	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
AP4ASYN	GARS1;KARS1	1.0	0.0	Nucleotide metabolism	Nucleotide metabolism
GTPCH1	GCH1	1.0	0.0	Biopterin metabolism	Metabolism of cofactors and vitamins
GTPCH2	GCH1	1.0	0.0	Biopterin metabolism	Metabolism of cofactors and vitamins
GTPCH3	GCH1	1.0	0.0	Biopterin metabolism	Metabolism of cofactors and vitamins
GTPCH4	GCH1	1.0	0.0	Biopterin metabolism	Metabolism of cofactors and vitamins
GLU2ABUTS	GCLC;GCLM	1.0	0.0	Cysteine and methionine metabolism	Amino acid metabolism
GLUCYS	GCLC;GCLM	1.0	0.0	Glutathione metabolism	Amino acid metabolism
GRDX2CGTHR	GLRX	1.0	0.0	Glutathione metabolism	Amino acid metabolism
GRDX2CGTHRDG	GLRX	1.0	0.0	Glutathione metabolism	Amino acid metabolism
GTHNODN	GLRX	1.0	0.0	Reactive species formation and detoxification	Reactive species
SNOCYSDN	GLRX	1.0	0.0	Reactive species formation and detoxification	Reactive species
PRDX1GRDX2CDG	GLRX;PRDX6	1.0	0.0	Reactive species formation and detoxification	Reactive species
GLNS	GLUL	1.0	0.0	Alanine, aspartate and glutamate metabolism	Amino acid metabolism
GMPR	GMPR;GMPR2	1.0	0.0	Purine metabolism	Nucleotide metabolism
GMPS	GMPS	1.0	0.0	Purine metabolism	Nucleotide metabolism
GMPS2	GMPS	1.0	0.0	Purine metabolism	Nucleotide metabolism
G6PDA	GNPDA1;GNPDA2	1.0	0.0	Amino sugar and nucleotide sugar metabolism	Carbohydrate metabolism
2ABUTTA	GOT1	1.0	0.0	Alanine, aspartate and glutamate metabolism	Amino acid metabolism
3SALATA	GOT1	1.0	0.0	Cysteine and methionine metabolism	Amino acid metabolism
ASPTA	GOT1	1.0	0.0	Alanine, aspartate and glutamate metabolism	Amino acid metabolism
CYSTA	GOT1;GOT2	1.0	0.0	Cysteine and methionine metabolism	Amino acid metabolism
G6PM	GPI	1.0	0.0	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
PGI	GPI	1.0	0.0	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
ALATA_L	GPT	1.0	0.0	Alanine, aspartate and glutamate metabolism	Amino acid metabolism
VANILPYR	GPT	1.0	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
SELDIGTHOXy	GPX1	1.0	0.0	Selenocompound metabolism	Amino acid metabolism
SELGTHGTHR	GPX1	1.0	0.0	Selenocompound metabolism	Amino acid metabolism
GTHP	GPX1;GPX4	1.0	0.0	Glutathione metabolism	Amino acid metabolism
HPDHA10GTHR	GPX1;GPX4;PRDX6	1.0	0.0	Docosahexaenoic acid metabolism	Lipid metabolism
HPDHA11GTHR	GPX1;GPX4;PRDX6	1.0	0.0	Docosahexaenoic acid metabolism	Lipid metabolism
HPDHA13GTHR	GPX1;GPX4;PRDX6	1.0	0.0	Docosahexaenoic acid metabolism	Lipid metabolism
HPDHA14GTHR	GPX1;GPX4;PRDX6	1.0	0.0	Docosahexaenoic acid metabolism	Lipid metabolism
HPDHA16GTHR	GPX1;GPX4;PRDX6	1.0	0.0	Docosahexaenoic acid metabolism	Lipid metabolism
HPDHA17GTHR	GPX1;GPX4;PRDX6	1.0	0.0	Docosahexaenoic acid metabolism	Lipid metabolism
HPDHA20GTHR	GPX1;GPX4;PRDX6	1.0	0.0	Docosahexaenoic acid metabolism	Lipid metabolism
HPDHA4GTHR	GPX1;GPX4;PRDX6	1.0	0.0	Docosahexaenoic acid metabolism	Lipid metabolism
HPDHA7GTHR	GPX1;GPX4;PRDX6	1.0	0.0	Docosahexaenoic acid metabolism	Lipid metabolism
HPDHA8GTHR	GPX1;GPX4;PRDX6	1.0	0.0	Docosahexaenoic acid metabolism	Lipid metabolism
HPEPE11GTHR	GPX1;GPX4;PRDX6	1.0	0.0	Eicosapentaenoic acid metabolism	Lipid metabolism
HPEPE12GTHR	GPX1;GPX4;PRDX6	1.0	0.0	Eicosapentaenoic acid metabolism	Lipid metabolism
