Variables		Abundance and Age	Abundance and Age	Abundance and BMI	Abundance and BMI	Abundance and Weight	Abundance and Weight	Abundance and Height	Abundance and Height	Abundance and Hemolysis.volume	Abundance and Hemolysis.volume	Abundance and Hemolysis.hct	Abundance and Hemolysis.hct	Abundance and Hemolysis.storage_total_hb	Abundance and Hemolysis.storage_total_hb	Abundance and Hemolysis.storage_pct_hemol	Abundance and Hemolysis.storage_pct_hemol	Abundance and Hemolysis.pink_total_hb	Abundance and Hemolysis.pink_total_hb	Abundance and Hemolysis.pink_pct_hemol	Abundance and Hemolysis.pink_pct_hemol	Abundance and Recall.Transfer.Storage.Hemolysis	Abundance and Recall.Transfer.Storage.Hemolysis	Abundance and Recall.Transfer.Osmotic.Hemolysis	Abundance and Recall.Transfer.Osmotic.Hemolysis	Abundance and Recall.Transfer.Oxidative.Hemolysis	Abundance and Recall.Transfer.Oxidative.Hemolysis	Abundance and Adjusted.Storage.Hemolysis	Abundance and Adjusted.Storage.Hemolysis	Abundance and Adjusted.Osmotic.Hemolysis	Abundance and Adjusted.Osmotic.Hemolysis	Abundance and Adjusted.Oxidative.Hemolysis	Abundance and Adjusted.Oxidative.Hemolysis	Abundance and CBC.WBC	Abundance and CBC.WBC	Abundance and CBC.RBC	Abundance and CBC.RBC	Abundance and CBC.HGB	Abundance and CBC.HGB	Abundance and CBC.HCT	Abundance and CBC.HCT	Abundance and CBC.MCV	Abundance and CBC.MCV	Abundance and CBC.RDW	Abundance and CBC.RDW	Abundance and CBC.PLT	Abundance and CBC.PLT	Abundance and Ferritin	Abundance and Ferritin	subsystem	category
E217BGLCRABCte	ABCC1;ABCC4;ABCG2	0.0946019319241159	4.637778744150966e-05	-0.0582091034703615	0.0123234784447651	-0.0991985906574351	1.9369211073589512e-05	-0.1040066383718887	7.457112996051395e-06	0.037931373704921	0.1030822103460551	0.3862580066952918	8.195248140841031e-67	0.2685096251743194	6.942744410357486e-32	-0.0620592590003181	0.0076662967142612	-0.0681632085102928	0.0033716358793652	-0.1284854568505149	2.9796114855526442e-08	-0.0557598779979099	0.0173282082184762	-0.1289119919552671	3.3831582897717513e-08	-0.1469396489160087	2.9706604171483576e-10	-0.0482564451906028	0.0382109969518688	-0.0425631662447895	0.0673528638314854	-0.0609698324412026	0.0250789910740533	0.013039216864214	0.5791076470141366	-0.0405054506388784	0.0847553091536779	-0.0602302348036081	0.010334982837935	-0.0596110744350004	0.0111486051308063	0.0096288458437521	0.6820968677570811	-0.0077432899059522	0.7418603970700506	0.1511906436834063	9.891654102274242e-11	-0.0683270967002006	0.0033212254645794	Transport, extracellular	Transport reactions
SPHS1PABCte	ABCC1;ABCG2	0.0314755225094667	0.1762150988044621	-0.0891646442808648	0.0001239920557137	-0.1137600222707132	9.43970301097543e-07	-0.0834961643778839	0.0003266277490348	0.0610039957577375	0.008712570903228	0.3465976782057487	2.6640520186728793e-53	0.2142764922441234	1.2363659315983363e-20	-0.1003733819216187	1.5647218516095027e-05	-0.0966513812390907	3.157203825689599e-05	-0.0942045656828125	4.992384953864796e-05	-0.072644000458091	0.0019226958623102	-0.0933457657202702	6.625796552225416e-05	-0.1477311542134386	2.3793385135133965e-10	-0.0906149971254641	9.71464529248745e-05	-0.0260986819610676	0.2621296831908442	-0.0289806417926223	0.2873042839721869	-0.0005267309678369	0.9821239356850796	-0.0613468914906752	0.0090001645999897	-0.0452004719760165	0.0543883366630691	-0.0706940976796886	0.0026041576248741	0.0168734004887042	0.4728710529894129	-0.0229194428564886	0.3295204019534427	0.1216083955432306	2.07728059735887e-07	-0.0368189010895368	0.1138863746495646	Transport, extracellular	Transport reactions
CHOLATEGTHABCte	ABCC4	0.1407309047090183	1.2324830530707515e-09	-0.0255412842502672	0.2724603258106564	-0.0726586151144245	0.0017750686561037	-0.1020017992777821	1.1159808440956548e-05	0.0087969800126488	0.7054905644175264	0.3506579312017626	1.344864417910929e-54	0.2677004713265219	1.0720464285246639e-31	-0.0023781093565042	0.9186940096084236	-0.023832625427803	0.305845687839915	-0.1454624781022645	3.3337343765133897e-10	-0.0234897056815188	0.3164255634428606	-0.1478826898462034	2.2800365674209183e-10	-0.1142629686414971	1.0153796760684693e-06	0.0145914050995513	0.5310788633093004	-0.0604582342231452	0.0093326873127767	-0.0729788169500512	0.0073072712917449	0.0227861193545174	0.3323422663167305	-0.0105453204359383	0.6537262789122571	-0.0673778899098947	0.0041125588746172	-0.0352717325955211	0.1333908243701756	0.000159626441837	0.9945822262827408	0.0102913252295615	0.6615412479247221	0.147324399784987	2.9510247183445477e-10	-0.0972087926608086	2.882790319041163e-05	Transport, extracellular	Transport reactions
DGCHOGTHABCte	ABCC4	0.1407309047090183	1.2324830530707515e-09	-0.0255412842502672	0.2724603258106564	-0.0726586151144245	0.0017750686561037	-0.1020017992777821	1.1159808440956548e-05	0.0087969800126488	0.7054905644175264	0.3506579312017626	1.344864417910929e-54	0.2677004713265219	1.0720464285246639e-31	-0.0023781093565042	0.9186940096084236	-0.023832625427803	0.305845687839915	-0.1454624781022645	3.3337343765133897e-10	-0.0234897056815188	0.3164255634428606	-0.1478826898462034	2.2800365674209183e-10	-0.1142629686414971	1.0153796760684693e-06	0.0145914050995513	0.5310788633093004	-0.0604582342231452	0.0093326873127767	-0.0729788169500512	0.0073072712917449	0.0227861193545174	0.3323422663167305	-0.0105453204359383	0.6537262789122571	-0.0673778899098947	0.0041125588746172	-0.0352717325955211	0.1333908243701756	0.000159626441837	0.9945822262827408	0.0102913252295615	0.6615412479247221	0.147324399784987	2.9510247183445477e-10	-0.0972087926608086	2.882790319041163e-05	Transport, extracellular	Transport reactions
GCHOGTHABCte	ABCC4	0.1407309047090183	1.2324830530707515e-09	-0.0255412842502672	0.2724603258106564	-0.0726586151144245	0.0017750686561037	-0.1020017992777821	1.1159808440956548e-05	0.0087969800126488	0.7054905644175264	0.3506579312017626	1.344864417910929e-54	0.2677004713265219	1.0720464285246639e-31	-0.0023781093565042	0.9186940096084236	-0.023832625427803	0.305845687839915	-0.1454624781022645	3.3337343765133897e-10	-0.0234897056815188	0.3164255634428606	-0.1478826898462034	2.2800365674209183e-10	-0.1142629686414971	1.0153796760684693e-06	0.0145914050995513	0.5310788633093004	-0.0604582342231452	0.0093326873127767	-0.0729788169500512	0.0073072712917449	0.0227861193545174	0.3323422663167305	-0.0105453204359383	0.6537262789122571	-0.0673778899098947	0.0041125588746172	-0.0352717325955211	0.1333908243701756	0.000159626441837	0.9945822262827408	0.0102913252295615	0.6615412479247221	0.147324399784987	2.9510247183445477e-10	-0.0972087926608086	2.882790319041163e-05	Transport, extracellular	Transport reactions
GDCHOGTHABCte	ABCC4	0.1407309047090183	1.2324830530707515e-09	-0.0255412842502672	0.2724603258106564	-0.0726586151144245	0.0017750686561037	-0.1020017992777821	1.1159808440956548e-05	0.0087969800126488	0.7054905644175264	0.3506579312017626	1.344864417910929e-54	0.2677004713265219	1.0720464285246639e-31	-0.0023781093565042	0.9186940096084236	-0.023832625427803	0.305845687839915	-0.1454624781022645	3.3337343765133897e-10	-0.0234897056815188	0.3164255634428606	-0.1478826898462034	2.2800365674209183e-10	-0.1142629686414971	1.0153796760684693e-06	0.0145914050995513	0.5310788633093004	-0.0604582342231452	0.0093326873127767	-0.0729788169500512	0.0073072712917449	0.0227861193545174	0.3323422663167305	-0.0105453204359383	0.6537262789122571	-0.0673778899098947	0.0041125588746172	-0.0352717325955211	0.1333908243701756	0.000159626441837	0.9945822262827408	0.0102913252295615	0.6615412479247221	0.147324399784987	2.9510247183445477e-10	-0.0972087926608086	2.882790319041163e-05	Transport, extracellular	Transport reactions
GUDCHOGTHABCte	ABCC4	0.1407309047090183	1.2324830530707515e-09	-0.0255412842502672	0.2724603258106564	-0.0726586151144245	0.0017750686561037	-0.1020017992777821	1.1159808440956548e-05	0.0087969800126488	0.7054905644175264	0.3506579312017626	1.344864417910929e-54	0.2677004713265219	1.0720464285246639e-31	-0.0023781093565042	0.9186940096084236	-0.023832625427803	0.305845687839915	-0.1454624781022645	3.3337343765133897e-10	-0.0234897056815188	0.3164255634428606	-0.1478826898462034	2.2800365674209183e-10	-0.1142629686414971	1.0153796760684693e-06	0.0145914050995513	0.5310788633093004	-0.0604582342231452	0.0093326873127767	-0.0729788169500512	0.0073072712917449	0.0227861193545174	0.3323422663167305	-0.0105453204359383	0.6537262789122571	-0.0673778899098947	0.0041125588746172	-0.0352717325955211	0.1333908243701756	0.000159626441837	0.9945822262827408	0.0102913252295615	0.6615412479247221	0.147324399784987	2.9510247183445477e-10	-0.0972087926608086	2.882790319041163e-05	Transport, extracellular	Transport reactions
LEUKTRB4ABCte	ABCC4	0.1407309047090183	1.2324830530707515e-09	-0.0255412842502672	0.2724603258106564	-0.0726586151144245	0.0017750686561037	-0.1020017992777821	1.1159808440956548e-05	0.0087969800126488	0.7054905644175264	0.3506579312017626	1.344864417910929e-54	0.2677004713265219	1.0720464285246639e-31	-0.0023781093565042	0.9186940096084236	-0.023832625427803	0.305845687839915	-0.1454624781022645	3.3337343765133897e-10	-0.0234897056815188	0.3164255634428606	-0.1478826898462034	2.2800365674209183e-10	-0.1142629686414971	1.0153796760684693e-06	0.0145914050995513	0.5310788633093004	-0.0604582342231452	0.0093326873127767	-0.0729788169500512	0.0073072712917449	0.0227861193545174	0.3323422663167305	-0.0105453204359383	0.6537262789122571	-0.0673778899098947	0.0041125588746172	-0.0352717325955211	0.1333908243701756	0.000159626441837	0.9945822262827408	0.0102913252295615	0.6615412479247221	0.147324399784987	2.9510247183445477e-10	-0.0972087926608086	2.882790319041163e-05	Transport, extracellular	Transport reactions
LEUKTRB5ABCte	ABCC4	0.1407309047090183	1.2324830530707515e-09	-0.0255412842502672	0.2724603258106564	-0.0726586151144245	0.0017750686561037	-0.1020017992777821	1.1159808440956548e-05	0.0087969800126488	0.7054905644175264	0.3506579312017626	1.344864417910929e-54	0.2677004713265219	1.0720464285246639e-31	-0.0023781093565042	0.9186940096084236	-0.023832625427803	0.305845687839915	-0.1454624781022645	3.3337343765133897e-10	-0.0234897056815188	0.3164255634428606	-0.1478826898462034	2.2800365674209183e-10	-0.1142629686414971	1.0153796760684693e-06	0.0145914050995513	0.5310788633093004	-0.0604582342231452	0.0093326873127767	-0.0729788169500512	0.0073072712917449	0.0227861193545174	0.3323422663167305	-0.0105453204359383	0.6537262789122571	-0.0673778899098947	0.0041125588746172	-0.0352717325955211	0.1333908243701756	0.000159626441837	0.9945822262827408	0.0102913252295615	0.6615412479247221	0.147324399784987	2.9510247183445477e-10	-0.0972087926608086	2.882790319041163e-05	Transport, extracellular	Transport reactions
PGE1ABCte	ABCC4	0.1407309047090183	1.2324830530707515e-09	-0.0255412842502672	0.2724603258106564	-0.0726586151144245	0.0017750686561037	-0.1020017992777821	1.1159808440956548e-05	0.0087969800126488	0.7054905644175264	0.3506579312017626	1.344864417910929e-54	0.2677004713265219	1.0720464285246639e-31	-0.0023781093565042	0.9186940096084236	-0.023832625427803	0.305845687839915	-0.1454624781022645	3.3337343765133897e-10	-0.0234897056815188	0.3164255634428606	-0.1478826898462034	2.2800365674209183e-10	-0.1142629686414971	1.0153796760684693e-06	0.0145914050995513	0.5310788633093004	-0.0604582342231452	0.0093326873127767	-0.0729788169500512	0.0073072712917449	0.0227861193545174	0.3323422663167305	-0.0105453204359383	0.6537262789122571	-0.0673778899098947	0.0041125588746172	-0.0352717325955211	0.1333908243701756	0.000159626441837	0.9945822262827408	0.0102913252295615	0.6615412479247221	0.147324399784987	2.9510247183445477e-10	-0.0972087926608086	2.882790319041163e-05	Transport, extracellular	Transport reactions
PGE2ABCte	ABCC4	0.1407309047090183	1.2324830530707515e-09	-0.0255412842502672	0.2724603258106564	-0.0726586151144245	0.0017750686561037	-0.1020017992777821	1.1159808440956548e-05	0.0087969800126488	0.7054905644175264	0.3506579312017626	1.344864417910929e-54	0.2677004713265219	1.0720464285246639e-31	-0.0023781093565042	0.9186940096084236	-0.023832625427803	0.305845687839915	-0.1454624781022645	3.3337343765133897e-10	-0.0234897056815188	0.3164255634428606	-0.1478826898462034	2.2800365674209183e-10	-0.1142629686414971	1.0153796760684693e-06	0.0145914050995513	0.5310788633093004	-0.0604582342231452	0.0093326873127767	-0.0729788169500512	0.0073072712917449	0.0227861193545174	0.3323422663167305	-0.0105453204359383	0.6537262789122571	-0.0673778899098947	0.0041125588746172	-0.0352717325955211	0.1333908243701756	0.000159626441837	0.9945822262827408	0.0102913252295615	0.6615412479247221	0.147324399784987	2.9510247183445477e-10	-0.0972087926608086	2.882790319041163e-05	Transport, extracellular	Transport reactions
PGE3ABCte	ABCC4	0.1407309047090183	1.2324830530707515e-09	-0.0255412842502672	0.2724603258106564	-0.0726586151144245	0.0017750686561037	-0.1020017992777821	1.1159808440956548e-05	0.0087969800126488	0.7054905644175264	0.3506579312017626	1.344864417910929e-54	0.2677004713265219	1.0720464285246639e-31	-0.0023781093565042	0.9186940096084236	-0.023832625427803	0.305845687839915	-0.1454624781022645	3.3337343765133897e-10	-0.0234897056815188	0.3164255634428606	-0.1478826898462034	2.2800365674209183e-10	-0.1142629686414971	1.0153796760684693e-06	0.0145914050995513	0.5310788633093004	-0.0604582342231452	0.0093326873127767	-0.0729788169500512	0.0073072712917449	0.0227861193545174	0.3323422663167305	-0.0105453204359383	0.6537262789122571	-0.0673778899098947	0.0041125588746172	-0.0352717325955211	0.1333908243701756	0.000159626441837	0.9945822262827408	0.0102913252295615	0.6615412479247221	0.147324399784987	2.9510247183445477e-10	-0.0972087926608086	2.882790319041163e-05	Transport, extracellular	Transport reactions
PGF1ABCte	ABCC4	0.1407309047090183	1.2324830530707515e-09	-0.0255412842502672	0.2724603258106564	-0.0726586151144245	0.0017750686561037	-0.1020017992777821	1.1159808440956548e-05	0.0087969800126488	0.7054905644175264	0.3506579312017626	1.344864417910929e-54	0.2677004713265219	1.0720464285246639e-31	-0.0023781093565042	0.9186940096084236	-0.023832625427803	0.305845687839915	-0.1454624781022645	3.3337343765133897e-10	-0.0234897056815188	0.3164255634428606	-0.1478826898462034	2.2800365674209183e-10	-0.1142629686414971	1.0153796760684693e-06	0.0145914050995513	0.5310788633093004	-0.0604582342231452	0.0093326873127767	-0.0729788169500512	0.0073072712917449	0.0227861193545174	0.3323422663167305	-0.0105453204359383	0.6537262789122571	-0.0673778899098947	0.0041125588746172	-0.0352717325955211	0.1333908243701756	0.000159626441837	0.9945822262827408	0.0102913252295615	0.6615412479247221	0.147324399784987	2.9510247183445477e-10	-0.0972087926608086	2.882790319041163e-05	Transport, extracellular	Transport reactions
PGF2ABCte	ABCC4	0.1407309047090183	1.2324830530707515e-09	-0.0255412842502672	0.2724603258106564	-0.0726586151144245	0.0017750686561037	-0.1020017992777821	1.1159808440956548e-05	0.0087969800126488	0.7054905644175264	0.3506579312017626	1.344864417910929e-54	0.2677004713265219	1.0720464285246639e-31	-0.0023781093565042	0.9186940096084236	-0.023832625427803	0.305845687839915	-0.1454624781022645	3.3337343765133897e-10	-0.0234897056815188	0.3164255634428606	-0.1478826898462034	2.2800365674209183e-10	-0.1142629686414971	1.0153796760684693e-06	0.0145914050995513	0.5310788633093004	-0.0604582342231452	0.0093326873127767	-0.0729788169500512	0.0073072712917449	0.0227861193545174	0.3323422663167305	-0.0105453204359383	0.6537262789122571	-0.0673778899098947	0.0041125588746172	-0.0352717325955211	0.1333908243701756	0.000159626441837	0.9945822262827408	0.0102913252295615	0.6615412479247221	0.147324399784987	2.9510247183445477e-10	-0.0972087926608086	2.882790319041163e-05	Transport, extracellular	Transport reactions
PGF3ABCte	ABCC4	0.1407309047090183	1.2324830530707515e-09	-0.0255412842502672	0.2724603258106564	-0.0726586151144245	0.0017750686561037	-0.1020017992777821	1.1159808440956548e-05	0.0087969800126488	0.7054905644175264	0.3506579312017626	1.344864417910929e-54	0.2677004713265219	1.0720464285246639e-31	-0.0023781093565042	0.9186940096084236	-0.023832625427803	0.305845687839915	-0.1454624781022645	3.3337343765133897e-10	-0.0234897056815188	0.3164255634428606	-0.1478826898462034	2.2800365674209183e-10	-0.1142629686414971	1.0153796760684693e-06	0.0145914050995513	0.5310788633093004	-0.0604582342231452	0.0093326873127767	-0.0729788169500512	0.0073072712917449	0.0227861193545174	0.3323422663167305	-0.0105453204359383	0.6537262789122571	-0.0673778899098947	0.0041125588746172	-0.0352717325955211	0.1333908243701756	0.000159626441837	0.9945822262827408	0.0102913252295615	0.6615412479247221	0.147324399784987	2.9510247183445477e-10	-0.0972087926608086	2.882790319041163e-05	Transport, extracellular	Transport reactions
TCHOGTHABCte	ABCC4	0.1407309047090183	1.2324830530707515e-09	-0.0255412842502672	0.2724603258106564	-0.0726586151144245	0.0017750686561037	-0.1020017992777821	1.1159808440956548e-05	0.0087969800126488	0.7054905644175264	0.3506579312017626	1.344864417910929e-54	0.2677004713265219	1.0720464285246639e-31	-0.0023781093565042	0.9186940096084236	-0.023832625427803	0.305845687839915	-0.1454624781022645	3.3337343765133897e-10	-0.0234897056815188	0.3164255634428606	-0.1478826898462034	2.2800365674209183e-10	-0.1142629686414971	1.0153796760684693e-06	0.0145914050995513	0.5310788633093004	-0.0604582342231452	0.0093326873127767	-0.0729788169500512	0.0073072712917449	0.0227861193545174	0.3323422663167305	-0.0105453204359383	0.6537262789122571	-0.0673778899098947	0.0041125588746172	-0.0352717325955211	0.1333908243701756	0.000159626441837	0.9945822262827408	0.0102913252295615	0.6615412479247221	0.147324399784987	2.9510247183445477e-10	-0.0972087926608086	2.882790319041163e-05	Transport, extracellular	Transport reactions
