reactions	references
CRNAT_5_2M2E	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_5_3M3OH__S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_5_DC	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_6_2E	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_6_3OH_S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_6_DC	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_7_3OH_S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_7_DC	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_8_2E	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_8_3OH_S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_8_DC	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_9_2M6M_c	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_9_3OH_S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
FAWOXx_10_10OH	pubmed:16081420
FAWOXx_10_10OXO	pubmed:16081420
FAWOXx_12_12OH	pubmed:16081420
FAWOXx_12_12OXO	pubmed:16081420
FAWOXx_14_14OH	pubmed:16081420
FAWOXx_14_14OXO	pubmed:16081420
FAWOXx_16_016OH	pubmed:16081420
FAWOXx_16_016OXO	pubmed:16081420
FAWOXx_20_5Z8Z11Z14Z20OH	pubmed:16081420
FAWOXx_20_5Z8Z11Z14Z20OXO	pubmed:16081420
FAWOXx_22_22OH	pubmed:16081420
FAWOXx_22_22OXO	pubmed:16081420
DHFRy	pubmed:4394460
FTHFL	pubmed:4726849;pubmed:5954916
GHMT2	pubmed:24636780;pubmed:30587505
GHMT4	pubmed:30587505
MLTHFS	pubmed:30587505
MPMOBDT
MPTAT
MTHFC	pubmed:30587505;pubmed:4726849;pubmed:5954916
MTHFD	pubmed:30587505;pubmed:4726849;pubmed:5954916
3DGDH	pubmed:10491986;pubmed:17175089;pubmed:19296407;pubmed:7763257
3DGRy	pubmed:10231461;pubmed:10491986;pubmed:11975663;pubmed:8500767
ADPMNDP	pubmed:10722730;pubmed:27257257;pubmed:8216206;pubmed:9693963
F1PGT
F1PP	pubmed:32682077
F6PP	pubmed:32682077
FK
FRU3K	pubmed:11975663;pubmed:1599419;pubmed:16523184;pubmed:28833234;pubmed:29066600
GFUCSx	pubmed:72567;pubmed:7448421;pubmed:9525924
GFUCSy	pubmed:72567;pubmed:7448421;pubmed:9525924
GMAND	pubmed:72567;pubmed:7448421;pubmed:9525924
HEX4	pubmed:12432216;pubmed:4421639;pubmed:5773084;pubmed:9028305;pubmed:953036
HEX7	pubmed:12432216;pubmed:4421639;pubmed:5773084;pubmed:9028305;pubmed:953036
MAN1PT	pubmed:28833234
MAN6PI	pubmed:2085314;pubmed:2790058;pubmed:28833234;pubmed:5135316;pubmed:5773084
PMANM	pubmed:2533352;pubmed:28833234;pubmed:3157431;pubmed:5773084;pubmed:6240990
SBTD_D2	pubmed:10231461;pubmed:1736046;pubmed:3240839
SBTRa	pubmed:10231461;pubmed:3240839
TRIOK	pubmed:12125098;pubmed:4688871
GAL1PP	pubmed:9462881
GALK	doi:10.1016/B978-0-12-677201-2.X5001-6
GALM	pubmed:4963341;pubmed:5661008
GALOR	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:3922304
GALT	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:5427280;pubmed:5782905
GALU	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:5427280;pubmed:5782905
UDPG4E	doi:10.1016/0925-6164(93)90001-Y
UGLT	doi:10.1016/B978-0-12-677201-2.X5001-6
AMPTASECG	pubmed:20498365;pubmed:3593246
DGSHAMID	pubmed:28373563;pubmed:35209187
DOPHAMID	pubmed:28373563;pubmed:35209187
GGCLUT2	pubmed:20498365;pubmed:24636780;pubmed:3593246
GGLUCTC	pubmed:20498365;pubmed:24636780;pubmed:27646145;pubmed:29601;pubmed:3593246;pubmed:6106548;pubmed:6150932
GLUCYS	pubmed:10710494;pubmed:20498365;pubmed:24636780;pubmed:24639
GRDX2CGTHR	pubmed:36643550
GRDX2CGTHRDG	pubmed:36643550
GTHGLXTA	pubmed:27405778;pubmed:35834009;pubmed:6049869
GTHOXATA	pubmed:27405778;pubmed:35834009
GTHOx	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:14086726;pubmed:2141094;pubmed:24636780;pubmed:36643550;pubmed:7060551;pubmed:8143;pubmed:923580
GTHOy	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:14086726;pubmed:20498365;pubmed:2141094;pubmed:24636780;pubmed:36643550;pubmed:7060551;pubmed:8143;pubmed:923580
GTHP	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:20498365;pubmed:36643550;pubmed:901548
GTHS	pubmed:10710494;pubmed:20498365;pubmed:24636780
HMGTHDH	pubmed:2806555;pubmed:3583286
HMGTHS	pubmed:2806555;pubmed:3583286
SFGTH	pubmed:3456572;pubmed:3462728;pubmed:3770744
ALCD19y	pubmed:12125098;pubmed:3933003;pubmed:4825223
ALKP	pubmed:2846381;pubmed:8727676;pubmed:8968130
CDPCHOLPP	pubmed:27687724;pubmed:6574471
CDPETHACPP
DAGK	pubmed:13715208;pubmed:13961253;pubmed:6263251;pubmed:821476
DAGL1	pubmed:34619142
DAGL2	pubmed:34619142
DAGOACAH	pubmed:236766
DAGOACK	pubmed:13715208;pubmed:13961253;pubmed:6263251;pubmed:821476
DAGOK	pubmed:13715208;pubmed:13961253;pubmed:6263251;pubmed:821476
DGAT	pubmed:34619142
DHAK	pubmed:4688871;pubmed:9480905
G3PP	pubmed:31473074;pubmed:6258579
GAPP	pubmed:32682077
GLYALDD	pubmed:12125098;pubmed:30914451
GPAT
LPAAT	pubmed:18156367
LPALPLB	pubmed:17663017
MAGL1	pubmed:34619142;pubmed:7240371;pubmed:8526865
MAGL2	pubmed:34619142;pubmed:36372184;pubmed:7240371;pubmed:8526865
MAGOK	pubmed:13715208;pubmed:13961253;pubmed:6263251;pubmed:821476
PAPLA2	pubmed:17164127
PAPP	pubmed:13961252;pubmed:821476
PAPPO	pubmed:13961252;pubmed:821476
TAGL	pubmed:34619142
ACHEe	pubmed:2714437;pubmed:28885588
CDIPT	pubmed:10575355
CDS	pubmed:10575355;pubmed:25375833
CHLP
CHLPCTD	pubmed:6320931;pubmed:6574471;pubmed:9264395
CHLPe
ETHP
ETHPe
GPDDA1	pubmed:1318026;pubmed:8444178
GPDDA2
GPDDA3	pubmed:2839392;pubmed:6018757
GPDDA5	pubmed:2839392;pubmed:6018757
GPDDA6	pubmed:15630208
LNAPELPLD	pubmed:15630208
LPCAT	pubmed:14175619;pubmed:18156367;pubmed:5637422;pubmed:6327723
LPCLPLB	pubmed:17663017
LPCLPLD	pubmed:6327723
LPEAT	pubmed:6327723
LPELPLB	pubmed:18706436
LPELPLD
LPIAT	pubmed:33146433
LPILPLB	pubmed:33146433
LPSAT	pubmed:6327723
LPSLPLB	pubmed:18706436
PAFH	pubmed:21844189;pubmed:8440681
PAFS	pubmed:18156367;pubmed:18285344
PCETHTP	pubmed:12228763;pubmed:146389
PCPLA2	pubmed:17164127;pubmed:6327723
PCPLD	pubmed:1318026;pubmed:6327723;pubmed:8386626;pubmed:8444178
PENMT1	pubmed:156544;pubmed:24636780;pubmed:2722775;pubmed:276878;pubmed:3978172
PENMT2	pubmed:156544;pubmed:24636780;pubmed:2722775;pubmed:276878;pubmed:3978172
PENMT3	pubmed:156544;pubmed:24636780;pubmed:2722775;pubmed:276878;pubmed:3978172
PEPLA2	pubmed:17164127;pubmed:6327723
PETHCT	pubmed:6320931;pubmed:6574471
PIPLA2	pubmed:17164127;pubmed:6327723
PSDC	pubmed:2839392
PSPLA2	pubmed:17164127;pubmed:6327723
2ABUTENT	pubmed:24636780;pubmed:27646145
2AMACT	pubmed:27646145
2IMBUTDA	pubmed:24636780;pubmed:27646145
2IMPPADA	pubmed:27646145
BETALDDHx	pubmed:24636780;pubmed:25200932;pubmed:25556331;pubmed:30914451
BHMT	pubmed:24636780;pubmed:25200932;pubmed:25556331
CHOLD	pubmed:24636780;pubmed:25200932;pubmed:25556331
DMGDH2y	pubmed:24636780;pubmed:25200932;pubmed:25556331
HPYRRx_R	pubmed:16198644;pubmed:26546809
HPYRRx_S	pubmed:16198644;pubmed:26546809
HPYRRy_R	pubmed:16198644;pubmed:26546809
PGCD	pubmed:25556331;pubmed:27405778
PSERT	pubmed:25556331;pubmed:27405778;pubmed:35834009
PSP_L	pubmed:25556331;pubmed:27405778
SARCOX	pubmed:24636780;pubmed:25556331
SERPYRTA
THRA	pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:2630803
4PERK	pubmed:31473074
ACYP	pubmed:1645713;pubmed:3026468;pubmed:4311179
ADPGK	pubmed:31473074
ADPGKa	pubmed:31473074
DPG3P	pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:1677198;pubmed:18413611;pubmed:2630803
DPGM	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:2141093;pubmed:2630803;pubmed:2846554;pubmed:30914451
DPGase	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:2141093;pubmed:2630803
E14BPP	pubmed:1645713;pubmed:3026468
E4PD	pubmed:14202228;pubmed:31473074
ENO	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:2141093;pubmed:2630803;pubmed:6301709
FBA	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:2141093;pubmed:2630803;pubmed:889843
G1PPa	pubmed:17068342
G6PM	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:2141093;pubmed:2630803;pubmed:5135316
GAPD	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:14202228;pubmed:2141093;pubmed:2630803
GLCM	pubmed:4963341;pubmed:5073273;pubmed:5661008
HEX1	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:12432216;pubmed:2141093;pubmed:2141094;pubmed:2630803;pubmed:4421639;pubmed:9028305;pubmed:953036
HEX1a	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:12432216;pubmed:2141093;pubmed:2141094;pubmed:2630803;pubmed:4421639;pubmed:9028305;pubmed:953036
LDH_L	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:2141093;pubmed:2630803;pubmed:8906464
PFK	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:2141093;pubmed:2630803;pubmed:2970843;pubmed:6444721
PGI	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:2141093;pubmed:2630803;pubmed:5135316
PGK	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:2141093;pubmed:2630803
PGM	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:2141093;pubmed:2630803;pubmed:2846554;pubmed:30914451
PGMT
PGMTa	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:2533352;pubmed:2948936;pubmed:3157431;pubmed:5240360;pubmed:6240990
PYK	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:1201198;pubmed:20857498;pubmed:2141093;pubmed:2630803;pubmed:3687932
TPI	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:10477268;pubmed:10477269;pubmed:10477270;pubmed:2141093;pubmed:2630803
HEXGA2	pubmed:17321512;pubmed:31942;pubmed:8043935
HEXGM2	pubmed:17321512;pubmed:31942;pubmed:8043935
A4GALTc	pubmed:29662110;pubmed:590528;pubmed:668885;pubmed:6773534;pubmed:8043935
ABO4A	pubmed:12198488;pubmed:15987364;pubmed:17642512;pubmed:29662110;pubmed:5054461;pubmed:8043935
ABO4B	pubmed:12198488;pubmed:15987364;pubmed:17642512;pubmed:29662110;pubmed:5054461;pubmed:8043935
B3GALNT1c
FUTGLOBO1	pubmed:29662110
HEXGBSIDE	pubmed:17321512;pubmed:31942;pubmed:8043935
ABO1A	pubmed:12198488;pubmed:15987364;pubmed:17642512;pubmed:29662110;pubmed:5054461;pubmed:8043935
ABO1B	pubmed:12198488;pubmed:15987364;pubmed:17642512;pubmed:29662110;pubmed:5054461;pubmed:8043935
ABO2A	pubmed:12198488;pubmed:15987364;pubmed:17642512;pubmed:29662110;pubmed:5054461;pubmed:8043935
ABO2B	pubmed:12198488;pubmed:15987364;pubmed:17642512;pubmed:29662110;pubmed:5054461;pubmed:8043935
ABO3A	pubmed:12198488;pubmed:15987364;pubmed:17642512;pubmed:29662110;pubmed:5054461;pubmed:8043935
ABO3AB	pubmed:12198488;pubmed:15987364;pubmed:17642512;pubmed:29662110;pubmed:5054461;pubmed:8043935
ABO5A	pubmed:12198488;pubmed:15987364;pubmed:17642512;pubmed:29662110;pubmed:5054461;pubmed:8043935
ABO5B	pubmed:12198488;pubmed:15987364;pubmed:17642512;pubmed:29662110;pubmed:5054461;pubmed:8043935
ACGAMNT2	pubmed:29662110
FUTGAL2A	pubmed:29662110
FUTINLC8CER1	pubmed:29662110
FUTINLC8CER2	pubmed:29662110
FUTLC4CER	pubmed:29662110
FUTLC5CER	pubmed:29662110
FUTNLC5CER	pubmed:29662110
FUTNLC6CER	pubmed:29662110
FUTNLC7CER	pubmed:29662110
FUTPGBSIDE	pubmed:29662110
CCLMETHBH	doi:10.5772/intechopen.90288;pubmed:11294851;pubmed:20170402;pubmed:26285072;pubmed:26460266;pubmed:32075750;pubmed:9211878
GLOBINRCCL	pubmed:11294851;pubmed:20170402;pubmed:26285072;pubmed:32075750
HB23DPGB	pubmed:10477268;pubmed:20170402;pubmed:26285072
HBCOB	pubmed:20170402;pubmed:26285072
HBFE4OAR	pubmed:11294851;pubmed:15548894;pubmed:20170402;pubmed:26285072;pubmed:30878032
HBFE4OCPP	pubmed:15548894;pubmed:19968714;pubmed:20170402;pubmed:2174037;pubmed:26285072;pubmed:30878032
HBFE4OPX	pubmed:15548894;pubmed:19968714;pubmed:20170402;pubmed:2174037;pubmed:26285072;pubmed:36643550
HBFE4ORPX	pubmed:15548894;pubmed:19968714;pubmed:20170402;pubmed:2174037;pubmed:26285072;pubmed:30878032
HBGLYC	pubmed:27708063;pubmed:33441732;pubmed:934240
HBNO2R	pubmed:12920120;pubmed:18783254;pubmed:20170402;pubmed:2174037;pubmed:30878032
HBNONT	pubmed:12920120;pubmed:18783254;pubmed:20170402;pubmed:2174037;pubmed:30878032
HBNOOXDNT	pubmed:12920120;pubmed:18783254;pubmed:20170402;pubmed:2174037;pubmed:30878032
HBO2B1	pubmed:12920120;pubmed:18783254;pubmed:20170402;pubmed:2174037;pubmed:30878032
HBO2B2	pubmed:12920120;pubmed:18783254;pubmed:20170402;pubmed:2174037;pubmed:30878032
METHBCYTBR	pubmed:17489100;pubmed:20170402;pubmed:4324110;pubmed:7240153
METHBFMNR	pubmed:17489100;pubmed:20170402;pubmed:34598;pubmed:7400118;pubmed:7440566;pubmed:869945
METHBHEMED	doi:10.5772/intechopen.90288;pubmed:20170402;pubmed:26460266;pubmed:27642551;pubmed:32075750;pubmed:9211878
METHBNO2A	pubmed:12920120;pubmed:18783254;pubmed:20170402;pubmed:30878032
METHBONOOD1	pubmed:12920120;pubmed:18783254;pubmed:20170402;pubmed:30878032
METHBONOOD2	pubmed:12920120;pubmed:18783254;pubmed:20170402;pubmed:30878032
METHBONOOX	pubmed:12920120;pubmed:18783254;pubmed:20170402;pubmed:30878032
METHBPX	pubmed:15548894;pubmed:19968714;pubmed:20170402;pubmed:26285072;pubmed:36643550
METHBRCCL	pubmed:11294851;pubmed:12920120;pubmed:18783254;pubmed:20170402;pubmed:2174037;pubmed:26285072;pubmed:30878032
METHBRHEMED	doi:10.5772/intechopen.90288;pubmed:20170402;pubmed:26285072;pubmed:26460266;pubmed:27642551;pubmed:32075750;pubmed:9211878
OXYHBAOX	doi:10.1016/C2013-0-11564-4;pubmed:15548894;pubmed:19968714;pubmed:20170402;pubmed:26285072;pubmed:36643550
OXYHBNO2OX	pubmed:20170402;pubmed:30878032
OXYHBNOD	pubmed:20170402;pubmed:30878032
OXYHBONOOX	pubmed:12920120;pubmed:20170402;pubmed:30878032
OXYHBPX	pubmed:11294851;pubmed:15548894;pubmed:19968714;pubmed:20170402;pubmed:2174037;pubmed:26285072;pubmed:36643550
HISD
HISTANMT	pubmed:3345617;pubmed:4028443;pubmed:5111454
IM4ACte
IMACTD
MACOXO
MHISOR
5INS7P5PP
5PPINSP5P1K
INS6P1K
MI13456P3PP	pubmed:36589890
MI1345P3PP	pubmed:1677198;pubmed:18413611;pubmed:36589890
MI1345P5PP	pubmed:1677198
MI1456P6PP	pubmed:1677198;pubmed:18413611;pubmed:36589890
MI145P3K
MI145P5PP	pubmed:27435091;pubmed:3036088;pubmed:36589890;pubmed:6275838;pubmed:6285891
MI14P1PP	pubmed:10224133;pubmed:10675562;pubmed:17068342;pubmed:36589890
MI14P4PP	pubmed:17068342;pubmed:36589890
MI1PP	pubmed:17068342;pubmed:2540502
MI3PP	pubmed:17068342;pubmed:2540502
MI3PS
MI4PP	pubmed:17068342;pubmed:2540502
PI345P5P
PI34P5K	pubmed:1318025;pubmed:2170402;pubmed:9367159
PI35P3P
PI35P4K
PI3K	pubmed:20404042;pubmed:22227296;pubmed:8384492
PI3P4K	pubmed:1318025;pubmed:2170402;pubmed:9367159
PI3P5K	pubmed:2170402;pubmed:8384492;pubmed:8869744
PI3PP
PI45P4P
PI45P5P	pubmed:27435091;pubmed:6285891;pubmed:6327723
PI45PLC	pubmed:6275838;pubmed:826280;pubmed:8386626
PI4K	pubmed:1318025;pubmed:1652438;pubmed:2170402;pubmed:2821996;pubmed:6327723;pubmed:8384492
PI4P5K	pubmed:2170402;pubmed:6327723;pubmed:8384492;pubmed:8869744
PI4PLC	pubmed:6275838;pubmed:826280;pubmed:8386626
PI4PP	pubmed:27435091;pubmed:2821996;pubmed:6323606;pubmed:6327723
PI5K	pubmed:2170402;pubmed:8384492
PI5P4KA	pubmed:2170402;pubmed:2538472;pubmed:8384492;pubmed:9367159
PI5P4KG	pubmed:2170402;pubmed:2538472;pubmed:8384492;pubmed:9367159
PIPLC	pubmed:6275838;pubmed:826280;pubmed:8386626
GTHLEUKTRA4	pubmed:19826192;pubmed:6088544
GTHLEUKTRA5	pubmed:19826192;pubmed:6088544
LTA4H	pubmed:2168394;pubmed:2995393;pubmed:3006048;pubmed:6088544
LTA5H	pubmed:2168394;pubmed:2995393;pubmed:3006048;pubmed:6088544
EPOME1213EPHX	pubmed:17164127
EPOME910EPHX	pubmed:17164127
HPODE13GTHR	pubmed:15294349;pubmed:17651993;pubmed:36643550
HPODE9GTHR	pubmed:15294349;pubmed:17651993;pubmed:36643550
LNLC1213MOXy	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:6727868;pubmed:7132951
LNLC910MOXy	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:6727868;pubmed:7132951
LNLCOHRI	pubmed:18243141;pubmed:9164668
LNLCRO2P	pubmed:18243141;pubmed:9164668
LNLCROO13AVITE1RT	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
LNLCROO13AVITE1T	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
LNLCROO9AVITE1RT	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
LNLCROO9AVITE1T	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
GHMT3
TMABADH	pubmed:30914451
4H2HXEAL2EDHx	pubmed:19296407;pubmed:2372192;pubmed:23721920;pubmed:28783931
4H2NNEAL2EDHx	pubmed:19296407;pubmed:2372192;pubmed:23721920;pubmed:28783931
BZALDHx	pubmed:19296407;pubmed:2372192;pubmed:23721920
HCO3E	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:20962000;pubmed:4958988
HCO3Ee	doi:10.1016/B978-0-12-677201-2.X5001-6;pubmed:20962000
HPTALDHx	pubmed:19296407;pubmed:2372192;pubmed:23721920;pubmed:28783931
HPTEAL2EDHx	pubmed:19296407;pubmed:2372192;pubmed:23721920;pubmed:28783931
HXALDHx	pubmed:19296407;pubmed:2372192;pubmed:23721920;pubmed:28783931
HXEAL2EDHx	pubmed:19296407;pubmed:2372192;pubmed:23721920;pubmed:28783931;pubmed:30914451
INSULINGTHOR	pubmed:7030366
MALDHx	pubmed:19296407
MNDN2ERy	pubmed:30222979;pubmed:8070312
NH4c	doi:10.1134/S1990747816040097;pubmed:11861637;pubmed:15572441;pubmed:19273840;pubmed:20457942;pubmed:23417980;pubmed:26354748;pubmed:33633837;pubmed:35835865
NH4e	doi:10.1134/S1990747816040097;pubmed:11861637;pubmed:15572441;pubmed:19273840;pubmed:20457942;pubmed:23417980;pubmed:26354748;pubmed:33633837;pubmed:35835865
NONALDHx	pubmed:19296407;pubmed:2372192;pubmed:23721920;pubmed:28783931
NONEAL2EDHx	pubmed:19296407;pubmed:2372192;pubmed:23721920;pubmed:28783931
NTD15	pubmed:20722631
OCTALDHx	pubmed:19296407;pubmed:2372192;pubmed:23721920;pubmed:28783931
OCTEAL2EDHx	pubmed:19296407;pubmed:2372192;pubmed:23721920;pubmed:28783931
PEPTDPROI	pubmed:33806028
PPALDHx	pubmed:19296407;pubmed:2372192;pubmed:23721920;pubmed:28783931
Q102ERx	pubmed:12435734
Q102ERy	pubmed:12435734
Q102ERz	pubmed:18579530;pubmed:32913139
QMPNH
A_MANASE	pubmed:31942;pubmed:34360826
4PYRNDK	pubmed:18188525;pubmed:18600548;pubmed:26321286;pubmed:28323211
4PYRNK	pubmed:18188525;pubmed:18600548;pubmed:26321286;pubmed:28323211
4PYRNMAT	pubmed:18188525;pubmed:18600548;pubmed:20457531;pubmed:26321286;pubmed:28323211
4PYRNMK	pubmed:18188525;pubmed:18600548;pubmed:26321286;pubmed:28323211
4PYRNN	pubmed:18188525;pubmed:18600548;pubmed:26321286;pubmed:28323211;pubmed:2839144
ADPRDACAC1	pubmed:2379504;pubmed:31654099;pubmed:3718498
ADPRDACAC2	pubmed:31654099
CADPRBPH	pubmed:15499831;pubmed:2202021;pubmed:25534250;pubmed:4365376;pubmed:8250903;pubmed:8394137;pubmed:8461019;pubmed:9806760
CADPRBPHe	pubmed:15499831;pubmed:2202021;pubmed:25534250;pubmed:4365376;pubmed:8250903;pubmed:8394137;pubmed:8461019;pubmed:9806760
CADPRIBH	pubmed:15499831;pubmed:2202021;pubmed:25534250;pubmed:4365376;pubmed:8250903;pubmed:8394137;pubmed:8461019;pubmed:9806760
CADPRIBHe	pubmed:15499831;pubmed:2202021;pubmed:25534250;pubmed:4365376;pubmed:8250903;pubmed:8394137;pubmed:8461019;pubmed:9806760
CADPRIBtec	pubmed:8394137;pubmed:9806760
DNADPL	pubmed:15499831;pubmed:2202021;pubmed:25534250;pubmed:4365376;pubmed:8250903;pubmed:8394137;pubmed:8461019;pubmed:9806760
DNADPLe	pubmed:15499831;pubmed:2202021;pubmed:25534250;pubmed:4365376;pubmed:8250903;pubmed:8394137;pubmed:8461019;pubmed:9806760
FCYTOB5OXR	pubmed:17489100;pubmed:4324110;pubmed:7240153
NADHHR	pubmed:31473074
NADHHS	pubmed:31473074
NADHXD	pubmed:31473074
NADHXE	pubmed:31473074
NADK	pubmed:2146924;pubmed:23635
NADL	pubmed:15499831;pubmed:2202021;pubmed:25534250;pubmed:4365376;pubmed:8250903;pubmed:8394137;pubmed:8461019;pubmed:9806760
NADLe	pubmed:15499831;pubmed:2202021;pubmed:25534250;pubmed:4365376;pubmed:8250903;pubmed:8394137;pubmed:8461019;pubmed:9806760
NADN	pubmed:15499831;pubmed:2202021;pubmed:25534250;pubmed:4365376;pubmed:8250903;pubmed:8394137;pubmed:8461019;pubmed:9806760
NADN2	pubmed:14317392;pubmed:2379504;pubmed:31599159;pubmed:3718498
NADNe	pubmed:15499831;pubmed:2202021;pubmed:25534250;pubmed:4365376;pubmed:8250903;pubmed:8394137;pubmed:8461019;pubmed:9806760
NADPHHR	pubmed:31473074
NADPHHS	pubmed:31473074
NADPHPPS	pubmed:32462112
NADPHXD	pubmed:31473074
NADPHXE	pubmed:31473074
NADPL	pubmed:15499831;pubmed:2202021;pubmed:25534250;pubmed:4365376;pubmed:8250903;pubmed:8394137;pubmed:8461019;pubmed:9806760
NADPLe	pubmed:15499831;pubmed:2202021;pubmed:25534250;pubmed:4365376;pubmed:8250903;pubmed:8394137;pubmed:8461019;pubmed:9806760
NADPN	pubmed:15499831;pubmed:2202021;pubmed:25534250;pubmed:4285896;pubmed:4365376;pubmed:8250903;pubmed:8394137;pubmed:8461019;pubmed:9806760
NADPNe	pubmed:15499831;pubmed:2202021;pubmed:25534250;pubmed:4285896;pubmed:4365376;pubmed:8250903;pubmed:8394137;pubmed:8461019;pubmed:9806760
NADS2	pubmed:12547821;pubmed:12777395;pubmed:13563526;pubmed:13563527;pubmed:14704851;pubmed:2107886;pubmed:2146924;pubmed:4285896
NAMNPP	pubmed:13563526;pubmed:13563527;pubmed:14704851;pubmed:2146924;pubmed:4349867;pubmed:7988045
NAPRT	pubmed:13563526;pubmed:13563527;pubmed:14704851;pubmed:2146924;pubmed:4349867;pubmed:7988045
NICHYD	pubmed:13563526;pubmed:13563527;pubmed:2157703;pubmed:2839144;pubmed:4285896;pubmed:8031149
NMNAT	pubmed:13563526;pubmed:13563527;pubmed:17402747;pubmed:20457531;pubmed:2146924;pubmed:31511627;pubmed:4285896
NMNHAT	pubmed:13563526;pubmed:13563527;pubmed:17402747;pubmed:20457531;pubmed:2146924;pubmed:31511627;pubmed:4285896
NMNHYD	pubmed:2157703;pubmed:2839144;pubmed:4285896;pubmed:8031149
NMNN	pubmed:15499831;pubmed:2202021;pubmed:25534250;pubmed:4365376;pubmed:8250903;pubmed:8394137;pubmed:8461019;pubmed:9806760
NMNNe	pubmed:15499831;pubmed:2202021;pubmed:25534250;pubmed:4365376;pubmed:8250903;pubmed:8394137;pubmed:8461019;pubmed:9806760
NMNS	pubmed:1443581;pubmed:14704851;pubmed:2146924
NNAT	pubmed:13563526;pubmed:13563527;pubmed:20457531;pubmed:2146924
NRHK	pubmed:13563526;pubmed:13563527;pubmed:2146924;pubmed:32694608
PNP	pubmed:12180982;pubmed:13563526;pubmed:13563527;pubmed:19001417;pubmed:2146924;pubmed:4285896
PNP2	pubmed:12180982;pubmed:13563526;pubmed:13563527;pubmed:19001417;pubmed:2146924;pubmed:4285896
