genes	mim	ncbigene	hgnc.symbol	ensembl	mgi
AKR1B1	103880	231	AKR1B1	ENSG00000085662	MGI:1353494
AKR1C3	603966	8644	AKR1C3	ENSG00000196139	MGI:1918111;MGI:1933427;MGI:2145420;MGI:2145458;MGI:2151104
AKR7A2	603418	8574	AKR7A2	ENSG00000053371	MGI:107796
ALAD	125270;612740	210	ALAD	ENSG00000148218	MGI:96853
ALDH1A1	100640	216	ALDH1A1	ENSG00000165092	MGI:1347050;MGI:1353450
ALDH3A1	100660	218	ALDH3A1	ENSG00000108602	MGI:1353451
ALDH3A2	270200;609523	224	ALDH3A2	ENSG00000072210	MGI:1353452
ALDH3B1	600466	221	ALDH3B1	ENSG00000006534	MGI:1914939
ALDH9A1	602733	223	ALDH9A1	ENSG00000143149	MGI:1861622
ALDOA	103850;611881	226	ALDOA	ENSG00000149925	MGI:87994
ALDOB	229600;612724	229	ALDOB	ENSG00000136872	MGI:87995
ALDOC	103870	230	ALDOC	ENSG00000109107	MGI:101863
ALPL	146300;171760;171760;241500;171760;241510	249	ALPL	ENSG00000162551	MGI:87983
AMDHD2	620864	51005	AMDHD2	ENSG00000162066	MGI:2443978
AMPD3	102772;612874	272	AMPD3	ENSG00000133805	MGI:1096344
ANKH	118600;605145;123000;605145	56172	ANKH	ENSG00000154122	MGI:3045421
ANO6	262890;608663	196527	ANO6	ENSG00000177119	MGI:2145890
ANPEP	151530	290	ANPEP	ENSG00000166825	MGI:5000466
APEH	102645	327	APEH	ENSG00000164062	MGI:88041
APIP	612491	51074	APIP	ENSG00000149089	MGI:1926788
APRT	102600;614723	353	APRT	ENSG00000198931	MGI:88061
AQP1	107776;110450	358	AQP1	ENSG00000240583	MGI:103201
AQP3	600170;607457	360	AQP3	ENSG00000165272	MGI:1333777
ARF1	103180;618185	375	ARF1	ENSG00000143761	MGI:99431
ARF6	600464	382	ARF6	ENSG00000165527	MGI:99435
ARG1	207800;608313	383	ARG1	ENSG00000118520	MGI:88070
ARMT1	616332	79624	ARMT1	ENSG00000146476	MGI:1920669
ART4	110600;616060	420	ART4	ENSG00000111339	MGI:1202710
ASL	207900;608310	435	ASL	ENSG00000126522	MGI:88084
ATG14	613515	22863	ATG14	ENSG00000126775	MGI:1261775
ATIC	601731;608688	471	ATIC	ENSG00000138363	MGI:1351352
ATP11A	605868;619810;605868;619851;605868;620384	23250	ATP11A	ENSG00000068650	MGI:1354735
ATP11B	605869	23200	ATP11B	ENSG00000058063	MGI:1923545
ATP11C	300516;301015	286410	ATP11C	ENSG00000101974	MGI:1859661
ATP1A1	182310;618036;182310;618314	476	ATP1A1	ENSG00000163399	MGI:88105
ATP1A3	128235;182350;182350;601338;182350;614820;182350;619606	478	ATP1A3	ENSG00000105409	MGI:88107
ATP1A4	607321	480	ATP1A4	ENSG00000132681	MGI:1351335
ATP1B1	145500;182330	481	ATP1B1	ENSG00000143153	MGI:88108
ATP1B2	182331	482	ATP1B2	ENSG00000129244	MGI:88109
ATP1B3	601867	483	ATP1B3	ENSG00000069849	MGI:107788
ATP2B1	108731;619910	490	ATP2B1	ENSG00000070961	MGI:104653
ATP2B4	108732	493	ATP2B4	ENSG00000058668	MGI:88111
ATP6AP1	300197;300972	537	ATP6AP1	ENSG00000071553	MGI:109629
ATP6AP2	300423;300556;300556;300911;300556;301045	10159	ATP6AP2	ENSG00000182220	MGI:1917745
ATP6V0A1	192130;619970;192130;619971	535	ATP6V0A1	ENSG00000033627	MGI:103286
ATP6V0B	603717	533	ATP6V0B	ENSG00000117410	MGI:1890510
ATP6V0C	108745;620465	527	ATP6V0C	ENSG00000185883	MGI:88116
ATP6V0D1	607028	9114	ATP6V0D1	ENSG00000159720	MGI:1201778
ATP6V0E1	603931	8992	ATP6V0E1	ENSG00000113732	MGI:1328318
ATP6V1A	607027;617403;607027;618012	523	ATP6V1A	ENSG00000114573	MGI:1201780
ATP6V1B2	124480;606939;606939;616455	526	ATP6V1B2	ENSG00000147416	MGI:109618
ATP6V1C1	603097	528	ATP6V1C1	ENSG00000155097	MGI:1913585
ATP6V1D	609398	51382	ATP6V1D	ENSG00000100554	MGI:1921084
ATP6V1E1	108746;617402	529	ATP6V1E1	ENSG00000131100	MGI:894326
ATP6V1F	607160	9296	ATP6V1F	ENSG00000128524	MGI:1913394
ATP6V1G1	607296	9550	ATP6V1G1	ENSG00000136888	MGI:1913540
ATP6V1H	608861	51606	ATP6V1H	ENSG00000047249	MGI:1914864
ATP7A	300011;300489;300011;304150;300011;309400	538	ATP7A	ENSG00000165240	MGI:99400
ATP7B	277900;606882	540	ATP7B	ENSG00000123191	MGI:103297
B3GALNT1	111400;603094;603094;615021	8706	B3GALNT1	ENSG00000169255	MGI:1349405
BECN1	604378	8678	BECN1	ENSG00000126581	MGI:1891828
BHMT	602888	635	BHMT	ENSG00000145692	MGI:1339972;MGI:3643681
BLVRA	109750;614156	644	BLVRA	ENSG00000106605	MGI:88170
BLVRB	600941	645	BLVRB	ENSG00000090013	MGI:2385271
BMP2K	617648	55589	BMP2K	ENSG00000138756	MGI:2155456
BPGM	222800;613896	669	BPGM	ENSG00000172331	MGI:1098242
BPNT1	604053	10380	BPNT1	ENSG00000162813	MGI:1338800
BSG	109480;111380	682	BSG	ENSG00000172270	MGI:88208
C1GALT1	610555	56913	C1GALT1	ENSG00000106392	MGI:2151071
C1GALT1C1	300611;300622;300611;301110	29071	C1GALT1C1	ENSG00000171155	MGI:1913493
CA1	114800	759	CA1	ENSG00000133742	MGI:88268
CA2	259730;611492	760	CA2	ENSG00000104267	MGI:88269
CA3	114750	761	CA3	ENSG00000164879	MGI:88270
CA4	114760	762	CA4	ENSG00000167434	MGI:1096574
CAB39	612174	51719	CAB39	ENSG00000135932	MGI:107438
CAB39L	612175	81617	CAB39L	ENSG00000102547	MGI:1914081
CACNA1A	108500;601011;141500;601011;183086;601011;601011;617106	773	CACNA1A	ENSG00000141837	MGI:109482
CAD	114010;616457	790	CAD	ENSG00000084774	MGI:1916969
CAND1	607727	55832	CAND1	ENSG00000111530	MGI:1261820
CARM1	603934	10498	CARM1	ENSG00000142453	MGI:1913208
CARS1	123859;618891	833	CARS1	ENSG00000110619	MGI:1351477
CAT	115500;614097	847	CAT	ENSG00000121691	MGI:88271
CBR1	114830	873	CBR1	ENSG00000159228	MGI:3646098;MGI:88284
CBR3	603608	874	CBR3	ENSG00000159231	MGI:1309992
CD36	173510;608404;173510;610938;173510;611162	948	CD36	ENSG00000135218	MGI:107899
CD38	107270	952	CD38	ENSG00000004468	MGI:107474
CDC34	116948	997	CDC34	ENSG00000099804	MGI:102657;MGI:1858429
CDC37	605065	11140	CDC37	ENSG00000105401	MGI:109531
CDC42	116952;616737	998	CDC42	ENSG00000070831	MGI:106211
CDIPT	605893	10423	CDIPT	ENSG00000103502	MGI:105491
CDK2	116953	1017	CDK2	ENSG00000123374	MGI:104772
CDK4	123829;609048	1019	CDK4	ENSG00000135446	MGI:88357
CDK5	123831;616342	1020	CDK5	ENSG00000164885	MGI:101765
CDK6	603368;616080	1021	CDK6	ENSG00000105810	MGI:1277162
CDS2	603549	8760	CDS2	ENSG00000101290	MGI:1332236
CFTR	167800;602421;211400;602421;219700;602421;277180;602421;602421	1080	CFTR	ENSG00000001626	MGI:88388
CHAC2	617446	494143	CHAC2	ENSG00000143942	MGI:1915294
CKB	123280	1152	CKB	ENSG00000166165	MGI:88407
CKM	123310	1158	CKM	ENSG00000104879	MGI:88413
CLCN2	600570;605635;600570;607628;600570;615651	1181	CLCN2	ENSG00000114859	MGI:105061
CLCN3	600580;619512;600580;619517	1182	CLCN3	ENSG00000109572	MGI:103555
CLCN4	300114;302910	1183	CLCN4	ENSG00000073464	MGI:104571
CLCN5	300008;300009;300008;300554;300008;308990;300008;310468	1184	CLCN5	ENSG00000171365	MGI:99486
CLIC1	602872	1192	CLIC1	ENSG00000213719	MGI:2148924
CLIC2	300138	1193	CLIC2	ENSG00000155962
CLIC3	606533	9022	CLIC3	ENSG00000169583	MGI:1916704
CLIC4	606536	25932	CLIC4	ENSG00000169504	MGI:1352754
CLNS1A	602158	1207	CLNS1A	ENSG00000074201	MGI:109638
CMPK1	191710	51727	CMPK1	ENSG00000162368	MGI:1913838
CMPK2	611787;621018	129607	CMPK2	ENSG00000134326	MGI:99830
CNDP2	169800	55748	CNDP2	ENSG00000133313	MGI:1913304
CNP	123830;619071	1267	CNP	ENSG00000173786	MGI:88437
COASY	609855;615643;609855;618266	80347	COASY	ENSG00000068120	MGI:1918993
COMT	116790;167870;116790;181500	1312	COMT	ENSG00000093010	MGI:88470
CP	117700;604290	1356	CP	ENSG00000047457	MGI:88476
CPPED1	615603	55313	CPPED1	ENSG00000103381	MGI:2443300
CPT1A	255120;600528	1374	CPT1A	ENSG00000110090	MGI:1098296
CRPPA	614631;614643;614631;616052	729920	CRPPA	ENSG00000214960	MGI:1923097
CRYL1	609877	51084	CRYL1	ENSG00000165475	MGI:1915881
CSNK1A1	600505	1452	CSNK1A1	ENSG00000113712	MGI:1934950
CSNK1G1	606274	53944	CSNK1G1	ENSG00000169118	MGI:2660884
CSNK1G2	602214	1455	CSNK1G2	ENSG00000133275	MGI:1920014
CSNK1G3	604253	1456	CSNK1G3	ENSG00000151292	MGI:1917675
CSNK2A1	115440;617062	1457	CSNK2A1	ENSG00000101266	MGI:88543
CSNK2A2	115442	1459	CSNK2A2	ENSG00000070770	MGI:88547
CSNK2B	115441;618732	1460	CSNK2B	ENSG00000204435	MGI:88548
CTH	219500;607657	1491	CTH	ENSG00000116761	MGI:1339968
CTPS1	123860;615897	1503	CTPS1	ENSG00000171793	MGI:1858304
CTPS2	300380	56474	CTPS2	ENSG00000047230	MGI:1933185
CUL1	603134	8454	CUL1	ENSG00000055130	MGI:1349658
CUL2	603135	8453	CUL2	ENSG00000108094	MGI:1918995
CUL3	603136;614496;603136;619239	8452	CUL3	ENSG00000036257	MGI:1347360
CUL4A	603137	8451	CUL4A	ENSG00000139842	MGI:1914487
CUL4B	300304;300354	8450	CUL4B	ENSG00000158290	MGI:1919834
CUL5	601741	8065	CUL5	ENSG00000166266	MGI:1922967
CYB561D2	607068	11068	CYB561D2	ENSG00000114395	MGI:1929280
CYB5A	250790;613218	1528	CYB5A	ENSG00000166347	MGI:1926952
CYB5B	611964	80777	CYB5B	ENSG00000103018	MGI:1913677
CYB5R3	250800;613213	1727	CYB5R3	ENSG00000100243	MGI:94893
CYBRD1	605745	79901	CYBRD1	ENSG00000071967	MGI:2654575
DAGLA	168885;614015	747	DAGLA	ENSG00000134780	MGI:2677061
DAGLB	614016	221955	DAGLB	ENSG00000164535	MGI:2442032
DARS1	603084;615281	1615	DARS1	ENSG00000115866	MGI:2442544
DCAF11	613317	80344	DCAF11	ENSG00000100897	MGI:90168
DCAF6	610494	55827	DCAF6	ENSG00000143164	MGI:1921356
DCAF7	605973	10238	DCAF7	ENSG00000136485	MGI:1919083
DCTPP1	615840	79077	DCTPP1	ENSG00000179958	MGI:1913672
DCXR	260800;608347	51181	DCXR	ENSG00000169738	MGI:1915130
DDB1	600045;619426	1642	DDB1	ENSG00000167986	MGI:1202384
DDT	602750	1652	DDT	ENSG00000099977	MGI:1298381
DERA	619668	51071	DERA	ENSG00000023697	MGI:1913762
DERL1	608813	79139	DERL1	ENSG00000136986	MGI:1915069
DGKA	125855	1606	DGKA	ENSG00000065357	MGI:102952
DHFR	126060;613839	1719	DHFR	ENSG00000228716	MGI:94890
DHRS11	616159	79154	DHRS11	ENSG00000278535	MGI:2652816
DNM2	160150;602378;602378;606482;602378;615368	1785	DNM2	ENSG00000079805	MGI:109547
DNM3	611445	26052	DNM3	ENSG00000197959	MGI:1341299
DNPEP	611367	23549	DNPEP	ENSG00000123992	MGI:1278328
DNPH1	618762	10591	DNPH1	ENSG00000112667	MGI:3039376
DPP3	606818	10072	DPP3	ENSG00000254986	MGI:1922471
DPYD	274270;612779	1806	DPYD	ENSG00000188641	MGI:2139667
DTYMK	188345;619847	1841	DTYMK	ENSG00000168393	MGI:108396
DUSP23	618361	54935	DUSP23	ENSG00000158716	MGI:1915690
EBP	300205;300960;300205;302960	10682	EBP	ENSG00000147155	MGI:107822
ECHDC1	612136	55862	ECHDC1	ENSG00000093144	MGI:1277169
EEF2	130610;609306	1938	EEF2	ENSG00000167658	MGI:95288
ELOB	600787	6923	ELOB	ENSG00000103363	MGI:1914923
ELOC	600788	6921	ELOC	ENSG00000154582	MGI:1915173
EMB	615669	133418	EMB	ENSG00000170571	MGI:95321
ENO1	172430	2023	ENO1	ENSG00000074800	MGI:3648653;MGI:95393
ENO2	131360	2026	ENO2	ENSG00000111674	MGI:95394
ENO3	131370;612932	2027	ENO3	ENSG00000108515	MGI:95395
ENTPD1	601752;615683	953	ENTPD1	ENSG00000138185	MGI:102805
EPHX1	132810	2052	EPHX1	ENSG00000143819	MGI:95405
EPHX2	132811;143890	2053	EPHX2	ENSG00000120915	MGI:99500
EPRS1	138295;617951	2058	EPRS1	ENSG00000136628	MGI:97838
ESD	133280	2098	ESD	ENSG00000139684	MGI:3781082;MGI:95421
FABP1	134650	2168	FABP1	ENSG00000163586	MGI:95479
FABP5	605168	2171	FABP5	ENSG00000164687	MGI:101790
FADS1	606148	3992	FADS1	ENSG00000149485	MGI:1923517
FADS2	606149	9415	FADS2	ENSG00000134824	MGI:1930079
FAF1	604460	11124	FAF1	ENSG00000185104	MGI:109419
FAF2	616935	23197	FAF2	ENSG00000113194	MGI:1923827
FAH	276700;613871	2184	FAH	ENSG00000103876	MGI:95482
FAHD1	616320	81889	FAHD1	ENSG00000180185	MGI:1915886
FARSA	602918;619013	2193	FARSA	ENSG00000179115	MGI:1913840
FARSB	609690;613658	10056	FARSB	ENSG00000116120	MGI:1346035
FASN	600212	2194	FASN	ENSG00000169710	MGI:95485
FBXL20	609086	84961	FBXL20	ENSG00000108306	MGI:1919444
FBXO4	609090	26272	FBXO4	ENSG00000151876	MGI:2146220
FBXO7	260300;605648	25793	FBXO7	ENSG00000100225	MGI:1917004
FCSK	608675;618324	197258	FCSK	ENSG00000157353	MGI:1916071
FDPS	134629;616631	2224	FDPS	ENSG00000160752	MGI:104888
FH	136850;150800;136850;606812	2271	FH	ENSG00000091483	MGI:95530
FIG4	216340;609390;609390;611228;609390;612577;609390;612691	9896	FIG4	ENSG00000112367	MGI:2143585
FKBP1A	186945	2280	FKBP1A	ENSG00000088832	MGI:95541
FKBP2	186946	2286	FKBP2	ENSG00000173486	MGI:95542
FKBP3	186947	2287	FKBP3	ENSG00000100442	MGI:1353460
FKBP4	600611	2288	FKBP4	ENSG00000004478	MGI:95543
FKBP5	602623;608516	2289	FKBP5	ENSG00000096060	MGI:104670
FLAD1	255100;610595	80308	FLAD1	ENSG00000160688	MGI:2443030
FLVCR1	609033;609144;609144;621060	28982	FLVCR1	ENSG00000162769	MGI:2444881
FN3K	608425	64122	FN3K	ENSG00000167363	MGI:1926834
FN3KRP	611683	79672	FN3KRP	ENSG00000141560	MGI:2679256
FTH1	134770;615517;134770;620669	2495	FTH1	ENSG00000167996	MGI:95588
FTL	134790;600886;134790;606159;134790;615604	2512	FTL	ENSG00000087086	MGI:5434102;MGI:95589;MGI:95590
FUT1	211100;616754	2523	FUT1	ENSG00000174951	MGI:109375
FXN	229300;606829	2395	FXN	ENSG00000165060	MGI:1096879
FYN	137025	2534	FYN	ENSG00000010810	MGI:95602
G6PD	300908;305900;305900;611162	2539	G6PD	ENSG00000160211	MGI:105977;MGI:105979
GALE	230350;606953;606953;620776	2582	GALE	ENSG00000117308	MGI:1921496
GALK1	230200;604313	2584	GALK1	ENSG00000108479	MGI:95730
GALK2	137028	2585	GALK2	ENSG00000156958	MGI:1917226
GALM	137030;618881	130589	GALM	ENSG00000143891	MGI:2442420
GALNT10	608043	55568	GALNT10	ENSG00000164574	MGI:1890480
GALNT2	602274;618885	2590	GALNT2	ENSG00000143641	MGI:894694
GALNT4	603565	8693	GALNT4	ENSG00000257594	MGI:894692
GALNT5	615129	11227	GALNT5	ENSG00000136542	MGI:2179403
GALNT6	605148	11226	GALNT6	ENSG00000139629	MGI:1891640
GALNT7	605005	51809	GALNT7	ENSG00000109586	MGI:1349449
GALT	230400;606999	2592	GALT	ENSG00000213930	MGI:95638
GAPDH	138400	2597	GAPDH	ENSG00000111640	MGI:3708786;MGI:3782011;MGI:5434255;MGI:95640
GAPDHS	609169	26330	GAPDHS	ENSG00000105679	MGI:95653
GARS1	600287;600794;600287;601472;600287;619042	2617	GARS1	ENSG00000106105	MGI:2449057
GART	138440	2618	GART	ENSG00000159131	MGI:95654
GBE1	232500;607839;263570;607839	2632	GBE1	ENSG00000114480	MGI:1921435
GCH1	128230;600225;233910;600225	2643	GCH1	ENSG00000131979	MGI:95675
GCLC	230450;606857;606857;608446	2729	GCLC	ENSG00000001084	MGI:104990
GCLM	601176;608446	2730	GCLM	ENSG00000023909	MGI:104995
GCNT2	110800;600429;116700;600429	2651	GCNT2	ENSG00000111846	MGI:1100870
GDE1	605943	51573	GDE1	ENSG00000006007	MGI:1891827
GDPD1	616317	284161	GDPD1	ENSG00000153982	MGI:1913819
GFUS	137020	7264	GFUS	ENSG00000104522	MGI:98857
GGCT	137170	79017	GGCT	ENSG00000006625	MGI:95700
GLO1	138750	2739	GLO1	ENSG00000124767	MGI:95742
GLRX	600443	2745	GLRX	ENSG00000173221	MGI:2135625
GLUL	138290;610015;138290;620806	2752	GLUL	ENSG00000135821	MGI:95739
GMDS	602884	2762	GMDS	ENSG00000112699	MGI:1891112
GMPPA	615495;615510	29926	GMPPA	ENSG00000144591	MGI:1916330
GMPPB	615320;615350;615320;615351;615320;615352	29925	GMPPB	ENSG00000173540	MGI:2660880
GMPR	139265	2766	GMPR	ENSG00000137198	MGI:1913605
GMPR2	610781	51292	GMPR2	ENSG00000100938	MGI:1917903
GMPS	600358	8833	GMPS	ENSG00000163655	MGI:2448526
GNPDA1	601798	10007	GNPDA1	ENSG00000113552	MGI:1347054
GNPDA2	613222	132789	GNPDA2	ENSG00000163281	MGI:1915230
GOT1	138180;614419	2805	GOT1	ENSG00000120053	MGI:95791
GOT2	138150;618721	2806	GOT2	ENSG00000125166	MGI:95792
GPCPD1	614124	56261	GPCPD1	ENSG00000125772	MGI:104898
GPHN	603930;615501	10243	GPHN	ENSG00000171723	MGI:109602
GPI	172400;613470	2821	GPI	ENSG00000105220	MGI:95797
GPT	138200	2875	GPT	ENSG00000167701	MGI:95802
GPX1	138320;614164	2876	GPX1	ENSG00000233276	MGI:104887
GPX4	138322;250220	2879	GPX4	ENSG00000167468	MGI:104767
GRHPR	260000;604296	9380	GRHPR	ENSG00000137106	MGI:1923488
GRIA1	138248;619927;138248;619931	2890	GRIA1	ENSG00000155511	MGI:95808
GSK3A	606784	2931	GSK3A	ENSG00000105723	MGI:2152453
GSR	138300;618660	2936	GSR	ENSG00000104687	MGI:95804
GSS	231900;601002;266130;601002	2937	GSS	ENSG00000100983	MGI:95852
GSTM1	138350	2944	GSTM1	ENSG00000134184	MGI:106026;MGI:1309467;MGI:95860;MGI:95861
GSTM2	138380	2946	GSTM2	ENSG00000213366	MGI:1915562
GSTM3	138390	2947	GSTM3	ENSG00000134202	MGI:1309466
GSTM4	138333	2948	GSTM4	ENSG00000168765	MGI:95862
GSTM5	138385	2949	GSTM5	ENSG00000134201	MGI:95860;MGI:95861
GSTO1	605482	9446	GSTO1	ENSG00000148834	MGI:1342273
GSTP1	134660	2950	GSTP1	ENSG00000084207	MGI:2385078;MGI:3782108;MGI:95864;MGI:95865
GSTT1	600436	2952	GSTT1		MGI:107379
GSTZ1	603758;617596	2954	GSTZ1	ENSG00000100577	MGI:1341859
GUCY1A1	139396;615750	2982	GUCY1A1	ENSG00000164116	MGI:1926562
GUCY1B1	139397	2983	GUCY1B1	ENSG00000061918	MGI:1860604
GUK1	139270;621071	2987	GUK1	ENSG00000143774	MGI:95871
GUSB	253220;611499	2990	GUSB	ENSG00000169919	MGI:95872
GYG1	603942;613507;603942;616199	2992	GYG1	ENSG00000163754	MGI:1351614
GYS1	138570;611556	2997	GYS1	ENSG00000104812	MGI:101805
HACD3	615940	51495	HACD3	ENSG00000074696	MGI:1889341
HAGH	138760;614033	3029	HAGH	ENSG00000063854	MGI:95745
HAL	235800;609457	3034	HAL	ENSG00000084110	MGI:96010
HARS1	142810;614504;142810;616625	3035	HARS1	ENSG00000170445	MGI:108087
HBA	140700;141800;140700;141850;141800;604131;141800;613978;141800;617973;141800;617981;141850;604131;141850;613978;141850;617981	3039;3040	HBA1;HBA2	ENSG00000188536;ENSG00000206172	;MGI:96015;MGI:96016
HBB	140700;141900;141749;141900;141900;603902;141900;603903;141900;611162;141900;613985;141900;617971;141900;617980	3043	HBB	ENSG00000244734	MGI:5474850;MGI:5474852;MGI:96021;MGI:96022;MGI:96025
HBD	142000	3045	HBD	ENSG00000223609	MGI:5474850;MGI:5474852;MGI:96021;MGI:96022;MGI:96025
HBE1	142100	3046	HBE1	ENSG00000213931	MGI:96024;MGI:96027
HBG1	141749;142200	3047	HBG1	ENSG00000213934	MGI:96023;MGI:96024
HBG2	141749;142250;142250;613977	3048	HBG2	ENSG00000196565	MGI:96023;MGI:96024;MGI:96027
HBM	609639	3042	HBM	ENSG00000206177
HBQ1	142240	3049	HBQ1	ENSG00000086506	MGI:2685722;MGI:3613460
HBZ	142310	3050	HBZ	ENSG00000130656	MGI:96019
HCK	142370;620296	3055	HCK	ENSG00000101336	MGI:96052
HEXA	272800;606869	3073	HEXA	ENSG00000213614	MGI:96073
HEXB	268800;606873	3074	HEXB	ENSG00000049860	MGI:96074
HINT1	137200;601314	3094	HINT1	ENSG00000169567	MGI:1321133
HK1	142600;235700;142600;605285;142600;617460;142600;618547	3098	HK1	ENSG00000156515	MGI:96103
HK3	142570	3101	HK3	ENSG00000160883	MGI:2670962
HMBS	176000;609806;609806;620704;609806;620711	3145	HMBS	ENSG00000256269	MGI:96112
HNMT	600807;605238;605238;616739	3176	HNMT	ENSG00000150540	MGI:2153181
HPGDS	602598	27306	HPGDS	ENSG00000163106	MGI:1859384
HPRT1	300322;308000;300323;308000	3251	HPRT1	ENSG00000165704	MGI:96217
HRAS	109800;190020;137550;190020;162900;190020;163200;190020;188470;190020;190020;218040	3265	HRAS	ENSG00000174775	MGI:96224
HSD17B11	612831	51170	HSD17B11	ENSG00000198189	MGI:2149821
HSD17B12	609574	51144	HSD17B12	ENSG00000149084	MGI:1926967
HSP90AA1	140571	3320	HSP90AA1	ENSG00000080824	MGI:96250
HSP90AB1	140572	3326	HSP90AB1	ENSG00000096384	MGI:96247
HSPA8	600816	3312	HSPA8	ENSG00000109971	MGI:105384
HUWE1	300697;309590	10075	HUWE1	ENSG00000086758	MGI:1926884
IARS1	600709;617093	3376	IARS1	ENSG00000196305	MGI:2145219
IDH1	137800;147700	3417	IDH1	ENSG00000138413	MGI:96413
IDH2	147650;613657	3418	IDH2	ENSG00000182054	MGI:96414
IMPA1	602064;617323	3612	IMPA1	ENSG00000133731	MGI:1933158
IMPA2	605922	3613	IMPA2	ENSG00000141401	MGI:2149728
IMPDH2	146691;617995	3615	IMPDH2	ENSG00000178035	MGI:109367;MGI:3705743
INPP5A	600106	3632	INPP5A	ENSG00000068383	MGI:2686961
