	genes	uniprot	drugbank	pfam	hgnc.symbol	dbsnp	smpdb
10	ACAT2	Q9BWD1	DB01915;DB01992	PF00108;PF02803	ACAT2		SMP0000023;SMP0000079;SMP0000082;SMP0000089;SMP0000092;SMP0000095;SMP0000099;SMP0000107;SMP0000111;SMP0000112;SMP0000117;SMP0000119;SMP0000131;SMP0000209;SMP0000319;SMP0000386;SMP0000387;SMP0000388;SMP0000389;SMP0000508;SMP0000509;SMP0000510;SMP0000511
11	ACHE	P22303	DB00122;DB00358;DB00382;DB00411;DB00449;DB00483;DB00545;DB00674;DB00677;DB00733;DB00805;DB00843;DB00863;DB00898;DB00940;DB00944;DB00981;DB00989;DB01010;DB01122;DB01199;DB01245;DB01364;DB01400;DB01805;DB02166;DB02226;DB02343;DB02404;DB02673;DB02825;DB02845;DB03005;DB03128;DB03283;DB03348;DB03359;DB03740;DB03814;DB04021;DB04114;DB04556;DB04614;DB04615;DB04616;DB04617;DB04859;DB04864;DB04892;DB04924;DB06525;DB07555;DB07701;DB07756;DB07846;DB08167;DB08357;DB08615;DB08996;DB12816;DB13503;DB14006	PF00135;PF08674	ACHE		SMP0000025
12	ACLY	P53396	DB11936	PF00285;PF00549;PF02629;PF16114	ACLY		SMP0000466;SMP0002298
13	ACO1	P21399	DB06757	PF00330;PF00694	ACO1		SMP0000654;SMP0002291;SMP0002292;SMP0002295;SMP0002358;SMP0002359
14	ACP1	P24666	DB00173;DB04214	PF01451	ACP1		SMP0000070
15	ACSL1	P33121	DB00131;DB00171	PF00501	ACSL1		SMP0000030;SMP0000051;SMP0000052;SMP0000181;SMP0000185;SMP0000235;SMP0000482;SMP0000516;SMP0000517;SMP0000538;SMP0000539;SMP0000540;SMP0000541;SMP0000542;SMP0000545
16	ACSL4	O60488	DB00159;DB00197;DB00412	PF00501	ACSL4		
17	ACSS2	Q9NR19	DB00131;DB00171;DB09395	PF00501;PF13193;PF16177	ACSS2		SMP0000060;SMP0000196;SMP0000212;SMP0000334;SMP0000429;SMP0000449;SMP0000558;SMP0000559
18	ACTB	P60709	DB04216;DB12695	PF00022	ACTB		
19	ACTG1	P63261	DB09130;DB11638	PF00022	ACTG1		
20	ADA	P00813	DB00194;DB00277;DB00552;DB00640;DB00974;DB00975;DB01280;DB02096;DB02472;DB02616;DB02830;DB03000;DB03015;DB03220;DB03370;DB03572;DB04218;DB04440;DB05057;DB07711;DB07783;DB07785;DB07786;DB14598;DB14600	PF00962	ADA		SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537
21	ADCY10	Q96PN6	DB02587	PF00211	ADCY10		SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537
22	ADCY2	Q08462	DB02587;DB06843;DB09121	PF00211;PF06327;PF16214	ADCY2		SMP0000308;SMP0000309;SMP0000310;SMP0000311;SMP0000312;SMP0000320;SMP0000321;SMP0000322;SMP0000333;SMP0000335;SMP0000343;SMP0000354
23	ADH5	P11766	DB00157;DB00898;DB01020;DB03017;DB03704;DB04153;DB11077;DB12612	PF00107;PF08240	ADH5		
24	ADK	P55263	DB00131;DB00171;DB00640;DB00811;DB01048;DB07173;DB07280	PF00294	ADK		SMP0000427;SMP0000428;SMP0000430;SMP0000609
25	ADSS2	P30520	DB00128;DB00787;DB05540	PF00709	ADSS		SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537
26	AGT	P01019	DB01593;DB09130;DB14487	PF00079	AGT		SMP0000145;SMP0000146;SMP0000147;SMP0000148;SMP0000149;SMP0000150;SMP0000151;SMP0000152;SMP0000153;SMP0000154;SMP0000155;SMP0000156;SMP0000157;SMP0000158;SMP0000159;SMP0000160;SMP0000161;SMP0000162;SMP0000163;SMP0000164;SMP0000165;SMP0000733
27	AHCY	P23526	DB03216;DB03273;DB03769;DB09130	PF00670;PF05221	AHCY		SMP0000029;SMP0000033;SMP0000123;SMP0000177;SMP0000214;SMP0000221;SMP0000222;SMP0000340;SMP0000341;SMP0000570
28	AK1	P00568	DB00640;DB01717;DB09299;DB14126	PF00406	AK1		SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537;SMP0000629;SMP0000630
29	AKR1A1	P14550	DB00157;DB00898;DB00997;DB02383;DB03461;DB06077;DB06207;DB08904;DB09130	PF00248	AKR1A1		SMP0000650
30	AKR1B1	P15121	DB00143;DB00157;DB00605;DB00694;DB00997;DB01039;DB01689;DB02007;DB02020;DB02021;DB02101;DB02132;DB02383;DB02518;DB02712;DB02834;DB02994;DB03461;DB04272;DB05327;DB05383;DB05533;DB06077;DB06246;DB07028;DB07030;DB07063;DB07093;DB07139;DB07187;DB07450;DB07498;DB07999;DB08000;DB08084;DB08098;DB08449;DB08772;DB11859;DB16707	PF00248	AKR1B1		SMP0000005;SMP0000039;SMP0000043;SMP0000060;SMP0000064;SMP0000182;SMP0000187;SMP0000196;SMP0000212;SMP0000334;SMP0000486;SMP0000487;SMP0000488;SMP0000489;SMP0000490;SMP0000491;SMP0000529;SMP0000558;SMP0000559;SMP0000561;SMP0000725
31	AKR1C3	P42330	DB00157;DB00328;DB00776;DB00959;DB00997;DB01039;DB01536;DB01561;DB01698;DB02056;DB02266;DB02901;DB03461;DB06077;DB07700;DB09074;DB13751	PF00248	AKR1C3		SMP0000075;SMP0000077;SMP0000083;SMP0000084;SMP0000085;SMP0000086;SMP0000087;SMP0000093;SMP0000094;SMP0000096;SMP0000098;SMP0000101;SMP0000102;SMP0000104;SMP0000106;SMP0000109;SMP0000113;SMP0000114;SMP0000116;SMP0000120;SMP0000289;SMP0000353;SMP0000650;SMP0000692;SMP0000693;SMP0000694;SMP0000695;SMP0000696;SMP0000697;SMP0000698;SMP0000699;SMP0000700;SMP0000701;SMP0000702;SMP0000703;SMP0000704;SMP0000705;SMP0000706;SMP0000707;SMP0000708;SMP0000709;SMP0000710
32	ALAD	P13716	DB00855;DB02068;DB02239;DB02260;DB02272;DB02878;DB04560;DB04781	PF00490	ALAD		SMP0000024;SMP0000342;SMP0000344;SMP0000345;SMP0000346
33	ALDH1A1	P00352	DB00157;DB00162;DB00755;DB04447;DB09462	PF00171	ALDH1A1		SMP0000074;SMP0000336;SMP0000447;SMP0000448;SMP0000604;SMP0000605;SMP0000642
34	ALDH3A1	P30838	DB00157	PF00171	ALDH3A1		SMP0000006;SMP0000039;SMP0000044;SMP0000169;SMP0000187;SMP0000190;SMP0000191;SMP0000218;SMP0000429;SMP0000447;SMP0000448;SMP0000494;SMP0000498;SMP0000529;SMP0000533;SMP0000604;SMP0000605;SMP0000633
35	ALDH3B1	P43353	DB00157	PF00171	ALDH3B1		
36	ALDH9A1	P49189	DB00157	PF00171	ALDH9A1		SMP0000465
37	ALDOA	P04075	DB01593;DB02512;DB04326;DB04733;DB08240;DB11638;DB14487;DB14533;DB14548	PF00274	ALDOA		SMP0000031;SMP0000040;SMP0000064;SMP0000128;SMP0000374;SMP0000518;SMP0000519;SMP0000520;SMP0000531;SMP0000560;SMP0000561;SMP0000562;SMP0000563;SMP0000572;SMP0000573;SMP0000574;SMP0000581;SMP0000725
38	ALPL	P05186	DB00165;DB01143;DB09338;DB09498	PF00245	ALPL		SMP0000017;SMP0000503
39	ANPEP	P15144	DB00973;DB06196;DB06773;DB16627	PF01433;PF11838	ANPEP		SMP0000015;SMP0000143;SMP0000183;SMP0000337;SMP0000500;SMP0000501
40	APRT	P07741	DB00131;DB00173;DB01632;DB03506;DB04272	PF00156	APRT		SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537
41	AQP1	P29972	DB00819;DB02451;DB09338	PF00230	AQP1		SMP0000078;SMP0000080;SMP0000081;SMP0000088;SMP0000090;SMP0000091;SMP0000097;SMP0000100;SMP0000103;SMP0000105;SMP0000108;SMP0000110;SMP0000115;SMP0000118;SMP0000121;SMP0000122;SMP0000132;SMP0000133;SMP0000134;SMP0000135;SMP0000184;SMP0000189;SMP0000193;SMP0000197;SMP0000245;SMP0000583;SMP0000723
42	AQP3	Q92482	DB09020;DB11365	PF00230	AQP3		SMP0000078;SMP0000080;SMP0000081;SMP0000088;SMP0000090;SMP0000091;SMP0000097;SMP0000100;SMP0000103;SMP0000105;SMP0000108;SMP0000110;SMP0000115;SMP0000118;SMP0000121;SMP0000122;SMP0000132;SMP0000133;SMP0000134;SMP0000135;SMP0000184;SMP0000189;SMP0000193;SMP0000197;SMP0000245;SMP0000583;SMP0000723
43	ARF6	P62330	DB01864;DB04315;DB08231	PF00025	ARF6		
44	ARG1	P05089	DB00129;DB01983;DB02381;DB02499;DB02689;DB03144;DB03731;DB03904;DB04197;DB04530;DB04585;DB04648;DB06757	PF00491	ARG1		SMP0000001;SMP0000002;SMP0000003;SMP0000020;SMP0000059;SMP0000188;SMP0000205;SMP0000207;SMP0000208;SMP0000357;SMP0000360;SMP0000361;SMP0000362;SMP0000363;SMP0000504;SMP0000505;SMP0000506;SMP0000507
45	ASL	P04424	DB00125;DB02267;DB03814	PF00206;PF14698	ASL		SMP0000001;SMP0000002;SMP0000003;SMP0000020;SMP0000059;SMP0000067;SMP0000175;SMP0000188;SMP0000192;SMP0000205;SMP0000207;SMP0000208;SMP0000357;SMP0000360;SMP0000361;SMP0000362;SMP0000363;SMP0000504;SMP0000505;SMP0000506;SMP0000507
46	ATIC	P31939	DB00116;DB00563;DB00642;DB01700;DB01972;DB02309;DB03442;DB04057	PF01808;PF02142	ATIC		SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537
47	ATP1A1	P05023	DB00390;DB00511;DB00774;DB00903;DB01021;DB01078;DB01092;DB01158;DB01188;DB01244;DB01250;DB01345;DB01370;DB01378;DB01396;DB01430;DB06157;DB09020;DB09479;DB13620;DB13749;DB13996;DB14498;DB14499;DB14500;DB14514;DB14515;DB14517;DB14518;DB16690	PF00122;PF00689;PF00690	ATP1A1		SMP0000078;SMP0000080;SMP0000081;SMP0000088;SMP0000090;SMP0000091;SMP0000097;SMP0000100;SMP0000103;SMP0000105;SMP0000108;SMP0000110;SMP0000115;SMP0000118;SMP0000121;SMP0000122;SMP0000132;SMP0000133;SMP0000134;SMP0000135;SMP0000184;SMP0000189;SMP0000193;SMP0000197;SMP0000245;SMP0000296;SMP0000297;SMP0000298;SMP0000299;SMP0000300;SMP0000301;SMP0000302;SMP0000303;SMP0000304;SMP0000305;SMP0000306;SMP0000307;SMP0000323;SMP0000324;SMP0000325;SMP0000326;SMP0000327;SMP0000328;SMP0000329;SMP0000330;SMP0000331;SMP0000332;SMP0000359;SMP0000366;SMP0000367;SMP0000368;SMP0000375;SMP0000376;SMP0000377;SMP0000378;SMP0000379;SMP0000380;SMP0000381;SMP0000382;SMP0000392;SMP0000393;SMP0000394;SMP0000395;SMP0000396;SMP0000397;SMP0000398;SMP0000399;SMP0000400;SMP0000401;SMP0000402;SMP0000403;SMP0000404;SMP0000405;SMP0000406;SMP0000407;SMP0000408;SMP0000409;SMP0000410;SMP0000411;SMP0000412;SMP0000413;SMP0000414;SMP0000415;SMP0000416;SMP0000417;SMP0000422;SMP0000423;SMP0000424;SMP0000425;SMP0000426;SMP0000431;SMP0000457;SMP0000458;SMP0000583;SMP0000657;SMP0000658;SMP0000659;SMP0000660;SMP0000661;SMP0000662;SMP0000663;SMP0000664;SMP0000665;SMP0000666;SMP0000667;SMP0000668;SMP0000669;SMP0000670;SMP0000671;SMP0000672;SMP0000673;SMP0000674;SMP0000675;SMP0000676;SMP0000677;SMP0000678;SMP0000679;SMP0000680;SMP0000681;SMP0000683;SMP0000684;SMP0000685;SMP0000686;SMP0000687;SMP0000688;SMP0000689;SMP0000690;SMP0000691;SMP0000723
48	ATP1A3	P13637	DB01092;DB01250;DB09020;DB09479;DB16690	PF00122;PF00689;PF00690	ATP1A3		SMP0000078;SMP0000080;SMP0000081;SMP0000088;SMP0000090;SMP0000091;SMP0000097;SMP0000100;SMP0000103;SMP0000105;SMP0000108;SMP0000110;SMP0000115;SMP0000118;SMP0000121;SMP0000122;SMP0000132;SMP0000133;SMP0000134;SMP0000135;SMP0000184;SMP0000189;SMP0000193;SMP0000197;SMP0000245;SMP0000296;SMP0000297;SMP0000298;SMP0000299;SMP0000300;SMP0000301;SMP0000302;SMP0000303;SMP0000304;SMP0000305;SMP0000306;SMP0000307;SMP0000323;SMP0000324;SMP0000325;SMP0000326;SMP0000327;SMP0000328;SMP0000329;SMP0000330;SMP0000331;SMP0000332;SMP0000359;SMP0000366;SMP0000367;SMP0000368;SMP0000375;SMP0000376;SMP0000377;SMP0000378;SMP0000379;SMP0000380;SMP0000381;SMP0000382;SMP0000392;SMP0000393;SMP0000394;SMP0000395;SMP0000396;SMP0000397;SMP0000398;SMP0000399;SMP0000400;SMP0000401;SMP0000402;SMP0000403;SMP0000404;SMP0000405;SMP0000406;SMP0000407;SMP0000408;SMP0000409;SMP0000410;SMP0000411;SMP0000412;SMP0000413;SMP0000414;SMP0000415;SMP0000416;SMP0000417;SMP0000422;SMP0000423;SMP0000424;SMP0000425;SMP0000426;SMP0000431;SMP0000457;SMP0000458;SMP0000583;SMP0000657;SMP0000658;SMP0000659;SMP0000660;SMP0000661;SMP0000662;SMP0000663;SMP0000664;SMP0000665;SMP0000666;SMP0000667;SMP0000668;SMP0000669;SMP0000670;SMP0000671;SMP0000672;SMP0000673;SMP0000674;SMP0000675;SMP0000676;SMP0000677;SMP0000678;SMP0000679;SMP0000680;SMP0000681;SMP0000683;SMP0000684;SMP0000685;SMP0000686;SMP0000687;SMP0000688;SMP0000689;SMP0000690;SMP0000691;SMP0000723
