genes	ensembl	uniprot	hgnc.symbol	ncbigene
NAGK	ENSG00000124357	Q9UJ70	NAGK	55577
NANS	ENSG00000095380	Q9NR45	NANS	54187
NANP	ENSG00000170191	Q8TBE9	NANP	140838
ACP1
ADA	ENSG00000196839	P00813	ADA	100
AK1	ENSG00000106992	P00568	AK1	203
ADCY2	ENSG00000078295	Q08462	ADCY2	108
ADK	ENSG00000156110	P55263	ADK	132
SLC29A1	ENSG00000112759	Q99808	SLC29A1	2030
APRT	ENSG00000198931	P07741	APRT	353
AMDHD2	ENSG00000162066	Q9Y303	AMDHD2	51005
AGPAT4	ENSG00000026652	Q9NRZ5	AGPAT4	56895
AGPAT1	ENSG00000204310	Q99943	AGPAT1	10554
AGPAT3	ENSG00000160216	Q9NRZ7	AGPAT3	56894
AHCY	ENSG00000101444	P23526	AHCY	191
SLC7A1	ENSG00000139514	P30825	SLC7A1	6541
ALDH3A1	ENSG00000108602	P30838	ALDH3A1	218
ALDH9A1	ENSG00000143149	P49189	ALDH9A1	223
ALDH1A1	ENSG00000165092	P00352	ALDH1A1	216
AMPD3	ENSG00000133805	Q01432	AMPD3	272
NUDT2	ENSG00000164978	P50583	NUDT2	318
ARG1	ENSG00000118520	P05089	ARG1	383
BLVRA	ENSG00000106605	P53004	BLVRA	644
CPT1A	ENSG00000110090	P50416	CPT1A	1374
ATP2B1	ENSG00000070961	P20020	ATP2B1	490
ATP2B4	ENSG00000058668	P23634	ATP2B4	493
ABCC4	ENSG00000125257	O15439	ABCC4	10257
CAT	ENSG00000121691	P04040	CAT	847
CDIPT	ENSG00000103502	O14735	CDIPT	10423
PHOSPHO1	ENSG00000173868	Q8TCT1	PHOSPHO1	162466
PCYT1A	ENSG00000161217	P49585	PCYT1A	5130
PCYT1B	ENSG00000102230	Q9Y5K3	PCYT1B	9468
SLC43A2	ENSG00000167703	Q8N370	SLC43A2	124935
CMPK1	ENSG00000162368	P30085	CMPK1	51727
SLC16A1	ENSG00000155380	P53985	SLC16A1	6566
DGKA	ENSG00000065357	P23743	DGKA	1606
SLC2A1	ENSG00000117394	P11166	SLC2A1	6513
COMT	ENSG00000093010	P21964	COMT	1312
BPGM	ENSG00000172331	P07738	BPGM	669
ENO1	ENSG00000074800	P06733	ENO1	2023
ACSL1	ENSG00000151726	P33121	ACSL1	2180
ALDOA	ENSG00000149925	P04075	ALDOA	226
ALDOC	ENSG00000109107	P09972	ALDOC	230
FLAD1	ENSG00000160688	Q8NFF5	FLAD1	80308
SLC2A5	ENSG00000142583	P22732	SLC2A5	6518
SLC2A2	ENSG00000163581	P11168	SLC2A2	6514
FH	ENSG00000091483	P07954	FH	2271
GUCY1B1	ENSG00000061918	Q02153	GUCY1B1	2983
GUCY1A1	ENSG00000164116	Q02108	GUCY1A1	2982
NME1	ENSG00000239672	P15531	NME1	4830
NME2	ENSG00000243678	P22392	NME2	4831
MAT2B	ENSG00000038274	Q9NZL9	MAT2B	27430
MAT2A	ENSG00000168906	P31153	MAT2A	4144
ATP1B1	ENSG00000143153	P05026	ATP1B1	481
ATP1B3	ENSG00000069849	P54709	ATP1B3	483
ATP1B2	ENSG00000129244	P14415	ATP1B2	482
ATP1A1	ENSG00000163399	P05023	ATP1A1	476
HSPA8
BLVRB	ENSG00000090013	P30043	BLVRB	645
HBA
RAB5C
VCP
ACLY	ENSG00000131473	P53396	ACLY	47
ATP6V1A	ENSG00000114573	P38606	ATP6V1A	523
CDC42
CYB5R3	ENSG00000100243	P00387	CYB5R3	1727
PRDX6	ENSG00000117592	P30041	PRDX6	9588
PRKAR1A
RAB5B
RAP2B
RUVBL2
UBA1	ENSG00000130985	P22314	UBA1	7317
ATIC	ENSG00000138363	P31939	ATIC	471
CSNK1A1
FN3K	ENSG00000167363	Q9H479	FN3K	64122
GSTO1	ENSG00000148834	P78417	GSTO1	9446
HBB
OXSR1
PFAS	ENSG00000178921	O15067	PFAS	5198
PRKACA
PRMT5
RAC1
TGM2	ENSG00000198959	P21980	TGM2	7052
UBR4	ENSG00000127481	Q5T4S7	UBR4	23352
ABCB6	ENSG00000115657	Q9NP58	ABCB6	10058
DERA	ENSG00000023697	Q9Y315	DERA	51071
ESD	ENSG00000139684	P10768	ESD	2098
HBD
HSP90AA1
KRAS
PNP	ENSG00000198805	P00491	PNP	4860
PPIA	ENSG00000196262	P62937	PPIA	5478
RAB10
RAB8A
RAP1A
RNF123	ENSG00000164068	Q5XPI4	RNF123	63891
SKP1
ACTB
APEH
AQP1	ENSG00000240583	P29972	AQP1	358
ATP6V1B2	ENSG00000147416	P21281	ATP6V1B2	526
CAND1
CBR1	ENSG00000159228	P16152	CBR1	873
CNP	ENSG00000173786	P09543	CNP	1267
CUL1
DDT
DNM2	ENSG00000079805	P50570	DNM2	1785
DPP3
EEF2	ENSG00000167658	P13639	EEF2	1938
FAH	ENSG00000103876	P16930	FAH	2184
GFUS	ENSG00000104522	Q13630	GFUS	7264
MTHFD1	ENSG00000100714	P11586	MTHFD1	4522
PAFAH1B1	ENSG00000007168	P43034	PAFAH1B1	5048
PAFAH1B3	ENSG00000079462	Q15102	PAFAH1B3	5050
PARK7
PEPD	ENSG00000124299	P12955	PEPD	5184
PPIB	ENSG00000166794	P23284	PPIB	5479
RUVBL1
SELENBP1
SOD1	ENSG00000142168	P00441	SOD1	6647
UBAC1
WARS1	ENSG00000140105	P23381	WARS1	7453
YARS1	ENSG00000134684	P54577	YARS1	8565
BSG
CLIC1
CYBRD1	ENSG00000071967	Q53TN4	CYBRD1	79901
DARS1	ENSG00000115866	P14868	DARS1	1615
ENO2	ENSG00000111674	P09104	ENO2	2026
FASN	ENSG00000169710	P49327	FASN	2194
GLRX	ENSG00000173221	P35754	GLRX	2745
MPST	ENSG00000128309	P25325	MPST	4357
NAPRT	ENSG00000147813	Q6XQN6	NAPRT	93100
NPEPPS	ENSG00000141279	P55786	NPEPPS	9520
NSF
P4HB	ENSG00000185624	P07237	P4HB	5034
PPP2R1A
RAB11B
RHOA
TXN	ENSG00000136810	P10599	TXN	7295
ACSL4	ENSG00000068366	O60488	ACSL4	2182
ADSL	ENSG00000239900	P30566	ADSL	158
ATP7A
CARM1
CTPS1	ENSG00000171793	P17812	CTPS1	1503
FKBP4	ENSG00000004478	Q02790	FKBP4	2288
FN3KRP	ENSG00000141560	Q9HA64	FN3KRP	79672
HBM
HUWE1	ENSG00000086758	Q7Z6Z7	HUWE1	10075
MAPK1
PDIA3	ENSG00000167004	P30101	PDIA3	2923
PGP	ENSG00000184207	A6NDG6	PGP	283871
PPA1	ENSG00000180817	Q15181	PPA1	5464
PPME1
QDPR	ENSG00000151552	P09417	QDPR	5860
RALA
TKFC	ENSG00000149476	Q3LXA3	TKFC	26007
TXNL1
UBE2O	ENSG00000175931	Q9C0C9	UBE2O	63893
ABHD14B
ACAT2	ENSG00000120437	Q9BWD1	ACAT2	39
ATP6V1E1	ENSG00000131100	P36543	ATP6V1E1	529
CPPED1
DNPH1
GMPPB	ENSG00000173540	Q9Y5P6	GMPPB	29925
HBG1
HINT1
MAP2K2
MAP2K3
PCMT1	ENSG00000120265	P22061	PCMT1	5110
PDIA4	ENSG00000155660	P13667	PDIA4	9601
PDIA6	ENSG00000143870	Q15084	PDIA6	10130
PGM2L1	ENSG00000165434	Q6PCE3	PGM2L1	283209
PHPT1	ENSG00000054148	Q9NRX4	PHPT1	29085
PIEZO1
PPP2CA
PREP	ENSG00000085377	P48147	PREP	5550
RAN
ROCK2
SACM1L	ENSG00000211456	Q9NTJ5	SACM1L	22908
TARS1	ENSG00000113407	P26639	TARS1	6897
THOP1	ENSG00000172009	P52888	THOP1	7064
UBE2L3	ENSG00000185651	P68036	UBE2L3	7332
AARS1	ENSG00000090861	P49588	AARS1	16
ACSL3	ENSG00000123983	O95573	ACSL3	2181
DTYMK	ENSG00000168393	P23919	DTYMK	1841
GSTM3	ENSG00000134202	P21266	GSTM3	2947
HBE1
HBG2
HDDC2
LPIN2	ENSG00000101577	Q92539	LPIN2	9663
MIF	ENSG00000240972	P14174	MIF	4282
NRAS
PAFAH1B2	ENSG00000168092	P68402	PAFAH1B2	5049
PAICS	ENSG00000128050	P22234	PAICS	10606
PLSCR1
PPP2R5D
PTPA
PTPN11
RAB6B
SLC30A1	ENSG00000170385	Q9Y6M5	SLC30A1	7779
SLC40A1	ENSG00000138449	Q9NP59	SLC40A1	30061
ABCE1
ACHE	ENSG00000087085	P22303	ACHE	43
ACOT7	ENSG00000097021	O00154	ACOT7	11332
ASL	ENSG00000126522	P04424	ASL	435
ATP6V1D	ENSG00000100554	Q9Y5K8	ATP6V1D	51382
ATP6V1G1	ENSG00000136888	O75348	ATP6V1G1	9550
CNDP2	ENSG00000133313	Q96KP4	CNDP2	55748
DHRS11
FABP5	ENSG00000164687	Q01469	FABP5	2171
FDPS	ENSG00000160752	P14324	FDPS	2224
FKBP1A	ENSG00000088832	P62942	FKBP1A	2280
GBE1	ENSG00000114480	Q04446	GBE1	2632
GMPPA
GRHPR	ENSG00000137106	Q9UBQ7	GRHPR	9380
GSTP1	ENSG00000084207	P09211	GSTP1	2950
HBZ
LANCL1
LAP3	ENSG00000002549	P28838	LAP3	51056
MINPP1	ENSG00000107789	Q9UNW1	MINPP1	9562
NIT1
NQO2	ENSG00000124588	P16083	NQO2	4835
NUDT5	ENSG00000165609	Q9UKK9	NUDT5	11164
PGAM1	ENSG00000171314	P18669	PGAM1	5223
PNPLA6	ENSG00000032444	Q8IY17	PNPLA6	10908
PPCS	ENSG00000127125	Q9HAB8	PPCS	79717
RAB2A
RAB2B
RAB5A
AKR1C3	ENSG00000196139	P42330	AKR1C3	8644
ARF6
ART4	ENSG00000111339	Q93070	ART4	420
COASY	ENSG00000068120	Q13057	COASY	80347
CSNK2B
CTPS2	ENSG00000047230	Q9NRF8	CTPS2	56474
DNPEP
HSD17B12	ENSG00000149084	Q53GQ0	HSD17B12	51144
MRI1	ENSG00000037757	Q9BV20	MRI1	84245
NAMPT	ENSG00000105835	P43490	NAMPT	10135
PFKP	ENSG00000067057	Q01813	PFKP	5214
PLSCR4
PTGES3	ENSG00000110958	Q15185	PTGES3	10728
QNG1
RAB1A
RHCE
TMT1A
TXNRD1	ENSG00000198431	Q16881	TXNRD1	7296
VDAC3
WNK1
ABCC1	ENSG00000103222	P33527	ABCC1	4363
ABCC5	ENSG00000114770	O15440	ABCC5	10057
ACO1	ENSG00000122729	P21399	ACO1	48
ACSL6	ENSG00000164398	Q9UKU0	ACSL6	23305
ACTG1
ADH5	ENSG00000197894	P11766	ADH5	128
ADPRS
ATP11C	ENSG00000101974	Q8NB49	ATP11C	286410
ATP6V1H	ENSG00000047249	Q9UI12	ATP6V1H	51606
CAD	ENSG00000084774	P27708	CAD	790
CARS1	ENSG00000110619	P49589	CARS1	833
FARSA	ENSG00000179115	Q9Y285	FARSA	2193
FTH1	ENSG00000167996	P02794	FTH1	2495
FTL
GSTT1
HACD3	ENSG00000074696	Q9P035	HACD3	51495
KCNN4
LHPP	ENSG00000107902	Q9H008	LHPP	64077
LPCAT3	ENSG00000111684	Q6P1A2	LPCAT3	10162
MVD	ENSG00000167508	P53602	MVD	4597
PAK2
PPP2R1B
PRDX5	ENSG00000126432	P30044	PRDX5	25824
RBX1
RDH11	ENSG00000072042	Q8TC12	RDH11	51109
TMEM30A
TXNDC17
VPS4A
ABHD16A
ACYP1	ENSG00000119640	P07311	ACYP1	97
ATP6V0A1	ENSG00000033627	Q93050	ATP6V0A1	535
BPNT1	ENSG00000162813	O95861	BPNT1	10380
CYB5A
EPHX1	ENSG00000143819	P07099	EPHX1	2052
EPRS1	ENSG00000136628	P07814	EPRS1	2058
FARSB	ENSG00000116120	Q9NSD9	FARSB	10056
FCSK	ENSG00000157353	Q8N0W3	FCSK	197258
GMDS	ENSG00000112699	O60547	GMDS	2762
GPHN	ENSG00000171723	Q9NQX3	GPHN	10243
MAP2K1
MBLAC2
NCEH1
PRDX4
PRPS2	ENSG00000101911	P11908	PRPS2	5634
PYCR3	ENSG00000104524	Q53H96	PYCR3	65263
RPS6KA3
SARS1	ENSG00000031698	P49591	SARS1	6301
SHMT1	ENSG00000176974	P34896	SHMT1	6470
SLC12A6	ENSG00000140199	Q9UHW9	SLC12A6	9990
SLC2A14	ENSG00000173262	Q8TDB8	SLC2A14	144195
SLC43A3
XPNPEP1
CSNK2A1
CSNK2A2
CYB5B
ECHDC1
FKBP2	ENSG00000173486	P26885	FKBP2	2286
GART	ENSG00000159131	P22102	GART	2618
GMPR2	ENSG00000100938	Q9P2T1	GMPR2	51292
GYS1	ENSG00000104812	P13807	GYS1	2997
HARS1	ENSG00000170445	P12081	HARS1	3035
HDDC3
ITPA	ENSG00000125877	Q9BY32	ITPA	3704
MAN2C1	ENSG00000140400	Q9NTJ4	MAN2C1	4123
MBOAT2	ENSG00000143797	Q6ZWT7	MBOAT2	129642
NIT2	ENSG00000114021	Q9NQR4	NIT2	56954
PCBD2	ENSG00000132570	Q9H0N5	PCBD2	84105
PPCDC	ENSG00000138621	Q96CD2	PPCDC	60490
PPP1CB
SRXN1
TF
TFRC	ENSG00000072274	P02786	TFRC	7037
UBA6	ENSG00000033178	A0AVT1	UBA6	55236
ABCA7
GDE1	ENSG00000006007	Q9NZC3	GDE1	51573
KARS1	ENSG00000065427	Q15046	KARS1	3735
LYN
MFSD2B
NAXE
NPL	ENSG00000135838	Q9BXD5	NPL	80896
PPP1CA
PPP2CB
PRKACB
PRUNE1	ENSG00000143363	Q86TP1	PRUNE1	58497
PSAT1	ENSG00000135069	Q9Y617	PSAT1	29968
RARS1	ENSG00000113643	P54136	RARS1	5917
SLC25A3	ENSG00000075415	Q00325	SLC25A3	5250
SLC44A2	ENSG00000129353	Q8IWA5	SLC44A2	57153
VARS1	ENSG00000204394	P26640	VARS1	7407
VDAC1
ADPGK	ENSG00000159322	Q9BRR6	ADPGK	83440
ARMT1
ATP11B
ATP6V1F	ENSG00000128524	Q16864	ATP6V1F	9296
CLIC2
CLIC4
EBP	ENSG00000147155	Q15125	EBP	10682
GSK3A
GYG1	ENSG00000163754	P46976	GYG1	2992
LARS1	ENSG00000133706	Q9P2J5	LARS1	51520
LYPLAL1
NARS1	ENSG00000134440	O43776	NARS1	4677
PANK2	ENSG00000125779	Q9BZ23	PANK2	80025
PIP4P1	ENSG00000165782	Q86T03	PIP4P1	90809
PPP2R5B
PUDP
RHD
SHPK	ENSG00000197417	Q9UHJ6	SHPK	23729
SLC1A5	ENSG00000105281	Q15758	SLC1A5	6510
SLC25A5	ENSG00000005022	P05141	SLC25A5	292
SLC44A1	ENSG00000070214	Q8WWI5	SLC44A1	23446
SYK
TGM3	ENSG00000125780	Q08188	TGM3	7053
UBB
VDAC2
AASDHPPT	ENSG00000149313	Q9NRN7	AASDHPPT	60496
ALDH3B1	ENSG00000006534	P43353	ALDH3B1	221
AQP3	ENSG00000165272	Q92482	AQP3	360
ATP6AP1	ENSG00000071553	Q15904	ATP6AP1	537
ATP7B
CD36	ENSG00000135218	P16671	CD36	948
CD38	ENSG00000004468	P28907	CD38	952
CLCN3
CSNK1G3
GOT2	ENSG00000125166	P00505	GOT2	2806
GSTM2	ENSG00000213366	P28161	GSTM2	2946
LYPLA1	ENSG00000120992	O75608	LYPLA1	10434
LYPLA2	ENSG00000011009	O95372	LYPLA2	11313
MGST2	ENSG00000085871	Q99735	MGST2	4258
NAXD
NUDT4	ENSG00000173598	Q9NZJ9	NUDT4	11163
OARD1	ENSG00000124596	Q9Y530	OARD1	221443
OGT	ENSG00000147162	O15294	OGT	8473
PLD1	ENSG00000075651	Q13393	PLD1	5337
PPP1CC
PRKAA1
SIRT2	ENSG00000068903	Q8IXJ6	SIRT2	22933
SLC19A1	ENSG00000173638	P41440	SLC19A1	6573
SLC31A1	ENSG00000136868	O15431	SLC31A1	1317
SMPDL3B
STEAP3
STK11
ZDHHC5	ENSG00000156599	Q9C0B5	ZDHHC5	25921
AGL	ENSG00000162688	P35573	AGL	178
AGT
APIP	ENSG00000149089	Q96GX9	APIP	51074
CSNK1G1
DAGLB	ENSG00000164535	Q8NCG7	DAGLB	221955
GAPDHS	ENSG00000105679	O14556	GAPDHS	26330
GNPDA2	ENSG00000163281	Q8TDQ7	GNPDA2	132789
HSD17B11	ENSG00000198189	Q8NBQ5	HSD17B11	51170
NAPEPLD
PPIP5K2	ENSG00000145725	O43314	PPIP5K2	23262
PRKAG1
PRKAR2B
PSPH	ENSG00000146733	P78330	PSPH	5723
PTPN1
QARS1	ENSG00000172053	P47897	QARS1	5859
RBKS	ENSG00000171174	Q9H477	RBKS	64080
RIDA
SLC25A6	ENSG00000169100	P12236	SLC25A6	293
SLC27A2	ENSG00000140284	O14975	SLC27A2	11001
SLC3A2	ENSG00000168003	P08195	SLC3A2	6520
ZDHHC3	ENSG00000163812	Q9NYG2	ZDHHC3	51304
ABHD17B
ANKH
ANO6
ATP11A	ENSG00000068650	P98196	ATP11A	23250
ATP6V0C	ENSG00000185883	P27449	ATP6V0C	527
ATP6V1C1	ENSG00000155097	P21283	ATP6V1C1	528
CBR3	ENSG00000159231	O75828	CBR3	874
CHAC2
CYB561D2
GALNT2	ENSG00000143641	Q10471	GALNT2	2590
GALNT4	ENSG00000257594	Q8N4A0	GALNT4	8693
GARS1	ENSG00000106105	P41250	GARS1	2617
GSTZ1	ENSG00000100577	O43708	GSTZ1	2954
LCMT1
MAPK3
MTM1	ENSG00000171100	Q13496	MTM1	4534
NADK2	ENSG00000152620	Q4G0N4	NADK2	133686
OGA	ENSG00000198408	O60502	OGA	10724
PCBD1	ENSG00000166228	P61457	PCBD1	5092
PGK2	ENSG00000170950	P07205	PGK2	5232
PRKAR1B
PYGB	ENSG00000100994	P11216	PYGB	5834
RDH14	ENSG00000240857	Q9HBH5	RDH14	57665
SLC9A6
SPTLC1	ENSG00000090054	O15269	SPTLC1	10558
TRPV2
ZDHHC20	ENSG00000180776	Q5W0Z9	ZDHHC20	253832
ADSS2	ENSG00000035687	P30520	ADSS2	159
ANPEP	ENSG00000166825	P15144	ANPEP	290
GDPD1
GPCPD1	ENSG00000125772	Q9NPB8	GPCPD1	56261
GPT	ENSG00000167701	P24298	GPT	2875
GSTM1	ENSG00000134184	P09488	GSTM1	2944
INPP5A	ENSG00000068383	Q14642	INPP5A	3632
INPP5B	ENSG00000204084	P32019	INPP5B	3633
INSR
LPCAT1	ENSG00000153395	Q8NF37	LPCAT1	79888
LSS	ENSG00000160285	P48449	LSS	4047
MARS1	ENSG00000166986	P56192	MARS1	4141
MDP1	ENSG00000213920	Q86V88	MDP1	145553
PGM3	ENSG00000013375	O95394	PGM3	5238
PHGDH	ENSG00000092621	O43175	PHGDH	26227
PRKAB1
PRMT1
PTGR1	ENSG00000106853	Q14914	PTGR1	22949
PTPN6
SLC11A2	ENSG00000110911	P49281	SLC11A2	4891
SLC16A10	ENSG00000112394	Q8TF71	SLC16A10	117247
SLC4A2	ENSG00000164889	P04920	SLC4A2	6522
SLC6A8	ENSG00000130821	P48029	SLC6A8	6535
SPTLC2	ENSG00000100596	O15270	SPTLC2	9517
TECR	ENSG00000099797	Q9NZ01	TECR	9524
TSTD1
ZDHHC2	ENSG00000104219	Q9UIJ5	ZDHHC2	51201
ABCB1	ENSG00000085563	P08183	ABCB1	5243
ABCB4	ENSG00000005471	P21439	ABCB4	5244
ACSS2	ENSG00000131069	Q9NR19	ACSS2	55902
ADCY10	ENSG00000143199	Q96PN6	ADCY10	55811
ATP1A3	ENSG00000105409	P13637	ATP1A3	478
CDS2	ENSG00000101290	O95674	CDS2	8760
CKM	ENSG00000104879	P06732	CKM	1158
CLIC3
CTH	ENSG00000116761	P32929	CTH	1491
DAGLA	ENSG00000134780	Q9Y4D2	DAGLA	747
DCTPP1	ENSG00000179958	Q9H773	DCTPP1	79077
DHFR	ENSG00000228716	P00374	DHFR	1719
FABP1	ENSG00000163586	P07148	FABP1	2168
FIG4	ENSG00000112367	Q92562	FIG4	9896
FYN
GALM	ENSG00000143891	Q96C23	GALM	130589
GSTM4	ENSG00000168765	Q03013	GSTM4	2948
HCK
HEXB	ENSG00000049860	P07686	HEXB	3074
IARS1	ENSG00000196305	P41252	IARS1	3376
KCNK5
LRRC8A
MAP2K6
NUDT3	ENSG00000272325	O95989	NUDT3	11165
P2RX7
PANK4	ENSG00000157881	Q9NVE7	PANK4	55229
PANX1
PIK3C3	ENSG00000078142	Q8NEB9	PIK3C3	5289
PISD	ENSG00000241878	Q9UG56	PISD	23761
PLA2G4B	ENSG00000243708	P0C869	PLA2G4B	100137049
PLCB2	ENSG00000137841	Q00722	PLCB2	5330
PLCG1	ENSG00000124181	P19174	PLCG1	5335
PRKCB
PRKCI
PTEN	ENSG00000171862	P60484	PTEN	5728
RALBP1	ENSG00000017797	Q15311	RALBP1	10928
SLC12A2	ENSG00000064651	P55011	SLC12A2	6558
SLC1A4	ENSG00000115902	P43007	SLC1A4	6509
SLC25A4	ENSG00000151729	P12235	SLC25A4	291
SLC26A6	ENSG00000225697	Q9BXS9	SLC26A6	65010
SLC27A4	ENSG00000167114	Q6P1M0	SLC27A4	10999
SLC7A6	ENSG00000103064	Q92536	SLC7A6	9057
SLC9A7	ENSG00000065923	Q96T83	SLC9A7	84679
SMOX	ENSG00000088826	Q9NWM0	SMOX	54498
TFR2
TPMT	ENSG00000137364	P51580	TPMT	7172
A4GALT	ENSG00000128274	Q9NPC4	A4GALT	53947
