genes	uniprot	uniprot.isoform	uniprot.chain	hgnc.symbol	ec-code	taxonomy	uniparc	rhea	go	ccds	ena.embl	refseq	bmrb	pdb	sasbdb	smr	biogrid	complexportal	dip	intact	chembl.target	drugbank	iuphar.receptor	cazy	ideal	merops	peroxibase	tcdb	dbsnp	proteomicsdb.protein	ensembl	ncbigene	kegg.genes	genecards	hgnc	hpa	mim	nextprot	orphanet	pharmgkb.gene	eggnog	genetree	hogenom	oma.grp	orthodb	treefam	biocyc	brenda	reactome	genewiki	bgee.gene	cdd	disprot	hamap	interpro	panther.family	pfam	pirsf	prints	prosite	smart	supfam	chromosome
CLCN3	P51790	P51790-1;P51790-2;P51790-4;P51790-5	PRO_0000094438	CLCN3		9606	UPI0000073E48		0000139;0005247;0005254;0005524;0005765;0005769;0005770;0005794;0005886;0006885;0006911;0008021;0008344;0009897;0009986;0010008;0012506;0015297;0016020;0030141;0030165;0030672;0031410;0031901;0031902;0032587;0035249;0042581;0043231;0043679;0045335;0045494;0045794;0048388;0051932;0055037;0062158;0072320;0097401;0098978;0098982;1902476;1903428	CCDS34100.1;CCDS34101.1;CCDS58932.1	X78520;AF029346;AF172729;AB019542;AK304362;BX647119;AC084724;AC106878;CH471056;BC136510	NP_001230301.1;NP_001230303.1;NP_001820.2;NP_776297.2;XP_054204850.1;XP_054204853.1				P51790	107596			P51790	CHEMBL2401603		702						rs2150238934;rs1732397227;rs2150254146;rs1190062987;rs201059509;rs1732900321;rs2150267036;rs2150274994	56388;56389;7526	ENST00000347613.9;ENST00000360642.7;ENST00000513761.6	1182	hsa:1182	CLCN3	2021	ENSG00000109572	600580;619512;619517	NX_P51790	528084	PA26548	KOG0475	ENSGT00940000153763	CLU_003181_2_1_1	MFLKINM	44789at2759	TF313867			R-HSA-2672351	CLCN3	ENSG00000109572	cd04591;cd03684			IPR000644;IPR046342;IPR014743;IPR001807;IPR002245	PTHR45711;PTHR45711:SF8	PF00571;PF00654		PR00762;PR01114	PS51371	SM00116	SSF54631;SSF81340	4
CLCN4	P51793	P51793-1;P51793-2	PRO_0000094443	CLCN4		9606	UPI0000127A99		0005247;0005254;0005524;0005765;0005769;0005789;0005794;0005886;0006821;0008021;0010008;0015297;0031901;0031902;0034220;0043231;0055037;0055038;0097546;1905515	CCDS14137.1;CCDS59159.1	X77197;AB019432;AF170492;AK289564;AK299611;AC003666;AC121345;CH471074;BC130278	NP_001243873.1;NP_001821.2				P51793	107597			P51793			703					2.A.49.2.8	rs879255591;rs1569226551;rs879255580;rs879255581;rs1569230006;rs879255585;rs879255582;rs1569231897;rs587777161;rs879255583;rs879255584;rs1569233549	56390;6731	ENST00000380833.9;ENST00000674669.1	1183	hsa:1183	CLCN4	2022	ENSG00000073464	300114;302910	NX_P51793	485350;777	PA26549	KOG0475	ENSGT00940000158265	CLU_003181_2_1_1	TDWVHDT	44789at2759	TF313867			R-HSA-2672351	CLCN4	ENSG00000073464	cd04591;cd03684			IPR000644;IPR046342;IPR014743;IPR002246;IPR001807	PTHR45711;PTHR45711:SF2	PF00571;PF00654		PR00762;PR01115	PS51371	SM00116	SSF54631;SSF81340	X
CLCN5	P51795	P51795-2;P51795-1	PRO_0000094446	CLCN5		9606	UPI0000212052	29567	0000139;0003014;0005247;0005524;0005765;0005769;0005794;0005829;0005886;0006821;0006897;0008021;0010008;0015297;0016020;0034220;0042802;0045177	CCDS14328.1;CCDS48115.1	X91906;AK056560;FO393402;BC130429;BC130431;X81836;BK000969	NP_000075.1;NP_001121370.1;NP_001121371.1;NP_001269092.1;XP_047297763.1;XP_047297764.1;XP_054182409.1		2J9L;2JA3		P51795	107598		DIP-29263N	P51795								2.A.49.2.16	rs151340629;rs34800648;rs151340622;rs273585645;rs151340626;rs151340630;rs273585644;rs273585648;rs151340628;rs273585646;rs151340625;rs273585647;rs797044812;rs151340623;rs273585650;rs144207967	56391;56392	ENST00000307367.2;ENST00000376088.7;ENST00000376091.8;ENST00000376108.7;ENST00000642885.1	1184	hsa:1184	CLCN5	2023	ENSG00000171365	300008;300009;300554;308990;310468	NX_P51795	93622	PA26550	KOG0475	ENSGT00940000153763	CLU_003181_2_1_1	CLDWTPW	44789at2759	TF313867			R-HSA-2672351	CLCN5	ENSG00000171365	cd04591;cd03684			IPR000644;IPR046342;IPR014743;IPR002247;IPR001807	PTHR45711;PTHR45711:SF7	PF00571;PF00654		PR00762;PR01116	PS51371	SM00116	SSF54631;SSF81340	X
CLIC1	O00299		PRO_0000144201	CLIC1	1.8.-.-;1.8.5.1	9606	UPI000011785A	24424;29823;66324;75347;34923;75383;76159	0005254;0005615;0005634;0005635;0005737;0005739;0005783;0005886;0005903;0006821;0007165;0016020;0016491;0031965;0031982;0034707;0045296;0045669;0048471;0051881;0070062;0070527;0072562	CCDS4719.1	U93205;AF034607;AF109197;AJ012008;CR542071;AF129756;BA000025;AL662899;BC064527;BC095469;X87689	NP_001274522.1;NP_001274523.1;NP_001279.2		1K0M;1K0N;1K0O;1RK4;3O3T;3P8W;3P90;3QR6;3SWL;3TGZ;3UVH;4IQA;4JZQ;4K0G;4K0N;7F8R;7FBQ		O00299	107604			O00299		DB11638;DB09130						1.A.12.1.2		47828	ENST00000375779.6;ENST00000375780.6;ENST00000375784.8;ENST00000383404.6;ENST00000383405.6;ENST00000395892.5;ENST00000400052.7;ENST00000400058.5;ENST00000415179.5;ENST00000418285.6;ENST00000420458.5;ENST00000422167.6;ENST00000423055.5;ENST00000423143.5;ENST00000423804.5;ENST00000425464.6;ENST00000431921.5;ENST00000433916.5;ENST00000434202.5;ENST00000435242.5;ENST00000438708.5;ENST00000438750.5;ENST00000442045.5;ENST00000447338.5;ENST00000447369.5;ENST00000451546.5;ENST00000456863.6;ENST00000457485.6;ENST00000614673.1;ENST00000614982.1;ENST00000616760.1;ENST00000618288.1;ENST00000619727.1;ENST00000621055.1;ENST00000622613.1	1192	hsa:1192	CLIC1	2062	ENSG00000213719	602872	NX_O00299		PA26588	KOG1422	ENSGT00940000154708	CLU_061051_1_0_1	SYMKAIF	1935530at2759	TF315438				CLIC1	ENSG00000213719	cd10300;cd03061			IPR002946;IPR030259;IPR053823;IPR010987;IPR036282;IPR040079;IPR036249	PTHR45476:SF2;PTHR45476	PF22441;PF13410		PR01263	PS50405		SSF47616;SSF52833	6
CLIC2	O15247		PRO_0000144205	CLIC2	1.11.1.-;1.8.-.-	9606	UPI0000169FC8	29823;69412;69651	0004602;0005254;0005634;0005654;0005737;0005829;0005886;0006821;0007165;0010880;0010881;0016020;0034707;0051099;0060315	CCDS14767.1	Y12696;AJ000217;AJ000218;AJ000219;AK292785;AL356738;CH471172;BC022305	NP_001280.3		2PER;2R4V;2R5G		O15247	107605			O15247								1.A.12.1.5	rs398122917	48540	ENST00000369449.7	1193	hsa:1193	CLIC2	2063	ENSG00000155962	300138	NX_O15247	324410	PA26589	KOG1422	ENSGT00940000161397	CLU_061051_1_0_1	CAEDILV	1935530at2759	TF315438			R-HSA-2672351;R-HSA-5578775	CLIC2	ENSG00000155962	cd10298;cd03061			IPR002946;IPR053823;IPR010987;IPR036282;IPR040079;IPR030253;IPR036249	PTHR45476:SF3;PTHR45476	PF22441;PF13410		PR01263	PS50405		SSF47616;SSF52833	X
CLIC3	O95833		PRO_0000144207	CLIC3	1.8.-.-	9606	UPI00001AE551	29823	0005254;0005634;0005737;0005886;0006821;0007165;0016020;0016604;0019153;0031012;0034707;0070062;1903672	CCDS7021.1	AL807752;CH471090;BC007012;AF102166	NP_004660.2;XP_016870771.1		3FY7;3KJY		O95833	114489			O95833								1.A.12.1.7	rs2292923	51078	ENST00000494426.2	9022	hsa:9022	CLIC3	2064	ENSG00000169583	606533	NX_O95833		PA26590	KOG1422	ENSGT00940000161243	CLU_061051_1_0_1	VQVVCQH	1935530at2759	TF315438				CLIC3	ENSG00000169583	cd10299;cd03061			IPR002946;IPR053823;IPR010987;IPR036282;IPR040079;IPR036249	PTHR45476:SF7;PTHR45476	PF22441;PF13410		PR01263	PS50405;PS50404		SSF47616;SSF52833	9
CLIC4	Q9Y696		PRO_0000144210	CLIC4	1.8.-.-	9606	UPI0000127AC9	29823;75347;34923;66324;75383;76159;32751	0001525;0001886;0005254;0005737;0005739;0005789;0005813;0005829;0005886;0005902;0005911;0006821;0007035;0009566;0009986;0015629;0016020;0016363;0016491;0030154;0030216;0030336;0030496;0030659;0034707;0035088;0035264;0045177;0048471;0048754;0051493;0061299;0070062;0071277	CCDS256.1	AF097330;AF109196;AL117424;BC012444	NP_039234.1;XP_054191840.1		2AHE;2D2Z;3OQS		Q9Y696	117431			Q9Y696								1.A.12.1.6		86632	ENST00000374379.9;ENST00000488683.1	25932	hsa:25932	CLIC4	13518	ENSG00000169504	606536	NX_Q9Y696		PA26591	KOG1422	ENSGT00940000155017	CLU_061051_1_0_1	LCPPKYA	1935530at2759	TF315438				CLIC4	ENSG00000169504	cd10296;cd03061			IPR002946;IPR053823;IPR010987;IPR036282;IPR040079;IPR036249	PTHR45476:SF5;PTHR45476	PF22441		PR01263	PS50405		SSF47616;SSF52833	1
CLNS1A	P54105		PRO_0000185155	CLNS1A		9606	UPI0000044777		0000387;0003723;0005634;0005654;0005681;0005829;0005856;0005886;0005929;0006821;0006884;0034709;0034715;0043231;0045292;0048026	CCDS8252.1	X91788;U17899;U53454;AF005422;AF026003;AF232708;AF232224;AF232225;AK315259;BT019907;BC119634;BC119635	NP_001284.1;NP_001298128.1;NP_001298129.1;NP_001298130.1;NP_001298131.1		6V0O		P54105	107617	CPX-696	DIP-44185N	P54105								1.A.47.1.1		56643	ENST00000525428.6;ENST00000528364.1	1207	hsa:1207	CLNS1A	2080	ENSG00000074201	602158	NX_P54105		PA26607	KOG3238	ENSGT00390000010063		SAFPWEH	19714at2759	TF315155			R-HSA-191859	CLNS1A	ENSG00000074201				IPR003521;IPR039924;IPR011993	PTHR21399;PTHR21399:SF0	PF03517		PR01348				11
CMPK1	P30085	P30085-1;P30085-2;P30085-3	PRO_0000158949	CMPK1	2.7.4.14;2.7.4.6	9606	UPI000012DCE6	11600;25094;24400;44640;18113	0004127;0004550;0004849;0005524;0005634;0005654;0005730;0005737;0005829;0006207;0006225;0009220;0015949;0033862;0036430;0036431;0046705;0050145;0070062	CCDS549.1;CCDS90947.1	AF070416;AF259961;AF110643;AF087865;AF112216;AK223014;AK298502;AK312693;AL513322;AL607122;CH471059;BC014961	NP_001129612.1;NP_001353064.1;NP_057392.1		1TEV;7E9V		P30085	119700			P30085	CHEMBL5681	DB03403;DB01262;DB00441;DB00709;DB08934;DB04444;DB03435								20330;54633	ENST00000371873.10;ENST00000699075.1	51727	hsa:51727	CMPK1	18170	ENSG00000162368	191710	NX_P30085		PA162382539	KOG3079	ENSGT00940000160589	CLU_032354_0_2_1	EQTMPVI	442176at2759	TF354283	MetaCyc:HS08663-MONOMER	2.7.4.14	R-HSA-499943	CMPK	ENSG00000162368	cd01428		MF_00235;MF_03172	IPR000850;IPR033690;IPR027417;IPR006266	PTHR23359	PF00406		PR00094	PS00113		SSF52540	1
CMPK2	Q5EBM0	Q5EBM0-1;Q5EBM0-2;Q5EBM0-3;Q5EBM0-4	PRO_0000331524	CMPK2	2.7.4.14;2.7.4.6	9606	UPI000016014D	11600;25094;44640;18113	0004127;0004550;0004798;0005524;0005654;0005737;0005739;0006227;0006233;0006235;0033862;0036430;0036431;0071222	CCDS42648.1;CCDS58695.1;CCDS58696.1	AK127983;BC016969;BC141802;BC132821;BC089425;BC144202	NP_001243406.1;NP_001243407.1;NP_997198.2				Q5EBM0													rs6712141	62766;62767;62768;62769	ENST00000256722.10;ENST00000404168.1;ENST00000458098.5	129607	hsa:129607	CMPK2	27015	ENSG00000134326	611787;621018	NX_Q5EBM0		PA162382556	KOG3327	ENSGT00940000154030	CLU_049896_0_0_1	ECTSLIP	425602at2759	TF328875		2.7.4.14			ENSG00000134326				IPR027417;IPR039430;IPR014505	PTHR10344;PTHR10344:SF4	PF02223	PIRSF019736				SSF52540	2
CNDP2	Q96KP4	Q96KP4-1;Q96KP4-2	PRO_0000185272	CNDP2	3.4.13.18	9606	UPI00000463FE	67360;67364;67372;28783;67380;66724	0004180;0005654;0005829;0006508;0016805;0046872;0070062;0070573	CCDS12006.1;CCDS54190.1	AX523938;AJ347717;AK001692;AK097155;AF258592;EU794600;AC009704;CH471117;BC001375;BC003176	NP_001161971.1;NP_001357177.1;NP_001357178.1;NP_001357179.1;NP_060705.2;XP_005266785.1;XP_006722566.1;XP_011524373.1;XP_011524374.1;XP_047293579.1;XP_047293580.1;XP_054174780.1		4RUH		Q96KP4	120866			Q96KP4						M20.005			rs2278161	77098;77099	ENST00000324262.9;ENST00000324301.12;ENST00000579847.5	55748	hsa:55748	CNDP2	24437	ENSG00000133313	169800	NX_Q96KP4		PA134975242	KOG2276	ENSGT00940000156500	CLU_029469_3_1_1	CNVKFMI	7832001at2759	TF300633		3.4.13.18	R-HSA-174403;R-HSA-9753281		ENSG00000133313	cd05676			IPR001261;IPR017153;IPR051458;IPR002933;IPR011650	PTHR43270;PTHR43270:SF11	PF07687;PF01546	PIRSF037242		PS00759		SSF53187	18
CNP	P09543	P09543-1;P09543-2	PRO_0000089961	CNP	3.1.4.37	9606	UPI0000127BEE	14489	0003723;0004113;0005615;0005737;0005741;0005743;0005874;0005902;0007268;0007409;0008344;0009214;0009636;0016020;0021762;0030551;0030900;0031143;0032496;0035748;0035749;0042470;0045202;0046902;0048471;0048709;0070062	CCDS11414.2;CCDS82123.1	S46849;S46843;S46845;S46846;M19650;D13146;S50017;S50013;S50014;S50016;AC125257;BC001362;BC006392;BC011046;BC028040	NP_001317145.1;NP_149124.3;XP_011522642.1;XP_054171055.1		1WOJ		P09543	107667			P09543									rs2050933471;rs34353668	52244;52245	ENST00000393888.1;ENST00000393892.8	1267	hsa:1267	CNP	2158	ENSG00000173786	123830;619071	NX_P09543		PA26680	KOG2401	ENSGT00510000048410	CLU_039178_0_0_1	DAYKINP	3231855at2759	TF332157		3.1.4.37;3.1.4.58		2%27,3%27-Cyclic-nucleotide_3%27-phosphodiesterase	ENSG00000173786				IPR008431;IPR047325;IPR009097;IPR027417	PTHR10156;PTHR10156:SF0	PF13671;PF05881	PIRSF000970				SSF55144;SSF52540	17
COASY	Q13057	Q13057-1;Q13057-2	PRO_0000173039	COASY	2.7.1.24;2.7.7.3	9606	UPI000006F293	19801;18245	0004140;0004595;0005524;0005739;0005741;0005759;0015937;0070062	CCDS11429.1;CCDS45685.1	AF453478;AY094602;AK075415;AK297153;AK314076;AC067852;CH471152;BC006354;BC020985;BC067254;AF208536;U18919;BT007168	NP_001035994.1;NP_001035997.2;NP_079509.5;XP_006722179.1;XP_011523602.1;XP_016880657.1;XP_054173386.1;XP_054173389.1					123254			Q13057	CHEMBL4105867								rs615942;rs140709867	59124;59125	ENST00000393818.3;ENST00000421097.6;ENST00000590958.5	80347	hsa:80347	COASY	29932	ENSG00000068120	609855;615643;618266	NX_Q13057	397725	PA134867942	KOG3220;KOG3351	ENSGT00550000075078	CLU_027827_1_0_1	TQCLQSY	330671at2759		MetaCyc:HS00931-MONOMER	2.7.1.24;2.7.7.3	R-HSA-196783	COASY	ENSG00000068120	cd02022;cd02164		MF_00376	IPR004821;IPR001977;IPR027417;IPR014729	PTHR10695:SF46;PTHR10695	PF01121;PF01467			PS51219		SSF52374;SSF52540	17
COMT	P21964	P21964-1;P21964-2	PRO_0000020971	COMT	2.1.1.6	9606	UPI0000000CBF	17877;53108;53104;53100;53096;53092;53088	0000287;0001662;0001666;0001963;0001964;0001975;0002001;0005829;0005886;0005977;0006693;0006979;0007613;0008168;0008171;0008542;0009410;0009611;0009636;0010467;0014046;0016020;0016036;0016206;0021696;0030424;0030425;0032094;0032259;0032502;0032835;0033344;0034097;0035264;0035640;0035812;0042415;0042417;0042420;0042424;0043231;0045202;0046959;0048243;0050965;0051412;0060840;0070062;0071314;0071626;0097018;0097205;1902074;1903350;1990776	CCDS13770.1;CCDS46663.1	M65212;M65213;M58525;Z26491;FJ224345;AK290440;CR456422;CR456997;AY341246;AC000080;AC000090;AC005663;CH471176;BC000419;BC005867;BC011935;BC100018	NP_000745.1;NP_001128633.1;NP_001128634.1;NP_001349757.1;NP_009294.1;XP_016884083.1;XP_016884084.1		3A7E;3BWM;3BWY;4PYI;4PYJ;4PYK;4XUC;4XUD;4XUE;5LSA;6I3C;6I3D		P21964	107707			P21964	CHEMBL2023	DB07462;DB02342;DB02105;DB08049;DB00118;DB00714;DB03336;DB00286;DB00255;DB00841;DB00988;DB15488;DB00494;DB00668;DB00783;DB00977;DB01064;DB00968;DB01141;DB03907;DB04820;DB06152;DB11632;DB00252;DB01420;DB00323	2472						rs6270;rs6267;rs5031015;rs4986871;rs4680	53945;53946	ENST00000361682.11;ENST00000403710.5;ENST00000406520.7;ENST00000407537.5;ENST00000449653.5;ENST00000676678.1;ENST00000678255.1;ENST00000678868.1	1312	hsa:1312	COMT	2228	ENSG00000093010	103780;116790;181500	NX_P21964	567	PA117	KOG1663	ENSGT00940000155317	CLU_050461_5_0_1	VEITRCV	186626at2759	TF329140	MetaCyc:HS01791-MONOMER	2.1.1.6	R-HSA-156581;R-HSA-379397;R-HSA-379398;R-HSA-9679191	Catechol-O-methyl_transferase	ENSG00000093010	cd02440			IPR017128;IPR029063;IPR002935	PTHR43836:SF3;PTHR43836	PF01596	PIRSF037177		PS51682		SSF53335	22
CP	P00450		PRO_0000002912	CP	1.11.1.27;1.11.1.9;1.16.3.1;1.16.3.4	9606	UPI000045718B	11148;30083;62632;78539;16833	0004322;0004602;0005507;0005576;0005615;0005765;0005788;0005886;0006878;0006879;0016491;0016724;0047066;0051087;0070062;0072562	CCDS3141.1	M13699;DQ314867;D45045;D00025;X04135;X04136;X04137;X04138;AF132978;M13536;J05506	NP_000087.1;NP_000087.2		1KCW;2J5W;4EJX;4ENZ	P00450	P00450	107748			P00450		DB01373;DB09130;DB11134;DB06778;DB14490;DB14491;DB14488;DB14501;DB14489;DB13257;DB01592;DB12965;DB01593;DB14487;DB14533;DB14548						8.A.105.1.2	rs759185877;rs34624984;rs35331711;rs701753;rs61733458;rs115552500;rs56033670	51251	ENST00000264613.11	1356	hsa:1356	CP	2295	ENSG00000047457	117700;604290	NX_P00450	48818	PA26815	KOG1263	ENSGT00940000155866		TTDHYAG	2121828at2759	TF329807	MetaCyc:HS00590-MONOMER	1.16.3.1	R-HSA-381426;R-HSA-425410;R-HSA-5619049;R-HSA-5619060;R-HSA-8957275;R-HSA-917937	Ceruloplasmin	ENSG00000047457	cd04222;cd11021;cd04224;cd11022;cd04225;cd11012			IPR048236;IPR011707;IPR001117;IPR011706;IPR045087;IPR033138;IPR002355;IPR008972	PTHR11709:SF226;PTHR11709	PF00394;PF07731;PF07732			PS00079;PS00080		SSF49503	3
CPPED1	Q9BRF8	Q9BRF8-1;Q9BRF8-2;Q9BRF8-3	PRO_0000320556	CPPED1	3.1.3.16	9606	UPI000013D1D1	20629;47004	0005576;0005829;0005886;0017018;0033192;0035578;0046872;0140791;0180004;0180005;0180006;0180007;0180008;1990439	CCDS42119.1;CCDS42120.1	AY553877;AK002013;AK022710;AK298662;BX640805;AC010333;AC092324;AC109597;BC006289	NP_001092925.1;NP_060810.2				Q9BRF8	120595			Q9BRF8									rs3748976;rs3748980;rs1713480;rs11645068	78760;78761	ENST00000261660.4;ENST00000381774.9;ENST00000433677.6	55313	hsa:55313	CPPED1	25632	ENSG00000103381	615603	NX_Q9BRF8		PA164718110	KOG1378	ENSGT00390000008676	CLU_077151_0_0_1	NEPTHET	45007at2759	TF329406			R-HSA-6798695		ENSG00000103381	cd07395			IPR004843;IPR029052;IPR041867;IPR051918	PTHR43143;PTHR43143:SF1	PF00149					SSF56300	16
CPT1A	P50416	P50416-1;P50416-2	PRO_0000210159	CPT1A	2.3.1.-;2.3.1.21	9606	UPI000013D658	12661;16261	0001666;0001676;0004095;0005739;0005741;0006006;0006631;0006635;0006641;0006853;0007584;0009410;0009437;0010883;0014070;0016020;0030674;0030855;0032000;0042755;0042802;0043279;0045089;0045471;0046222;0050796;0071398;0097421;1904772	CCDS31624.1;CCDS8185.1	L39211;AJ420747;AJ420748;BT009791;BC000185	NP_001027017.1;NP_001867.2;XP_016872709.1;XP_054223671.1	P50416	2LE3		P50416	107765			P50416	CHEMBL1293194	DB01016;DB00583;DB01074						4.C.2.1.3	rs80356775;rs2229738;rs80356789;rs80356776;rs80356796;rs80356783;rs80356777;rs80356787;rs80356790;rs80356778;rs80356784;rs80356779;rs80356793;rs80356791;rs28936374;rs80356780	56220;56221	ENST00000265641.10;ENST00000376618.6;ENST00000539743.5;ENST00000540367.5	1374	hsa:1374	CPT1A	2328	ENSG00000110090	255120;600528	NX_P50416	156	PA26847	KOG3716	ENSGT01130000278324	CLU_013513_2_1_1	AWIQMAL	240216at2759	TF313836	MetaCyc:HS03286-MONOMER	2.3.1.21	R-HSA-1368082;R-HSA-1989781;R-HSA-200425		ENSG00000110090				IPR000542;IPR023213;IPR039551;IPR042231;IPR032476	PTHR22589;PTHR22589:SF74	PF00755;PF16484			PS00439;PS00440		SSF52777	11
CRPPA	A4D126	A4D126-1;A4D126-2	PRO_0000343697	CRPPA	2.7.7.40	9606	UPI00015CFC06	12456;53872;53612	0005829;0007411;0008299;0035269;0042803;0047349;0070567		AC004741;AC006035;AC073629;AC079155;CH236948;CH471073	NP_001094887.1;NP_001094896.1		4CVH		A4D126	610311			A4D126									rs587777797;rs397515398;rs387907162;rs752817129;rs369219851;rs397514547;rs566179705;rs397515408;rs387907160;rs1289931198;rs1282788711;rs397515409;rs587777798	602;603	ENST00000399310.3;ENST00000407010.7	729920	hsa:729920	CRPPA	37276	ENSG00000214960	614631;614643;616052	NX_A4D126	370980;352479;588;899	PA165618128	ENOG502QUUE	ENSGT00390000006412	CLU_033636_0_0_1	LKEWNFI	414267at2759	TF328415	MetaCyc:MONOMER66-43822	2.7.7.40			ENSG00000214960	cd02516			IPR034683;IPR040635;IPR018294;IPR029044	PTHR43015;PTHR43015:SF1	PF01128;PF18706			PS01295		SSF53448	7
CRYL1	Q9Y2S2	Q9Y2S2-1;Q9Y2S2-2	PRO_0000109320	CRYL1	1.1.1.45	9606	UPI000013E4B3	12889	0005829;0006631;0019640;0042803;0050104;0070062;0070403	CCDS41871.1	AF077049;AF087898;AF160216;AK024041;AL161715;AL590096;CH471075;BC008562;BC071810;BC119660;BC119661	NP_057058.2		3F3S		Q9Y2S2	119274			Q9Y2S2										85884;85885	ENST00000298248.12;ENST00000382812.5;ENST00000643750.1	51084	hsa:51084	CRYL1	18246	ENSG00000165475	609877	NX_Q9Y2S2		PA26923	KOG2305	ENSGT00390000007182	CLU_009834_0_0_1	RDNCLTH	2021159at2759	TF313501			R-HSA-5661270		ENSG00000165475				IPR022694;IPR006180;IPR006176;IPR006108;IPR008927;IPR013328;IPR036291	PTHR48075;PTHR48075:SF1	PF00725;PF02737	PIRSF000105		PS00067		SSF48179;SSF51735	13
CSNK1A1	P48729	P48729-1;P48729-2;P48729-3	PRO_0000192822	CSNK1A1	2.7.11.1	9606	UPI000000412B	17989;46608	0000776;0004672;0004674;0004676;0004677;0004679;0004694;0004711;0005524;0005634;0005737;0005813;0005819;0005829;0005929;0006468;0007030;0007165;0007166;0016020;0016055;0016607;0019082;0030877;0031670;0032436;0035025;0035175;0035402;0035403;0035979;0036064;0043161;0044022;0044023;0044024;0044025;0045104;0051301;0072354;0072371;0072518;0090090;0106310;0140823;0140855;0140857;1900226;1904263;1990244	CCDS47303.1;CCDS47304.1;CCDS64291.1	X80693;L37042;AF218004;AK294942;CR542206;BT019829;BT019830;DQ082865;AC021078;CH471062;BC008717	NP_001020276.1;NP_001258670.1;NP_001258671.1;NP_001883.4		5FQD;6GZD;7WTT;8G66		P48729	107836	CPX-107;CPX-109;CPX-439;CPX-440;CPX-441;CPX-442;CPX-443;CPX-99	DIP-40367N	P48729	CHEMBL2793	DB12010	1995							55928;55929;68630	ENST00000261798.10;ENST00000377843.8;ENST00000657001.1	1452	hsa:1452	CSNK1A1	2451	ENSG00000113712	600505	NX_P48729		PA26951	KOG1163	ENSGT00940000153700	CLU_019279_2_7_1	ESRVYKY	5800476at2759	TF354246		2.7.11.1	R-HSA-195253;R-HSA-196299;R-HSA-4641262;R-HSA-5339716;R-HSA-5358747;R-HSA-5358749;R-HSA-5358751;R-HSA-5358752;R-HSA-5467337;R-HSA-5467340;R-HSA-5467348;R-HSA-5610783;R-HSA-5610785;R-HSA-5635838;R-HSA-9694631	Casein_kinase_1,_alpha_1	ENSG00000113712	cd14128			IPR050235;IPR011009;IPR000719;IPR017441;IPR008271	PTHR11909	PF00069			PS00107;PS50011;PS00108	SM00220	SSF56112	5
CSNK1G1	Q9HCP0	Q9HCP0-1;Q9HCP0-2	PRO_0000192839	CSNK1G1	2.7.11.1	9606	UPI000003F575	17989;46608	0004674;0004676;0004677;0004679;0004694;0004711;0005524;0005634;0005737;0005829;0005886;0006897;0007165;0016055;0035175;0035402;0035403;0035979;0044022;0044023;0044024;0044025;0072354;0072371;0072518;0090263;0106310;0140823;0140855;0140857;1990244	CCDS10192.2	AB042563;AB042562;AL832551;CH471082;BC017236;BC130613;BC136504	NP_001316535.1;NP_071331.2		2CMW		Q9HCP0	119824			Q9HCP0	CHEMBL2426	DB08325	1999						rs55799101;rs587777544;rs55699712	81782;81783	ENST00000303052.13;ENST00000606225.1	53944	hsa:53944	CSNK1G1	2454	ENSG00000169118	606274	NX_Q9HCP0		PA26954	KOG1165	ENSGT00940000155628	CLU_019279_2_0_1	GRGWDYK	5800476at2759	TF313349		2.7.11.1			ENSG00000169118	cd14126			IPR022247;IPR050235;IPR011009;IPR000719;IPR017441;IPR008271	PTHR11909	PF12605;PF00069			PS00107;PS50011;PS00108	SM00220	SSF56112	15
CSNK1G2	P78368		PRO_0000192842	CSNK1G2	2.7.11.1	9606	UPI00000015E2	17989;46608	0004674;0004676;0004677;0004679;0004694;0004711;0005524;0005634;0005737;0005829;0005886;0005938;0006468;0006897;0007165;0016020;0016055;0030148;0035175;0035402;0035403;0035979;0044022;0044023;0044024;0044025;0072354;0072371;0072518;0090263;0106310;0140823;0140855;0140857;1990244	CCDS12077.1	U89896;BT009922;AF001177;AB451278;AB451410;AC005306;CH471139;BC018693;BC018699;BC020972	NP_001310.3;XP_047294141.1;XP_054175818.1		2C47		P78368	107839			P78368	CHEMBL2543	DB04604;DB03083;DB03693	2000						rs55702630;rs55780547;rs55923222;rs56264133;rs56108438;rs56340103;rs55818316;rs55754218;rs56038081	57596	ENST00000255641.13	1455	hsa:1455	CSNK1G2	2455	ENSG00000133275	602214	NX_P78368		PA26955	KOG1165	ENSGT00940000156470		EFDWTHK	5800476at2759	TF313349		2.7.11.1	R-HSA-1660661;R-HSA-4641262		ENSG00000133275	cd14126			IPR022247;IPR050235;IPR011009;IPR000719;IPR017441;IPR008271	PTHR11909	PF12605;PF00069			PS00107;PS50011;PS00108	SM00220	SSF56112	19
