	genes	drugbank	pubchem.compound
357	SLC1A5	DB00130;DB00174;DB13146	5961
358	SLC22A16	DB00583;DB00997	10917;31703
359	SLC22A4	DB00122;DB00123;DB00125;DB00127;DB00184;DB00332;DB00345;DB00458;DB00468;DB00501;DB00536;DB00575;DB00583;DB00594;DB00661;DB00908;DB00983;DB00987;DB01005;DB01035;DB01043;DB01053;DB01137;DB01151;DB01165;DB01409;DB01917;DB03566;DB06691;DB08837;DB13943;DB13944;DB13946;DB14006;DB14754	10917;1103;149096;15232;16230;16231;181458;20179;2148;2520;2756;2803;2995;3034034;3086655;3410;3657;3696;4054;441074;441404;443971;45358055;47751;4992;5284451;53477580;5904;6252;6253;62969;65157;65327;657308;8228;89594;91558;9416
360	SLC22A7	DB00175;DB00277;DB00313;DB00328;DB00345;DB00437;DB00456;DB00493;DB00495;DB00501;DB00544;DB00563;DB00584;DB00595;DB00624;DB00759;DB00887;DB00917;DB00936;DB00943;DB01004;DB01009;DB01016;DB01017;DB01032;DB01045;DB01160;DB01211;DB01223;DB01248;DB01303;DB01326;DB01329;DB02527;DB02659;DB03553;DB09327;DB13943;DB13944;DB13946;DB14725	104747;10695961;126941;148124;160352;16760703;2094;2148;2153;221493;23663956;23663974;2471;2756;3121;338;3385;3454;3488;35370;3715;3825;441404;44187;443971;456255;4911;5280360;5353990;5381226;5388961;5388962;54675779;54675783;54687;5742673;6013;6024;65157;84029;9416
361	SLC25A4	DB00171;DB00720;DB01077;DB01736;DB02426;DB03429;DB04178	31195;3305;5957
362	SLC25A5	DB00720;DB01077	31195;3305
363	SLC25A6	DB00720;DB01077	31195;3305
364	SLC27A2	DB11936	10472693
365	SLC29A1	DB00197;DB00432;DB00441;DB00544;DB00640;DB00642;DB00811;DB00898;DB00900;DB00943;DB00987;DB01033;DB01073;DB01280;DB02745;DB09061;DB09327;DB09511;DB09526;DB12010;DB14009;DB14011	104747;1131;11671467;122173976;12790;174;25008120;3011155;30751;3385;37542;44148067;446556;47751;50599;5360525;5591;6029;60750;60961;6252;6253;6256;644019;667490;6918197;702
366	SLC2A1	DB00126;DB00237;DB00292;DB01296;DB01914;DB02709;DB08830;DB08831;DB09150;DB09341;DB09502;DB11059;DB15690	108223;445154;450503;667484
367	SLC2A2	DB00428;DB01296;DB01914;DB09150;DB09341;DB09344;DB09502;DB15690	29327;450503
368	SLC2A3	DB00126;DB01296;DB01914;DB09150;DB09341;DB09502;DB15690	450503
369	SLC2A4	DB00126;DB01296;DB01914;DB09150;DB09341;DB09502;DB15690	450503
370	SLC2A5	DB01914;DB09150;DB09344;DB09502;DB15690	450503
371	SLC30A1	DB14533;DB14548	
372	SLC31A1	DB00515;DB00526;DB00958;DB09130	10339178;11947679;5702198
373	SLC39A10	DB14533;DB14548	
374	SLC39A8	DB14533;DB14548	
375	SLC40A1	DB13257;DB14520	
376	SLC41A1	DB14513	
377	SLC43A3	DB00993	2265
378	SLC44A1	DB00122;DB14006	
379	SLC44A2	DB00122	
380	SLC6A8	DB00148;DB13191	586;9548602
381	SLC6A9	DB00145	750
382	SLC7A1	DB00123;DB00125;DB00129	
383	SLC7A6	DB00130	5961
384	SLC9A1	DB00594;DB01043;DB02624;DB06468	16230;16231;181458;4054
385	SMOX	DB00127;DB04188	1103
386	SMPD1	DB00381;DB00477;DB01151;DB12151;DB14009	2162;2726;2995;483477;60496;6435922;65327
387	SMS	DB00127	1103
388	SOD1	DB00163;DB00515;DB00526;DB00958;DB00988;DB01064;DB01593;DB01629;DB03382;DB05025;DB09061;DB09096;DB09130;DB09221;DB14001;DB14002;DB14009;DB14011;DB14487;DB14533;DB14548	10339178;11192;11947679;14985;3779;44148067;5702198;5807;644019;681;7187
389	SORD	DB00157;DB04478	
390	SPHK1	DB08868	107969;107970
391	SPTLC1	DB00114;DB00133	1051
392	SPTLC2	DB00114;DB00133	1051
393	SRM	DB00118	34755
394	SYK	DB02010;DB06834;DB07159;DB07194;DB08361;DB08846;DB12010;DB12121	11671467;25008120;44259;5281855;59473233
395	TARS1	DB00156	
396	TF	DB00515;DB00677;DB00893;DB01011;DB01294;DB01370;DB01592;DB01593;DB05260;DB06215;DB06757;DB06784;DB09130;DB11136;DB11182;DB11397;DB13257;DB13949;DB14487;DB14488;DB14489;DB14490;DB14491;DB14501;DB14517;DB14518;DB14520;DB14526;DB14527;DB14528;DB14529;DB14530;DB14533;DB14548	11192;16682734;27284;5702198;6433164;69439;76964591
397	TFR2	DB13257;DB15617	
398	TFRC	DB01592;DB13257;DB13949;DB14488;DB14489;DB14490;DB14491;DB14501;DB14520;DB15617	6433164;76964591
399	TGM2	DB00130;DB04315;DB11254	3610;5961
400	TGM3	DB00130;DB01864;DB01972;DB03152;DB04315	5961;6804
401	THTPA	DB00152	1130;6202
402	TKT	DB09130	
403	TPI1	DB01593;DB01695;DB02726;DB03026;DB03132;DB03135;DB03314;DB03379;DB03900;DB04326;DB04447;DB04510;DB07387;DB11638;DB14487;DB14533;DB14548	107770;11192;668
404	TPK1	DB00152;DB04768	1130;6202
405	TPMT	DB00436;DB00993;DB01021;DB01033;DB01250;DB01327	2265;2315;23675322;33255;5560;667490
406	TRPV2	DB00470;DB09061;DB11755;DB14009;DB14011;DB14050	34180;44148067;644019;91158
407	TSTD1	DB00464;DB09499	24477
408	TXN	DB12695	16741
409	TXNRD1	DB00126;DB01169;DB02338;DB03147;DB03566;DB04106;DB05428;DB05448;DB11127;DB11135	104799;158385;219104;24934;261004
410	UBA1	DB04119;DB04216	5280343
411	UBB	DB02542	
412	UBR4	DB04959;DB05483	
413	UMPS	DB00544;DB02890	3385
414	UROD	DB03727;DB04461	
415	VARS1	DB00161	6287
416	VCP	DB04395;DB12695	16741
417	VDAC1	DB01375;DB09061;DB14009;DB14011	44148067;644019
418	VDAC2	DB01375;DB06098	
419	VDAC3	DB01375;DB06098	
420	WARS1	DB00150;DB01831;DB04537	6305
421	YARS1	DB00135;DB01766;DB02709;DB03978;DB07205;DB08371;DB08617	445154;6057
